value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_0,139958322620000
deploy,resnet50-training,nx_0,139958322631440
deploy,mobilenet-inference,coral_0,139958322636560
deploy,speech-inference,rpi4_2,139958324327568
deploy,resnet50-preprocessing,rpi4_3,139958323380912
startup,mobilenet-inference,coral_0,139958322636560
setup,mobilenet-inference,coral_0,139958322636560
finish,mobilenet-inference,coral_0,139958322636560
startup,speech-inference,rpi4_2,139958324327568
setup,speech-inference,rpi4_2,139958324327568
finish,speech-inference,rpi4_2,139958324327568
startup,resnet50-inference,nx_0,139958322620000
setup,resnet50-inference,nx_0,139958322620000
startup,resnet50-training,nx_0,139958322631440
setup,resnet50-training,nx_0,139958322631440
finish,resnet50-training,nx_0,139958322631440
finish,resnet50-inference,nx_0,139958322620000
startup,resnet50-preprocessing,rpi4_3,139958323380912
setup,resnet50-preprocessing,rpi4_3,139958323380912
finish,resnet50-preprocessing,rpi4_3,139958323380912
