value,name,type,data_type
4000000,link_nuc_6,node,data_download
4000000,shared_6,shared,data_download
4000000,up_shared_6,uplink,data_download
4000000,down_shared_3,downlink,data_download
4000000,shared_3,shared,data_download
4000000,link_coral_0,node,data_download
48000000,link_nuc_6,node,data_download
48000000,shared_6,shared,data_download
48000000,up_shared_6,uplink,data_download
48000000,down_shared_4,downlink,data_download
48000000,shared_4,shared,data_download
48000000,link_rpi4_24,node,data_download
103000000,link_nuc_6,node,data_download
103000000,shared_6,shared,data_download
103000000,up_shared_6,uplink,data_download
103000000,down_shared_3,downlink,data_download
103000000,shared_3,shared,data_download
103000000,link_nano_0,node,data_download
58000000,link_nuc_6,node,data_download
58000000,shared_6,shared,data_download
58000000,up_shared_6,uplink,data_download
58000000,down_shared_8,downlink,data_download
58000000,shared_8,shared,data_download
58000000,link_nano_1,node,data_download
58000000,link_nuc_6,node,data_download
58000000,shared_6,shared,data_download
58000000,up_shared_6,uplink,data_download
58000000,down_shared_8,downlink,data_download
58000000,shared_8,shared,data_download
58000000,link_nano_1,node,data_download
58000000,link_nuc_6,node,data_download
58000000,shared_6,shared,data_download
58000000,up_shared_6,uplink,data_download
58000000,down_shared_8,downlink,data_download
58000000,shared_8,shared,data_download
58000000,link_nano_1,node,data_download
58000000,link_nuc_6,node,data_download
58000000,shared_6,shared,data_download
58000000,up_shared_6,uplink,data_download
58000000,down_shared_8,downlink,data_download
58000000,shared_8,shared,data_download
58000000,link_nano_1,node,data_download
103000000,link_nano_1,node,data_upload
103000000,shared_8,shared,data_upload
103000000,up_shared_8,uplink,data_upload
103000000,down_shared_6,downlink,data_upload
103000000,shared_6,shared,data_upload
103000000,link_nuc_6,node,data_upload
58000000,link_nuc_6,node,data_download
58000000,shared_6,shared,data_download
58000000,up_shared_6,uplink,data_download
58000000,down_shared_8,downlink,data_download
58000000,shared_8,shared,data_download
58000000,link_nano_1,node,data_download
