FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-23 14:31:45

Total deployment events: 4889
Number of node-function combinations: 1669

Event Type Summary:
  Deployment events: 22
  Replica events: 3829
  Network events: 1038

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=   0.0s | deployment | global               | resnet50-inference-downtown | deploy resnet50-inference-downtown
t=   0.0s | deployment | global               | resnet50-inference-suburb | deploy resnet50-inference-suburb
t=   0.0s | deployment | global               | resnet50-inference-industrial | deploy resnet50-inference-industrial
t=   0.0s | deployment | global               | resnet50-inference-residential | deploy resnet50-inference-residential
t=   0.0s | deployment | global               | resnet50-inference-commercial | deploy resnet50-inference-commercial
t=   0.0s | deployment | global               | resnet50-inference-airport | deploy resnet50-inference-airport
t=   0.0s | deployment | global               | resnet50-inference-port   | deploy resnet50-inference-port
t=   0.0s | deployment | global               | speech-inference          | deploy speech-inference
t=   0.0s | deployment | global               | speech-inference-downtown | deploy speech-inference-downtown
t=   0.0s | deployment | global               | speech-inference-suburb   | deploy speech-inference-suburb
t=   0.0s | deployment | global               | speech-inference-industrial | deploy speech-inference-industrial
t=   0.0s | deployment | global               | speech-inference-residential | deploy speech-inference-residential
t=   0.0s | deployment | global               | speech-inference-commercial | deploy speech-inference-commercial
t=   0.0s | deployment | global               | resnet50-preprocessing    | deploy resnet50-preprocessing
t=   0.0s | deployment | global               | resnet50-preprocessing-downtown | deploy resnet50-preprocessing-downtown
t=   0.0s | deployment | global               | resnet50-preprocessing-suburb | deploy resnet50-preprocessing-suburb
t=   0.0s | deployment | global               | resnet50-preprocessing-industrial | deploy resnet50-preprocessing-industrial
t=   0.0s | deployment | global               | resnet50-training         | deploy resnet50-training
t=   0.0s | deployment | global               | resnet50-training-downtown | deploy resnet50-training-downtown
t=   0.0s | deployment | global               | resnet50-training-suburb  | deploy resnet50-training-suburb
t=   0.0s | deployment | global               | resnet50-training-industrial | deploy resnet50-training-industrial
t=   0.0s | replica    | tx2_0                | resnet50-inference        | deploy replica of resnet50-inference
t=   1.0s | replica    | tx2_1                | resnet50-inference-downtown | deploy replica of resnet50-inference-downtown
t=   2.0s | replica    | tx2_2                | resnet50-inference-suburb | deploy replica of resnet50-inference-suburb
t=   2.0s | network    | registry → rockpi_95 | unknown                   | docker_pull (38.1 MB)
t=   2.1s | network    | registry → rockpi_29 | unknown                   | docker_pull (38.1 MB)
t=   2.2s | network    | registry → rockpi_0  | unknown                   | docker_pull (38.1 MB)
t=   2.3s | network    | registry → tx2_0     | unknown                   | docker_pull (95.4 MB)
t=   2.4s | network    | registry → tx2_1     | unknown                   | docker_pull (95.4 MB)
t=   2.5s | network    | registry → tx2_2     | unknown                   | docker_pull (95.4 MB)
t=   2.6s | network    | registry → nx_2      | unknown                   | docker_pull (95.4 MB)
t=   2.7s | network    | registry → nx_3      | unknown                   | docker_pull (95.4 MB)
t=   2.8s | network    | registry → nx_1      | unknown                   | docker_pull (95.4 MB)
t=   2.9s | network    | registry → nx_0      | unknown                   | docker_pull (95.4 MB)
t=   3.0s | replica    | nx_0                 | resnet50-inference-industrial | deploy replica of resnet50-inference-industrial
t=   3.0s | network    | registry → rpi3_36   | unknown                   | docker_pull (130.7 MB)
t=   3.1s | network    | registry → rpi3_37   | unknown                   | docker_pull (130.7 MB)
t=   3.2s | network    | registry → rpi3_38   | unknown                   | docker_pull (130.7 MB)
t=   3.3s | network    | registry → rpi4_148  | unknown                   | docker_pull (130.7 MB)
t=   3.4s | network    | rockpi_74 → rockpi_95 | unknown                   | data_download (45.8 MB)
t=   3.5s | network    | rockpi_74 → rockpi_29 | unknown                   | data_download (45.8 MB)
t=   3.6s | network    | rockpi_74 → rockpi_0 | unknown                   | data_download (45.8 MB)
t=   3.7s | network    | registry → rpi4_149  | unknown                   | docker_pull (31.5 MB)
