FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-23 14:32:44

Topology Overview:
  Number of nodes: 225
  Number of functions: 18
  Number of images: 3

Node Distribution:
  tx2_2: 6872 invocations (5.5%)
  nx_1: 15395 invocations (12.3%)
  nx_0: 17813 invocations (14.2%)
  tx2_1: 6897 invocations (5.5%)
  tx2_0: 6882 invocations (5.5%)
  rockpi_29: 1088 invocations (0.9%)
  rockpi_95: 1088 invocations (0.9%)
  rockpi_0: 1088 invocations (0.9%)
  rpi4_149: 308 invocations (0.2%)
  rpi4_66: 308 invocations (0.2%)
  rpi4_67: 308 invocations (0.2%)
  rockpi_5: 542 invocations (0.4%)
  coral_1: 196 invocations (0.2%)
  coral_0: 196 invocations (0.2%)
  rockpi_10: 536 invocations (0.4%)
  rockpi_24: 536 invocations (0.4%)
  rpi3_166: 124 invocations (0.1%)
  rpi3_165: 124 invocations (0.1%)
  rpi3_167: 124 invocations (0.1%)
  rpi4_148: 104 invocations (0.1%)
  rpi4_11: 104 invocations (0.1%)
  rpi4_46: 104 invocations (0.1%)
  rpi4_137: 104 invocations (0.1%)
  rpi4_136: 104 invocations (0.1%)
  rpi4_79: 104 invocations (0.1%)
  rpi4_47: 104 invocations (0.1%)
  rpi4_10: 104 invocations (0.1%)
  rpi4_78: 104 invocations (0.1%)
  rpi4_161: 300 invocations (0.2%)
  rpi4_160: 299 invocations (0.2%)
  rpi4_97: 299 invocations (0.2%)
  rpi4_96: 298 invocations (0.2%)
  rockpi_94: 524 invocations (0.4%)
  rockpi_8: 687 invocations (0.5%)
  rpi4_110: 104 invocations (0.1%)
  rpi3_37: 66 invocations (0.1%)
  rpi3_38: 67 invocations (0.1%)
  rpi3_25: 66 invocations (0.1%)
  rpi3_85: 68 invocations (0.1%)
  rpi3_36: 66 invocations (0.1%)
  rpi3_86: 68 invocations (0.1%)
  rpi3_84: 120 invocations (0.1%)
  rpi3_26: 120 invocations (0.1%)
  rpi3_24: 67 invocations (0.1%)
  coral_9: 188 invocations (0.1%)
  rockpi_93: 666 invocations (0.5%)
  rockpi_7: 510 invocations (0.4%)
  rockpi_17: 385 invocations (0.3%)
  rockpi_46: 364 invocations (0.3%)
  rpi4_103: 172 invocations (0.1%)
  rpi3_99: 64 invocations (0.1%)
  rpi3_101: 64 invocations (0.1%)
  rpi3_100: 64 invocations (0.1%)
  rockpi_21: 688 invocations (0.5%)
  rockpi_36: 511 invocations (0.4%)
  rpi4_39: 100 invocations (0.1%)
  rpi4_38: 100 invocations (0.1%)
  rpi3_164: 64 invocations (0.1%)
  rpi3_163: 64 invocations (0.1%)
  rockpi_74: 1019 invocations (0.8%)
  rockpi_92: 494 invocations (0.4%)
  rpi4_58: 96 invocations (0.1%)
  rockpi_41: 486 invocations (0.4%)
  rockpi_88: 280 invocations (0.2%)
  rpi4_37: 96 invocations (0.1%)
  rpi4_36: 96 invocations (0.1%)
  rpi4_133: 164 invocations (0.1%)
  rockpi_9: 475 invocations (0.4%)
  rockpi_59: 260 invocations (0.2%)
  rockpi_78: 448 invocations (0.4%)
  rockpi_33: 956 invocations (0.8%)
  rockpi_45: 956 invocations (0.8%)
  rpi4_125: 94 invocations (0.1%)
  rpi4_70: 268 invocations (0.2%)
  rpi4_71: 268 invocations (0.2%)
  rpi3_102: 60 invocations (0.0%)
  rockpi_68: 232 invocations (0.2%)
  rpi3_43: 104 invocations (0.1%)
  rpi3_44: 104 invocations (0.1%)
  rockpi_90: 601 invocations (0.5%)
  rockpi_16: 571 invocations (0.5%)
  rockpi_23: 439 invocations (0.4%)
  rockpi_15: 430 invocations (0.3%)
  rpi4_52: 90 invocations (0.1%)
  rpi3_90: 59 invocations (0.0%)
  rpi4_53: 91 invocations (0.1%)
