FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-21 16:01:09

Total deployment events: 2182
Number of node-function combinations: 646

Event Type Summary:
  Deployment events: 15
  Replica events: 1200
  Network events: 967

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=   0.0s | deployment | global               | resnet50-inference-downtown | deploy resnet50-inference-downtown
t=   0.0s | deployment | global               | resnet50-inference-suburb | deploy resnet50-inference-suburb
t=   0.0s | deployment | global               | resnet50-inference-industrial | deploy resnet50-inference-industrial
t=   0.0s | deployment | global               | resnet50-inference-residential | deploy resnet50-inference-residential
t=   0.0s | deployment | global               | speech-inference          | deploy speech-inference
t=   0.0s | deployment | global               | speech-inference-downtown | deploy speech-inference-downtown
t=   0.0s | deployment | global               | speech-inference-suburb   | deploy speech-inference-suburb
t=   0.0s | deployment | global               | speech-inference-industrial | deploy speech-inference-industrial
t=   0.0s | deployment | global               | resnet50-preprocessing    | deploy resnet50-preprocessing
t=   0.0s | deployment | global               | resnet50-preprocessing-downtown | deploy resnet50-preprocessing-downtown
t=   0.0s | deployment | global               | resnet50-preprocessing-suburb | deploy resnet50-preprocessing-suburb
t=   0.0s | deployment | global               | resnet50-preprocessing-industrial | deploy resnet50-preprocessing-industrial
t=   0.0s | deployment | global               | resnet50-training         | deploy resnet50-training
t=   0.0s | deployment | global               | resnet50-training-downtown | deploy resnet50-training-downtown
t=   0.0s | replica    | nano_0               | resnet50-inference        | deploy replica of resnet50-inference
t=   1.0s | replica    | nano_1               | resnet50-inference-downtown | deploy replica of resnet50-inference-downtown
t=   2.0s | replica    | nano_2               | resnet50-inference-suburb | deploy replica of resnet50-inference-suburb
t=   2.0s | network    | registry → rpi4_48   | unknown                   | docker_pull (31.5 MB)
t=   2.1s | network    | registry → rpi4_49   | unknown                   | docker_pull (31.5 MB)
t=   2.2s | network    | registry → rpi3_54   | unknown                   | docker_pull (31.5 MB)
t=   2.3s | network    | registry → rpi3_55   | unknown                   | docker_pull (31.5 MB)
t=   2.4s | network    | registry → rpi4_56   | unknown                   | docker_pull (66.8 MB)
t=   2.5s | network    | registry → nano_0    | unknown                   | docker_pull (95.4 MB)
t=   2.6s | network    | registry → nano_1    | unknown                   | docker_pull (95.4 MB)
t=   2.7s | network    | registry → nano_2    | unknown                   | docker_pull (95.4 MB)
t=   2.8s | network    | registry → rpi3_56   | unknown                   | docker_pull (130.7 MB)
t=   2.9s | network    | registry → rockpi_14 | unknown                   | docker_pull (182.2 MB)
t=   3.0s | replica    | xeongpu_0            | resnet50-inference-industrial | deploy replica of resnet50-inference-industrial
t=   3.0s | network    | registry → rockpi_11 | unknown                   | docker_pull (182.2 MB)
t=   3.1s | network    | registry → xeongpu_0 | unknown                   | docker_pull (190.7 MB)
t=   3.2s | network    | registry → nuc_0     | unknown                   | docker_pull (190.7 MB)
t=   3.3s | network    | registry → nuc_1     | unknown                   | docker_pull (190.7 MB)
t=   3.4s | network    | rpi4_34 → rpi4_48    | unknown                   | data_download (45.8 MB)
t=   3.5s | network    | rpi4_34 → rpi4_49    | unknown                   | data_download (45.8 MB)
t=   3.6s | network    | rpi4_34 → rpi3_55    | unknown                   | data_download (45.8 MB)
t=   3.7s | network    | rpi4_34 → rpi3_54    | unknown                   | data_download (45.8 MB)
t=   3.8s | network    | rpi4_34 → nano_2     | unknown                   | data_download (98.2 MB)
t=   3.9s | network    | rpi4_34 → rpi4_56    | unknown                   | data_download (98.2 MB)
t=   4.0s | replica    | rpi4_48              | speech-inference          | deploy replica of speech-inference
t=   4.0s | network    | rpi4_34 → nano_1     | unknown                   | data_download (98.2 MB)
t=   4.1s | network    | rpi4_34 → xeongpu_0  | unknown                   | data_download (98.2 MB)
t=   4.2s | network    | rpi4_34 → nano_0     | unknown                   | data_download (98.2 MB)
t=   4.3s | network    | rpi4_34 → nuc_0      | unknown                   | data_download (55.3 MB)
