FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-21 16:12:25

Topology Overview:
  Number of nodes: 368
  Number of functions: 15
  Number of images: 5

Node Distribution:
  tx2_1: 5156 invocations (4.9%)
  tx2_0: 3503 invocations (3.3%)
  nx_0: 3601 invocations (3.4%)
  tx2_2: 3158 invocations (3.0%)
  nx_1: 2690 invocations (2.6%)
  rockpi_95: 1056 invocations (1.0%)
  rockpi_29: 1056 invocations (1.0%)
  rockpi_0: 524 invocations (0.5%)
  tx2_3: 3223 invocations (3.1%)
  nano_0: 2744 invocations (2.6%)
  nano_1: 2738 invocations (2.6%)
  rpi4_149: 292 invocations (0.3%)
  rpi4_148: 292 invocations (0.3%)
  rpi3_165: 120 invocations (0.1%)
  rpi3_38: 120 invocations (0.1%)
  rockpi_69: 778 invocations (0.7%)
  rpi4_66: 100 invocations (0.1%)
  rpi4_67: 286 invocations (0.3%)
  rpi4_10: 284 invocations (0.3%)
  rpi4_11: 285 invocations (0.3%)
  rockpi_49: 868 invocations (0.8%)
  rpi3_37: 64 invocations (0.1%)
  rpi4_160: 100 invocations (0.1%)
  rpi4_161: 100 invocations (0.1%)
  rpi3_36: 64 invocations (0.1%)
  rockpi_20: 847 invocations (0.8%)
  rpi3_166: 64 invocations (0.1%)
  rpi3_167: 64 invocations (0.1%)
  rpi3_24: 116 invocations (0.1%)
  rockpi_93: 630 invocations (0.6%)
  xeongpu_0: 1678 invocations (1.6%)
  rpi4_21: 96 invocations (0.1%)
  rpi4_20: 96 invocations (0.1%)
  rpi3_26: 64 invocations (0.1%)
  rpi3_25: 64 invocations (0.1%)
  rockpi_17: 792 invocations (0.8%)
  rpi4_130: 148 invocations (0.1%)
  rpi3_163: 62 invocations (0.1%)
  rpi4_131: 96 invocations (0.1%)
  rpi3_162: 64 invocations (0.1%)
  rpi3_164: 63 invocations (0.1%)
  rockpi_77: 614 invocations (0.6%)
  rockpi_38: 732 invocations (0.7%)
  rockpi_46: 749 invocations (0.7%)
  rpi4_150: 148 invocations (0.1%)
  rpi4_39: 148 invocations (0.1%)
  rpi3_171: 61 invocations (0.1%)
  rockpi_94: 1004 invocations (1.0%)
  rpi3_133: 146 invocations (0.1%)
  rpi3_132: 147 invocations (0.1%)
  rpi3_134: 147 invocations (0.1%)
  rockpi_91: 627 invocations (0.6%)
  rockpi_21: 724 invocations (0.7%)
  rpi4_45: 96 invocations (0.1%)
  rpi4_84: 113 invocations (0.1%)
  rpi4_85: 116 invocations (0.1%)
  rpi3_147: 60 invocations (0.1%)
  rockpi_87: 621 invocations (0.6%)
  rockpi_81: 465 invocations (0.4%)
  rpi4_96: 610 invocations (0.6%)
  rpi4_97: 612 invocations (0.6%)
  rpi3_122: 140 invocations (0.1%)
  rockpi_8: 949 invocations (0.9%)
  rpi4_128: 92 invocations (0.1%)
  rpi4_129: 92 invocations (0.1%)
  rockpi_34: 461 invocations (0.4%)
  coral_10: 344 invocations (0.3%)
  rpi4_36: 92 invocations (0.1%)
  rpi4_133: 92 invocations (0.1%)
  rpi4_132: 92 invocations (0.1%)
  rockpi_41: 451 invocations (0.4%)
  rockpi_88: 555 invocations (0.5%)
  rockpi_78: 439 invocations (0.4%)
  rockpi_72: 915 invocations (0.9%)
  rockpi_25: 940 invocations (0.9%)
  rockpi_3: 550 invocations (0.5%)
  rpi4_86: 88 invocations (0.1%)
  rockpi_83: 445 invocations (0.4%)
  rpi4_125: 88 invocations (0.1%)
  rpi3_169: 56 invocations (0.1%)
  rpi3_170: 56 invocations (0.1%)
  rockpi_68: 412 invocations (0.4%)
  rockpi_37: 893 invocations (0.8%)
  rockpi_19: 904 invocations (0.9%)
  rpi4_93: 86 invocations (0.1%)
  rpi4_112: 86 invocations (0.1%)
