FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-08-05 14:42:58

Total deployment events: 1206
Number of node-function combinations: 127

Event Type Summary:
  Deployment events: 15
  Replica events: 996
  Network events: 195

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=   0.0s | deployment | global               | resnet50-inference-downtown | deploy resnet50-inference-downtown
t=   0.0s | deployment | global               | resnet50-inference-suburb | deploy resnet50-inference-suburb
t=   0.0s | deployment | global               | resnet50-inference-industrial | deploy resnet50-inference-industrial
t=   0.0s | deployment | global               | speech-inference          | deploy speech-inference
t=   0.0s | deployment | global               | speech-inference-downtown | deploy speech-inference-downtown
t=   0.0s | deployment | global               | speech-inference-suburb   | deploy speech-inference-suburb
t=   0.0s | deployment | global               | resnet50-training         | deploy resnet50-training
t=   0.0s | deployment | global               | resnet50-training-downtown | deploy resnet50-training-downtown
t=   0.0s | deployment | global               | python-pi                 | deploy python-pi
t=   0.0s | deployment | global               | python-pi-downtown        | deploy python-pi-downtown
t=   0.0s | deployment | global               | python-pi-suburb          | deploy python-pi-suburb
t=   0.0s | deployment | global               | fio                       | deploy fio
t=   0.0s | deployment | global               | fio-downtown              | deploy fio-downtown
t=   0.0s | deployment | global               | fio-suburb                | deploy fio-suburb
t=   0.0s | replica    | nano_47              | resnet50-inference        | deploy replica of resnet50-inference
t=   1.0s | replica    | nx_46                | resnet50-inference-downtown | deploy replica of resnet50-inference-downtown
t=   2.0s | replica    | nano_56              | resnet50-inference-suburb | deploy replica of resnet50-inference-suburb
t=   2.0s | network    | registry → rpi3_93   | unknown                   | docker_pull (19.1 MB)
t=   2.1s | network    | registry → rpi3_94   | unknown                   | docker_pull (19.1 MB)
t=   2.2s | network    | registry → coral_19  | unknown                   | docker_pull (59.1 MB)
t=   2.3s | network    | registry → coral_22  | unknown                   | docker_pull (59.1 MB)
t=   2.4s | network    | registry → rockpi_1  | unknown                   | docker_pull (38.1 MB)
t=   2.5s | network    | registry → rockpi_97 | unknown                   | docker_pull (38.1 MB)
t=   2.6s | network    | registry → nano_47   | unknown                   | docker_pull (95.4 MB)
t=   2.7s | network    | registry → nx_46     | unknown                   | docker_pull (95.4 MB)
t=   2.8s | network    | registry → nano_56   | unknown                   | docker_pull (95.4 MB)
t=   2.9s | network    | registry → nano_58   | unknown                   | docker_pull (95.4 MB)
t=   3.0s | replica    | nano_58              | resnet50-inference-industrial | deploy replica of resnet50-inference-industrial
t=   3.0s | network    | registry → nano_0    | unknown                   | docker_pull (95.4 MB)
t=   3.1s | network    | registry → nx_0      | unknown                   | docker_pull (95.4 MB)
t=   3.2s | network    | registry → rockpi_97 | unknown                   | docker_pull (59.1 MB)
t=   3.3s | network    | rockpi_104 → rockpi_1 | unknown                   | data_download (45.8 MB)
t=   3.4s | network    | rockpi_104 → rockpi_97 | unknown                   | data_download (45.8 MB)
t=   3.5s | network    | rockpi_104 → rockpi_1 | unknown                   | data_download (45.8 MB)
t=   3.6s | network    | rockpi_104 → nx_46   | unknown                   | data_download (98.2 MB)
t=   3.7s | network    | rockpi_104 → nano_56 | unknown                   | data_download (98.2 MB)
t=   3.8s | network    | rockpi_104 → nano_47 | unknown                   | data_download (98.2 MB)
t=   3.9s | network    | rockpi_104 → nano_58 | unknown                   | data_download (98.2 MB)
t=   4.0s | replica    | rockpi_1             | speech-inference          | deploy replica of speech-inference
t=   4.0s | network    | rockpi_104 → nano_0  | unknown                   | data_download (55.3 MB)
t=   4.1s | network    | rockpi_104 → nx_0    | unknown                   | data_download (55.3 MB)
t=   4.2s | network    | rockpi_104 → nano_0  | unknown                   | data_download (55.3 MB)
t=   4.3s | network    | rockpi_104 → nano_0  | unknown                   | data_download (55.3 MB)
t=   4.4s | network    | rockpi_104 → nx_0    | unknown                   | data_download (55.3 MB)
t=   4.5s | network    | rockpi_104 → nx_0    | unknown                   | data_download (55.3 MB)
