FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-08-05 13:06:05

Total deployment events: 2475
Number of node-function combinations: 501

Event Type Summary:
  Deployment events: 6
  Replica events: 1708
  Network events: 761

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=   0.0s | deployment | global               | speech-inference          | deploy speech-inference
t=   0.0s | deployment | global               | resnet50-preprocessing    | deploy resnet50-preprocessing
t=   0.0s | deployment | global               | resnet50-training         | deploy resnet50-training
t=   0.0s | deployment | global               | python-pi                 | deploy python-pi
t=   0.0s | deployment | global               | fio                       | deploy fio
t=   0.0s | replica    | nano_2               | resnet50-inference        | deploy replica of resnet50-inference
t=   1.0s | replica    | rockpi_25            | speech-inference          | deploy replica of speech-inference
t=   2.0s | replica    | rockpi_25            | resnet50-preprocessing    | deploy replica of resnet50-preprocessing
t=   2.0s | network    | registry → rpi3_19   | unknown                   | docker_pull (19.1 MB)
t=   2.1s | network    | registry → rpi3_18   | unknown                   | docker_pull (52.5 MB)
t=   2.2s | network    | registry → rockpi_25 | unknown                   | docker_pull (38.1 MB)
t=   2.3s | network    | registry → nano_2    | unknown                   | docker_pull (95.4 MB)
t=   2.4s | network    | registry → nano_7    | unknown                   | docker_pull (95.4 MB)
t=   2.5s | network    | rpi3_0 → rockpi_25   | unknown                   | data_download (45.8 MB)
t=   2.6s | network    | rpi3_0 → nano_2      | unknown                   | data_download (98.2 MB)
t=   2.7s | network    | registry → rockpi_25 | unknown                   | docker_pull (182.2 MB)
t=   2.8s | network    | rpi3_0 → nano_7      | unknown                   | data_download (55.3 MB)
t=   2.9s | network    | rpi3_0 → nano_7      | unknown                   | data_download (55.3 MB)
t=   3.0s | replica    | nano_7               | resnet50-training         | deploy replica of resnet50-training
t=   3.0s | network    | rpi3_0 → nano_7      | unknown                   | data_download (55.3 MB)
t=   3.1s | network    | rpi3_0 → nano_7      | unknown                   | data_download (55.3 MB)
