FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-31 16:58:49

Total deployment events: 3423
Number of node-function combinations: 1152

Event Type Summary:
  Deployment events: 7
  Replica events: 2828
  Network events: 588

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | python-pi                 | deploy python-pi
t=   0.0s | deployment | global               | python-pi-downtown        | deploy python-pi-downtown
t=   0.0s | deployment | global               | python-pi-suburb          | deploy python-pi-suburb
t=   0.0s | deployment | global               | python-pi-industrial      | deploy python-pi-industrial
t=   0.0s | deployment | global               | python-pi-residential     | deploy python-pi-residential
t=   0.0s | deployment | global               | fio                       | deploy fio
t=   0.0s | deployment | global               | fio-downtown              | deploy fio-downtown
t=   0.0s | replica    | rpi4_172             | python-pi                 | deploy replica of python-pi
t=   1.0s | replica    | rpi4_173             | python-pi-downtown        | deploy replica of python-pi-downtown
t=   2.0s | replica    | rpi4_60              | python-pi-suburb          | deploy replica of python-pi-suburb
t=   2.0s | network    | registry → rpi4_172  | unknown                   | docker_pull (19.1 MB)
t=   2.1s | network    | registry → rpi4_173  | unknown                   | docker_pull (19.1 MB)
t=   2.2s | network    | registry → rpi4_60   | unknown                   | docker_pull (52.5 MB)
t=   2.3s | network    | registry → rpi4_61   | unknown                   | docker_pull (52.5 MB)
t=   2.4s | network    | registry → rpi3_204  | unknown                   | docker_pull (52.5 MB)
t=   2.5s | network    | registry → rpi4_172  | unknown                   | docker_pull (52.5 MB)
t=   2.6s | network    | registry → rpi4_173  | unknown                   | docker_pull (52.5 MB)
t=   2.7s | network    | registry → rpi4_60   | unknown                   | docker_pull (19.1 MB)
t=   2.8s | network    | registry → rpi4_61   | unknown                   | docker_pull (19.1 MB)
t=   2.9s | network    | registry → rpi3_205  | unknown                   | docker_pull (52.5 MB)
t=   3.0s | replica    | rpi4_61              | python-pi-industrial      | deploy replica of python-pi-industrial
t=   3.0s | network    | registry → rpi3_206  | unknown                   | docker_pull (52.5 MB)
t=   3.1s | network    | registry → coral_12  | unknown                   | docker_pull (59.1 MB)
t=   3.2s | network    | registry → rockpi_62 | unknown                   | docker_pull (59.1 MB)
t=   3.3s | network    | registry → rpi4_148  | unknown                   | docker_pull (19.1 MB)
t=   3.4s | network    | registry → rpi3_84   | unknown                   | docker_pull (52.5 MB)
t=   3.5s | network    | registry → rpi3_85   | unknown                   | docker_pull (52.5 MB)
t=   3.6s | network    | registry → rpi3_86   | unknown                   | docker_pull (52.5 MB)
t=   3.7s | network    | registry → nx_0      | unknown                   | docker_pull (59.1 MB)
t=   3.8s | network    | registry → rpi4_149  | unknown                   | docker_pull (19.1 MB)
t=   3.9s | network    | registry → rpi4_96   | unknown                   | docker_pull (19.1 MB)
t=   4.0s | replica    | rpi3_204             | python-pi-residential     | deploy replica of python-pi-residential
t=   4.0s | network    | registry → rpi4_97   | unknown                   | docker_pull (52.5 MB)
t=   4.1s | network    | registry → rockpi_33 | unknown                   | docker_pull (59.1 MB)
t=   4.2s | network    | registry → rpi4_149  | unknown                   | docker_pull (52.5 MB)
t=   4.3s | network    | registry → rpi4_96   | unknown                   | docker_pull (52.5 MB)
t=   4.4s | network    | registry → rpi4_97   | unknown                   | docker_pull (19.1 MB)
t=   4.5s | network    | registry → rpi4_50   | unknown                   | docker_pull (19.1 MB)
t=   4.6s | network    | registry → rpi4_51   | unknown                   | docker_pull (52.5 MB)
t=   4.7s | network    | registry → rpi4_146  | unknown                   | docker_pull (52.5 MB)
t=   4.8s | network    | registry → rockpi_97 | unknown                   | docker_pull (59.1 MB)
t=   4.9s | network    | registry → rpi4_50   | unknown                   | docker_pull (52.5 MB)
t=   5.0s | replica    | rpi4_172             | fio                       | deploy replica of fio
t=   5.0s | network    | registry → rpi4_51   | unknown                   | docker_pull (19.1 MB)
t=   5.1s | network    | registry → rpi4_146  | unknown                   | docker_pull (19.1 MB)
t=   5.2s | network    | registry → rpi4_147  | unknown                   | docker_pull (52.5 MB)
t=   5.3s | network    | registry → rockpi_130 | unknown                   | docker_pull (59.1 MB)
t=   5.4s | network    | registry → rockpi_99 | unknown                   | docker_pull (59.1 MB)
t=   5.5s | network    | registry → rpi4_147  | unknown                   | docker_pull (19.1 MB)
t=   5.6s | network    | registry → rpi4_118  | unknown                   | docker_pull (19.1 MB)
t=   5.7s | network    | registry → rpi4_119  | unknown                   | docker_pull (52.5 MB)
t=   5.8s | network    | registry → rpi3_159  | unknown                   | docker_pull (52.5 MB)
t=   5.9s | network    | registry → rpi3_160  | unknown                   | docker_pull (52.5 MB)
t=   6.0s | replica    | rpi4_173             | fio-downtown              | deploy replica of fio-downtown
t=   6.0s | network    | registry → rpi3_161  | unknown                   | docker_pull (52.5 MB)
t=   6.1s | network    | registry → rpi4_118  | unknown                   | docker_pull (52.5 MB)
t=   6.2s | network    | registry → rpi4_119  | unknown                   | docker_pull (19.1 MB)
t=   6.3s | network    | registry → rpi4_82   | unknown                   | docker_pull (19.1 MB)
t=   6.4s | network    | registry → rpi4_83   | unknown                   | docker_pull (52.5 MB)
t=   6.5s | network    | registry → rpi4_66   | unknown                   | docker_pull (52.5 MB)
t=   6.6s | network    | registry → rpi4_67   | unknown                   | docker_pull (52.5 MB)
t=   6.7s | network    | registry → rpi4_46   | unknown                   | docker_pull (52.5 MB)
t=   6.8s | network    | registry → rpi4_82   | unknown                   | docker_pull (52.5 MB)
t=   6.9s | network    | registry → rpi4_83   | unknown                   | docker_pull (19.1 MB)
t=   7.0s | replica    | rpi4_172             | fio                       | startup replica of fio
t=   7.0s | network    | registry → rpi4_66   | unknown                   | docker_pull (19.1 MB)
t=   7.1s | network    | registry → rpi4_47   | unknown                   | docker_pull (52.5 MB)
t=   7.2s | network    | registry → rpi4_108  | unknown                   | docker_pull (52.5 MB)
t=   7.3s | network    | registry → rpi4_109  | unknown                   | docker_pull (52.5 MB)
t=   7.4s | network    | registry → coral_0   | unknown                   | docker_pull (59.1 MB)
t=   7.5s | network    | registry → nx_1      | unknown                   | docker_pull (59.1 MB)
t=   7.6s | network    | registry → rpi4_67   | unknown                   | docker_pull (19.1 MB)
t=   7.7s | network    | registry → rpi4_46   | unknown                   | docker_pull (19.1 MB)
t=   7.8s | network    | registry → rpi4_102  | unknown                   | docker_pull (52.5 MB)
t=   7.9s | network    | registry → rpi4_103  | unknown                   | docker_pull (52.5 MB)
t=   8.0s | replica    | rpi4_172             | fio                       | setup replica of fio
t=   8.0s | network    | registry → rockpi_86 | unknown                   | docker_pull (59.1 MB)
t=   8.1s | network    | registry → rpi4_47   | unknown                   | docker_pull (19.1 MB)
t=   8.2s | network    | registry → rpi4_108  | unknown                   | docker_pull (19.1 MB)
t=   8.3s | network    | registry → rpi4_4    | unknown                   | docker_pull (52.5 MB)
t=   8.4s | network    | registry → rpi4_5    | unknown                   | docker_pull (52.5 MB)
t=   8.5s | network    | registry → rockpi_34 | unknown                   | docker_pull (59.1 MB)
t=   8.6s | network    | registry → rockpi_29 | unknown                   | docker_pull (59.1 MB)
t=   8.7s | network    | registry → rpi4_109  | unknown                   | docker_pull (19.1 MB)
t=   8.8s | network    | registry → rpi4_102  | unknown                   | docker_pull (19.1 MB)
t=   8.9s | network    | registry → rpi3_201  | unknown                   | docker_pull (52.5 MB)
t=   9.0s | replica    | rpi4_172             | fio                       | finish replica of fio
t=   9.0s | network    | registry → rpi3_202  | unknown                   | docker_pull (52.5 MB)
t=   9.1s | network    | registry → rpi3_203  | unknown                   | docker_pull (52.5 MB)
t=   9.2s | network    | registry → rockpi_112 | unknown                   | docker_pull (59.1 MB)
t=   9.3s | network    | registry → rpi4_103  | unknown                   | docker_pull (19.1 MB)
t=   9.4s | network    | registry → rpi4_4    | unknown                   | docker_pull (19.1 MB)
t=   9.5s | network    | registry → rpi3_27   | unknown                   | docker_pull (52.5 MB)
t=   9.6s | network    | registry → rpi3_28   | unknown                   | docker_pull (52.5 MB)
t=   9.7s | network    | registry → rockpi_85 | unknown                   | docker_pull (59.1 MB)
t=   9.8s | network    | registry → rpi4_5    | unknown                   | docker_pull (19.1 MB)
t=   9.9s | network    | registry → rpi4_72   | unknown                   | docker_pull (19.1 MB)
t=  10.0s | replica    | rpi4_173             | fio-downtown              | startup replica of fio-downtown
t=  10.0s | network    | registry → rpi3_29   | unknown                   | docker_pull (52.5 MB)
t=  10.1s | network    | registry → rockpi_66 | unknown                   | docker_pull (59.1 MB)
t=  10.2s | network    | registry → rockpi_81 | unknown                   | docker_pull (59.1 MB)
t=  10.3s | network    | registry → rpi4_73   | unknown                   | docker_pull (19.1 MB)
t=  10.4s | network    | registry → rpi3_45   | unknown                   | docker_pull (52.5 MB)
t=  10.5s | network    | registry → rpi3_46   | unknown                   | docker_pull (52.5 MB)
t=  10.6s | network    | registry → rpi3_47   | unknown                   | docker_pull (52.5 MB)
t=  10.7s | network    | registry → rpi4_194  | unknown                   | docker_pull (52.5 MB)
t=  10.8s | network    | registry → rpi4_73   | unknown                   | docker_pull (52.5 MB)
t=  10.9s | network    | registry → rpi4_194  | unknown                   | docker_pull (19.1 MB)
t=  11.0s | replica    | rpi4_173             | fio-downtown              | setup replica of fio-downtown
t=  11.0s | network    | registry → rpi4_195  | unknown                   | docker_pull (19.1 MB)
t=  11.1s | network    | registry → rpi4_116  | unknown                   | docker_pull (52.5 MB)
t=  11.2s | network    | registry → rpi4_117  | unknown                   | docker_pull (52.5 MB)
t=  11.3s | network    | registry → rpi4_38   | unknown                   | docker_pull (52.5 MB)
t=  11.4s | network    | registry → rpi4_39   | unknown                   | docker_pull (52.5 MB)
t=  11.5s | network    | registry → rpi4_195  | unknown                   | docker_pull (52.5 MB)
t=  11.6s | network    | registry → rpi4_116  | unknown                   | docker_pull (19.1 MB)
t=  11.7s | network    | registry → rpi4_117  | unknown                   | docker_pull (19.1 MB)
t=  11.8s | network    | registry → rpi3_72   | unknown                   | docker_pull (52.5 MB)
t=  11.9s | network    | registry → rpi3_73   | unknown                   | docker_pull (52.5 MB)
t=  12.0s | replica    | rpi4_173             | fio-downtown              | finish replica of fio-downtown
t=  12.0s | network    | registry → rpi3_74   | unknown                   | docker_pull (52.5 MB)
t=  12.1s | network    | registry → rpi3_75   | unknown                   | docker_pull (52.5 MB)
t=  12.2s | network    | registry → rpi3_76   | unknown                   | docker_pull (52.5 MB)
t=  12.3s | network    | registry → rpi4_38   | unknown                   | docker_pull (19.1 MB)
t=  12.4s | network    | registry → rpi4_39   | unknown                   | docker_pull (19.1 MB)
t=  12.5s | network    | registry → rpi3_77   | unknown                   | docker_pull (52.5 MB)
t=  12.6s | network    | registry → rpi4_70   | unknown                   | docker_pull (52.5 MB)
t=  12.7s | network    | registry → rpi4_71   | unknown                   | docker_pull (52.5 MB)
t=  12.8s | network    | registry → rockpi_18 | unknown                   | docker_pull (59.1 MB)
t=  12.9s | network    | registry → rpi4_70   | unknown                   | docker_pull (19.1 MB)
t=  13.0s | replica    | rpi4_60              | python-pi-suburb          | startup replica of python-pi-suburb
t=  13.0s | network    | registry → rpi4_71   | unknown                   | docker_pull (19.1 MB)
t=  13.1s | network    | registry → rpi4_58   | unknown                   | docker_pull (52.5 MB)
t=  13.2s | network    | registry → rpi4_59   | unknown                   | docker_pull (52.5 MB)
t=  13.3s | network    | registry → rpi4_138  | unknown                   | docker_pull (52.5 MB)
t=  13.4s | network    | registry → rpi4_139  | unknown                   | docker_pull (52.5 MB)
t=  13.5s | network    | registry → rpi3_198  | unknown                   | docker_pull (52.5 MB)
t=  13.6s | network    | registry → rpi4_58   | unknown                   | docker_pull (19.1 MB)
t=  13.7s | network    | registry → rpi4_59   | unknown                   | docker_pull (19.1 MB)
t=  13.8s | network    | registry → rpi3_199  | unknown                   | docker_pull (52.5 MB)
t=  13.9s | network    | registry → rpi3_200  | unknown                   | docker_pull (52.5 MB)
t=  14.0s | replica    | rpi4_60              | python-pi-suburb          | setup replica of python-pi-suburb
t=  14.0s | network    | registry → rpi4_184  | unknown                   | docker_pull (52.5 MB)
t=  14.1s | network    | registry → rpi4_185  | unknown                   | docker_pull (52.5 MB)
t=  14.2s | network    | registry → rockpi_53 | unknown                   | docker_pull (59.1 MB)
t=  14.3s | network    | registry → rpi4_138  | unknown                   | docker_pull (19.1 MB)
t=  14.4s | network    | registry → rpi4_139  | unknown                   | docker_pull (19.1 MB)
t=  14.5s | network    | registry → rpi4_84   | unknown                   | docker_pull (52.5 MB)
t=  14.6s | network    | registry → rpi4_85   | unknown                   | docker_pull (52.5 MB)
t=  14.7s | network    | registry → rockpi_27 | unknown                   | docker_pull (59.1 MB)
t=  14.8s | network    | registry → rpi4_184  | unknown                   | docker_pull (19.1 MB)
t=  14.9s | network    | registry → rpi4_185  | unknown                   | docker_pull (19.1 MB)
t=  15.0s | replica    | rpi4_60              | python-pi-suburb          | finish replica of python-pi-suburb
t=  15.0s | network    | registry → rpi4_54   | unknown                   | docker_pull (52.5 MB)
t=  15.1s | network    | registry → rpi4_55   | unknown                   | docker_pull (52.5 MB)
t=  15.2s | network    | registry → rpi3_165  | unknown                   | docker_pull (52.5 MB)
t=  15.3s | network    | registry → rockpi_83 | unknown                   | docker_pull (59.1 MB)
t=  15.4s | network    | registry → rpi4_84   | unknown                   | docker_pull (19.1 MB)
t=  15.5s | network    | registry → rpi4_85   | unknown                   | docker_pull (19.1 MB)
t=  15.6s | network    | registry → rpi3_166  | unknown                   | docker_pull (52.5 MB)
t=  15.7s | network    | registry → rpi3_167  | unknown                   | docker_pull (52.5 MB)
t=  15.8s | network    | registry → rockpi_40 | unknown                   | docker_pull (59.1 MB)
t=  15.9s | network    | registry → rockpi_3  | unknown                   | docker_pull (59.1 MB)
t=  16.0s | replica    | rpi4_61              | python-pi-industrial      | startup replica of python-pi-industrial
t=  16.0s | network    | registry → rpi4_54   | unknown                   | docker_pull (19.1 MB)
t=  16.1s | network    | registry → rpi4_55   | unknown                   | docker_pull (19.1 MB)
t=  16.2s | network    | registry → rpi4_244  | unknown                   | docker_pull (52.5 MB)
t=  16.3s | network    | registry → rpi4_245  | unknown                   | docker_pull (52.5 MB)
t=  16.4s | network    | registry → rpi3_39   | unknown                   | docker_pull (52.5 MB)
t=  16.5s | network    | registry → rpi3_40   | unknown                   | docker_pull (52.5 MB)
t=  16.6s | network    | registry → rpi4_244  | unknown                   | docker_pull (19.1 MB)
t=  16.7s | network    | registry → rpi4_245  | unknown                   | docker_pull (19.1 MB)
t=  16.8s | network    | registry → rpi3_41   | unknown                   | docker_pull (52.5 MB)
t=  16.9s | network    | registry → rockpi_110 | unknown                   | docker_pull (59.1 MB)
t=  17.0s | replica    | rpi4_61              | python-pi-industrial      | setup replica of python-pi-industrial
t=  17.0s | network    | registry → rockpi_68 | unknown                   | docker_pull (59.1 MB)
t=  17.1s | network    | registry → rpi4_52   | unknown                   | docker_pull (19.1 MB)
t=  17.2s | network    | registry → rpi4_53   | unknown                   | docker_pull (19.1 MB)
t=  17.3s | network    | registry → rpi4_78   | unknown                   | docker_pull (52.5 MB)
t=  17.4s | network    | registry → rockpi_132 | unknown                   | docker_pull (59.1 MB)
t=  17.5s | network    | registry → rpi4_52   | unknown                   | docker_pull (52.5 MB)
t=  17.6s | network    | registry → rpi4_53   | unknown                   | docker_pull (52.5 MB)
t=  17.7s | network    | registry → rpi4_78   | unknown                   | docker_pull (19.1 MB)
t=  17.8s | network    | registry → rpi4_79   | unknown                   | docker_pull (19.1 MB)
t=  17.9s | network    | registry → rpi3_60   | unknown                   | docker_pull (52.5 MB)
t=  18.0s | replica    | rpi4_61              | python-pi-industrial      | finish replica of python-pi-industrial
t=  18.0s | network    | registry → rpi3_61   | unknown                   | docker_pull (52.5 MB)
t=  18.1s | network    | registry → rpi3_62   | unknown                   | docker_pull (52.5 MB)
t=  18.2s | network    | registry → rockpi_63 | unknown                   | docker_pull (59.1 MB)
t=  18.3s | network    | registry → rpi4_79   | unknown                   | docker_pull (52.5 MB)
t=  18.4s | network    | registry → rpi4_202  | unknown                   | docker_pull (19.1 MB)
t=  18.5s | network    | registry → rpi4_203  | unknown                   | docker_pull (19.1 MB)
