FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-31 17:00:27

Topology Overview:
  Number of nodes: 425
  Number of functions: 7
  Number of images: 2

Node Distribution:
  rpi4_173: 184 invocations (1.1%)
  rpi4_60: 196 invocations (1.2%)
  rpi4_61: 168 invocations (1.0%)
  rpi4_172: 197 invocations (1.2%)
  rpi3_204: 116 invocations (0.7%)
  rockpi_62: 203 invocations (1.2%)
  coral_12: 106 invocations (0.6%)
  rpi3_205: 108 invocations (0.6%)
  rpi3_206: 101 invocations (0.6%)
  nx_0: 180 invocations (1.1%)
  rpi3_84: 93 invocations (0.6%)
  rpi3_86: 91 invocations (0.5%)
  rpi3_85: 92 invocations (0.6%)
  rockpi_33: 164 invocations (1.0%)
  rpi4_97: 150 invocations (0.9%)
  rpi4_96: 118 invocations (0.7%)
  rpi4_149: 152 invocations (0.9%)
  rockpi_97: 158 invocations (0.9%)
  rpi4_50: 107 invocations (0.6%)
  rpi4_146: 102 invocations (0.6%)
  rpi4_51: 143 invocations (0.9%)
  rockpi_99: 140 invocations (0.8%)
  rockpi_130: 142 invocations (0.9%)
  rpi4_147: 137 invocations (0.8%)
  rpi3_161: 65 invocations (0.4%)
  rpi4_119: 132 invocations (0.8%)
  rpi4_118: 94 invocations (0.6%)
  rpi3_160: 68 invocations (0.4%)
  rpi3_159: 65 invocations (0.4%)
  rpi4_148: 108 invocations (0.6%)
  rpi4_67: 129 invocations (0.8%)
  rpi4_82: 89 invocations (0.5%)
  rpi4_46: 84 invocations (0.5%)
  rpi4_66: 87 invocations (0.5%)
  rpi4_83: 129 invocations (0.8%)
  nx_1: 117 invocations (0.7%)
  rpi4_108: 85 invocations (0.5%)
  rpi4_109: 124 invocations (0.7%)
  rpi4_47: 123 invocations (0.7%)
  coral_0: 62 invocations (0.4%)
  rockpi_86: 116 invocations (0.7%)
  rpi4_103: 119 invocations (0.7%)
  rpi4_102: 80 invocations (0.5%)
  rockpi_34: 114 invocations (0.7%)
  rockpi_29: 106 invocations (0.6%)
  rpi4_4: 75 invocations (0.4%)
  rpi4_5: 116 invocations (0.7%)
  rpi3_202: 54 invocations (0.3%)
  rockpi_112: 102 invocations (0.6%)
  rpi3_201: 54 invocations (0.3%)
  rpi3_203: 56 invocations (0.3%)
  rockpi_85: 103 invocations (0.6%)
  rpi3_28: 50 invocations (0.3%)
  rpi3_27: 54 invocations (0.3%)
  rockpi_66: 100 invocations (0.6%)
  rockpi_81: 99 invocations (0.6%)
  rpi3_29: 49 invocations (0.3%)
  rpi3_46: 48 invocations (0.3%)
  rpi4_194: 106 invocations (0.6%)
  rpi4_73: 65 invocations (0.4%)
  rpi3_45: 48 invocations (0.3%)
  rpi3_47: 49 invocations (0.3%)
  rpi4_39: 62 invocations (0.4%)
  rpi4_38: 105 invocations (0.6%)
  rpi4_117: 63 invocations (0.4%)
  rpi4_195: 62 invocations (0.4%)
  rpi4_116: 105 invocations (0.6%)
  rpi3_72: 44 invocations (0.3%)
  rpi3_73: 45 invocations (0.3%)
  rpi3_76: 43 invocations (0.3%)
  rpi3_74: 45 invocations (0.3%)
  rpi3_75: 45 invocations (0.3%)
  rockpi_18: 88 invocations (0.5%)
  rpi4_71: 58 invocations (0.3%)
  rpi3_77: 42 invocations (0.3%)
  rpi4_70: 101 invocations (0.6%)
  rpi4_139: 58 invocations (0.3%)
  rpi4_138: 99 invocations (0.6%)
  rpi4_58: 97 invocations (0.6%)
  rpi4_59: 58 invocations (0.3%)
  rpi3_198: 40 invocations (0.2%)
  rpi4_72: 79 invocations (0.5%)
  rockpi_53: 77 invocations (0.5%)
  rpi3_200: 41 invocations (0.2%)
  rpi3_199: 39 invocations (0.2%)
  rpi4_185: 56 invocations (0.3%)
