FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-31 10:46:34

Topology Overview:
  Number of nodes: 240
  Number of functions: 9
  Number of images: 2

Node Distribution:
  rockpi_9: 559 invocations (1.7%)
  rpi4_13: 276 invocations (0.8%)
  rpi4_12: 344 invocations (1.0%)
  rpi3_3: 311 invocations (0.9%)
  rpi3_4: 284 invocations (0.9%)
  rpi3_5: 314 invocations (0.9%)
  rockpi_3: 465 invocations (1.4%)
  rpi4_28: 294 invocations (0.9%)
  rpi3_19: 247 invocations (0.7%)
  rpi4_29: 224 invocations (0.7%)
  rpi3_20: 258 invocations (0.8%)
  rpi3_18: 279 invocations (0.8%)
  rpi4_14: 272 invocations (0.8%)
  rpi4_26: 278 invocations (0.8%)
  rpi4_30: 269 invocations (0.8%)
  rpi4_15: 191 invocations (0.6%)
  rpi4_27: 199 invocations (0.6%)
  coral_1: 254 invocations (0.8%)
  rpi4_31: 192 invocations (0.6%)
  rockpi_7: 344 invocations (1.0%)
  rpi4_4: 257 invocations (0.8%)
  rpi4_5: 181 invocations (0.5%)
  rpi3_21: 240 invocations (0.7%)
  rpi3_23: 236 invocations (0.7%)
  rpi3_22: 207 invocations (0.6%)
  rockpi_2: 337 invocations (1.0%)
  rockpi_5: 361 invocations (1.1%)
  rpi3_28: 218 invocations (0.7%)
  rpi3_29: 230 invocations (0.7%)
  rpi3_27: 217 invocations (0.7%)
  rockpi_0: 321 invocations (1.0%)
  rpi4_24: 235 invocations (0.7%)
  rpi3_1: 206 invocations (0.6%)
  rpi4_25: 156 invocations (0.5%)
  rpi3_2: 210 invocations (0.6%)
  rpi3_0: 205 invocations (0.6%)
  rpi4_20: 230 invocations (0.7%)
  rpi4_9: 142 invocations (0.4%)
  rpi4_21: 151 invocations (0.5%)
  rpi4_7: 146 invocations (0.4%)
  coral_2: 196 invocations (0.6%)
  rpi4_8: 224 invocations (0.7%)
  rpi4_6: 229 invocations (0.7%)
  rockpi_8: 278 invocations (0.8%)
  rpi4_33: 140 invocations (0.4%)
  rpi4_11: 141 invocations (0.4%)
  rpi4_36: 210 invocations (0.6%)
  rpi4_10: 218 invocations (0.7%)
  rpi4_32: 216 invocations (0.6%)
  rockpi_4: 270 invocations (0.8%)
  rpi4_37: 130 invocations (0.4%)
  rpi3_16: 155 invocations (0.5%)
  rpi3_17: 175 invocations (0.5%)
  coral_0: 172 invocations (0.5%)
  rpi3_15: 185 invocations (0.6%)
  rockpi_12: 252 invocations (0.8%)
  rpi4_3: 124 invocations (0.4%)
  rpi4_35: 124 invocations (0.4%)
  rpi4_34: 197 invocations (0.6%)
  rpi4_2: 204 invocations (0.6%)
  rpi3_9: 165 invocations (0.5%)
  rpi3_25: 138 invocations (0.4%)
  rpi4_1: 116 invocations (0.3%)
  rpi4_0: 195 invocations (0.6%)
  rpi3_26: 161 invocations (0.5%)
  rpi3_10: 139 invocations (0.4%)
  rpi3_24: 163 invocations (0.5%)
  rpi3_11: 159 invocations (0.5%)
  rockpi_1: 235 invocations (0.7%)
  nx_0: 248 invocations (0.7%)
  rpi4_38: 187 invocations (0.6%)
  rpi4_39: 112 invocations (0.3%)
  nx_1: 242 invocations (0.7%)
  rockpi_11: 222 invocations (0.7%)
  rockpi_6: 253 invocations (0.8%)
  rpi3_7: 149 invocations (0.4%)
  rpi3_6: 146 invocations (0.4%)
  rpi4_40: 179 invocations (0.5%)
  rpi3_8: 125 invocations (0.4%)
  rpi4_19: 107 invocations (0.3%)
  rpi4_41: 104 invocations (0.3%)
  rpi3_12: 140 invocations (0.4%)
  rpi3_13: 138 invocations (0.4%)
  rpi4_18: 178 invocations (0.5%)
  rockpi_10: 206 invocations (0.6%)
  rpi4_23: 103 invocations (0.3%)
