FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-31 10:58:07

Total deployment events: 4325
Number of node-function combinations: 1448

Event Type Summary:
  Deployment events: 9
  Replica events: 3636
  Network events: 680

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | python-pi                 | deploy python-pi
t=   0.0s | deployment | global               | python-pi-downtown        | deploy python-pi-downtown
t=   0.0s | deployment | global               | python-pi-suburb          | deploy python-pi-suburb
t=   0.0s | deployment | global               | python-pi-industrial      | deploy python-pi-industrial
t=   0.0s | deployment | global               | python-pi-residential     | deploy python-pi-residential
t=   0.0s | deployment | global               | python-pi-commercial      | deploy python-pi-commercial
t=   0.0s | deployment | global               | python-pi-airport         | deploy python-pi-airport
t=   0.0s | deployment | global               | fio                       | deploy fio
t=   0.0s | deployment | global               | fio-downtown              | deploy fio-downtown
t=   0.0s | replica    | rpi4_20              | python-pi                 | deploy replica of python-pi
t=   1.0s | replica    | rpi4_21              | python-pi-downtown        | deploy replica of python-pi-downtown
t=   2.0s | replica    | rpi4_26              | python-pi-suburb          | deploy replica of python-pi-suburb
t=   2.0s | network    | registry → rpi4_20   | unknown                   | docker_pull (19.1 MB)
t=   2.1s | network    | registry → rpi4_21   | unknown                   | docker_pull (19.1 MB)
t=   2.2s | network    | registry → rpi4_26   | unknown                   | docker_pull (52.5 MB)
t=   2.3s | network    | registry → rpi4_27   | unknown                   | docker_pull (52.5 MB)
t=   2.4s | network    | registry → nx_13     | unknown                   | docker_pull (59.1 MB)
t=   2.5s | network    | registry → rockpi_18 | unknown                   | docker_pull (59.1 MB)
t=   2.6s | network    | registry → rpi4_20   | unknown                   | docker_pull (52.5 MB)
t=   2.7s | network    | registry → rpi4_21   | unknown                   | docker_pull (52.5 MB)
t=   2.8s | network    | registry → rpi4_26   | unknown                   | docker_pull (19.1 MB)
t=   2.9s | network    | registry → rpi4_27   | unknown                   | docker_pull (19.1 MB)
t=   3.0s | replica    | rpi4_27              | python-pi-industrial      | deploy replica of python-pi-industrial
t=   3.0s | network    | registry → rockpi_1  | unknown                   | docker_pull (59.1 MB)
t=   3.1s | network    | registry → rpi4_14   | unknown                   | docker_pull (52.5 MB)
t=   3.2s | network    | registry → rpi4_15   | unknown                   | docker_pull (52.5 MB)
t=   3.3s | network    | registry → rockpi_25 | unknown                   | docker_pull (59.1 MB)
t=   3.4s | network    | registry → rpi4_14   | unknown                   | docker_pull (19.1 MB)
t=   3.5s | network    | registry → rpi4_15   | unknown                   | docker_pull (19.1 MB)
t=   3.6s | network    | registry → rpi4_58   | unknown                   | docker_pull (52.5 MB)
t=   3.7s | network    | registry → rpi4_59   | unknown                   | docker_pull (52.5 MB)
t=   3.8s | network    | registry → rpi3_108  | unknown                   | docker_pull (52.5 MB)
t=   3.9s | network    | registry → rpi3_109  | unknown                   | docker_pull (52.5 MB)
t=   4.0s | replica    | nx_13                | python-pi-residential     | deploy replica of python-pi-residential
t=   4.0s | network    | registry → rpi3_110  | unknown                   | docker_pull (52.5 MB)
t=   4.1s | network    | registry → rpi4_48   | unknown                   | docker_pull (52.5 MB)
t=   4.2s | network    | registry → rpi4_49   | unknown                   | docker_pull (52.5 MB)
t=   4.3s | network    | registry → rpi4_58   | unknown                   | docker_pull (19.1 MB)
t=   4.4s | network    | registry → rpi4_59   | unknown                   | docker_pull (19.1 MB)
t=   4.5s | network    | registry → rpi3_87   | unknown                   | docker_pull (52.5 MB)
t=   4.6s | network    | registry → rpi3_88   | unknown                   | docker_pull (52.5 MB)
t=   4.7s | network    | registry → rpi3_89   | unknown                   | docker_pull (52.5 MB)
t=   4.8s | network    | registry → rpi4_98   | unknown                   | docker_pull (52.5 MB)
t=   4.9s | network    | registry → rpi4_99   | unknown                   | docker_pull (52.5 MB)
t=   5.0s | replica    | nx_13                | python-pi-commercial      | deploy replica of python-pi-commercial
t=   5.0s | network    | registry → nx_0      | unknown                   | docker_pull (59.1 MB)
t=   5.1s | network    | registry → rpi4_48   | unknown                   | docker_pull (19.1 MB)
t=   5.2s | network    | registry → rpi4_49   | unknown                   | docker_pull (19.1 MB)
t=   5.3s | network    | registry → nx_1      | unknown                   | docker_pull (59.1 MB)
t=   5.4s | network    | registry → rpi4_104  | unknown                   | docker_pull (52.5 MB)
t=   5.5s | network    | registry → rpi4_105  | unknown                   | docker_pull (52.5 MB)
t=   5.6s | network    | registry → nx_11     | unknown                   | docker_pull (59.1 MB)
t=   5.7s | network    | registry → coral_12  | unknown                   | docker_pull (59.1 MB)
t=   5.8s | network    | registry → rpi4_98   | unknown                   | docker_pull (19.1 MB)
t=   5.9s | network    | registry → rpi4_99   | unknown                   | docker_pull (19.1 MB)
t=   6.0s | replica    | nx_13                | python-pi-commercial      | startup replica of python-pi-commercial
t=   6.0s | network    | registry → rpi3_6    | unknown                   | docker_pull (52.5 MB)
t=   6.1s | network    | registry → rpi3_7    | unknown                   | docker_pull (52.5 MB)
t=   6.2s | network    | registry → rpi3_8    | unknown                   | docker_pull (52.5 MB)
t=   6.3s | network    | registry → rpi3_48   | unknown                   | docker_pull (52.5 MB)
t=   6.4s | network    | registry → rpi3_49   | unknown                   | docker_pull (52.5 MB)
t=   6.5s | network    | registry → rpi3_50   | unknown                   | docker_pull (52.5 MB)
t=   6.6s | network    | registry → rpi4_118  | unknown                   | docker_pull (52.5 MB)
t=   6.7s | network    | registry → rpi4_104  | unknown                   | docker_pull (19.1 MB)
t=   6.8s | network    | registry → rpi4_105  | unknown                   | docker_pull (19.1 MB)
t=   6.9s | network    | registry → rpi4_112  | unknown                   | docker_pull (52.5 MB)
t=   7.0s | replica    | nx_13                | python-pi-commercial      | setup replica of python-pi-commercial
t=   7.0s | network    | registry → rpi4_113  | unknown                   | docker_pull (52.5 MB)
t=   7.1s | network    | registry → rpi4_10   | unknown                   | docker_pull (52.5 MB)
t=   7.2s | network    | registry → rpi4_11   | unknown                   | docker_pull (52.5 MB)
t=   7.3s | network    | registry → rpi3_105  | unknown                   | docker_pull (52.5 MB)
t=   7.4s | network    | registry → rpi3_106  | unknown                   | docker_pull (52.5 MB)
t=   7.5s | network    | registry → rpi3_107  | unknown                   | docker_pull (52.5 MB)
t=   7.6s | network    | registry → rpi4_118  | unknown                   | docker_pull (19.1 MB)
t=   7.7s | network    | registry → rpi4_112  | unknown                   | docker_pull (19.1 MB)
t=   7.8s | network    | registry → rpi4_60   | unknown                   | docker_pull (52.5 MB)
t=   7.9s | network    | registry → nx_20     | unknown                   | docker_pull (59.1 MB)
t=   8.0s | replica    | nx_13                | python-pi-commercial      | finish replica of python-pi-commercial
t=   8.0s | network    | registry → rpi4_61   | unknown                   | docker_pull (52.5 MB)
t=   8.1s | network    | registry → rpi3_63   | unknown                   | docker_pull (52.5 MB)
t=   8.2s | network    | registry → coral_13  | unknown                   | docker_pull (59.1 MB)
t=   8.3s | network    | registry → rpi3_64   | unknown                   | docker_pull (52.5 MB)
t=   8.4s | network    | registry → rpi4_113  | unknown                   | docker_pull (19.1 MB)
t=   8.5s | network    | registry → rpi4_10   | unknown                   | docker_pull (19.1 MB)
t=   8.6s | network    | registry → rpi3_65   | unknown                   | docker_pull (52.5 MB)
t=   8.7s | network    | registry → rpi4_102  | unknown                   | docker_pull (52.5 MB)
t=   8.8s | network    | registry → rpi4_103  | unknown                   | docker_pull (52.5 MB)
t=   8.9s | network    | registry → rpi4_54   | unknown                   | docker_pull (52.5 MB)
t=   9.0s | replica    | rockpi_18            | python-pi-airport         | deploy replica of python-pi-airport
t=   9.0s | network    | registry → rpi4_55   | unknown                   | docker_pull (52.5 MB)
t=   9.1s | network    | registry → rpi4_88   | unknown                   | docker_pull (52.5 MB)
t=   9.2s | network    | registry → rpi4_89   | unknown                   | docker_pull (52.5 MB)
t=   9.3s | network    | registry → rpi4_11   | unknown                   | docker_pull (19.1 MB)
t=   9.4s | network    | registry → rpi4_60   | unknown                   | docker_pull (19.1 MB)
t=   9.5s | network    | registry → rpi4_50   | unknown                   | docker_pull (52.5 MB)
t=   9.6s | network    | registry → rpi4_51   | unknown                   | docker_pull (52.5 MB)
t=   9.7s | network    | registry → rpi3_111  | unknown                   | docker_pull (52.5 MB)
t=   9.8s | network    | registry → rockpi_24 | unknown                   | docker_pull (59.1 MB)
t=   9.9s | network    | registry → nx_24     | unknown                   | docker_pull (59.1 MB)
t=  10.0s | replica    | rpi4_20              | fio                       | deploy replica of fio
t=  10.0s | network    | registry → rpi4_61   | unknown                   | docker_pull (19.1 MB)
t=  10.1s | network    | registry → rpi4_102  | unknown                   | docker_pull (19.1 MB)
t=  10.2s | network    | registry → rpi3_112  | unknown                   | docker_pull (52.5 MB)
t=  10.3s | network    | registry → rpi3_113  | unknown                   | docker_pull (52.5 MB)
t=  10.4s | network    | registry → rpi3_102  | unknown                   | docker_pull (52.5 MB)
t=  10.5s | network    | registry → rpi3_103  | unknown                   | docker_pull (52.5 MB)
t=  10.6s | network    | registry → rpi3_104  | unknown                   | docker_pull (52.5 MB)
t=  10.7s | network    | registry → rockpi_0  | unknown                   | docker_pull (59.1 MB)
t=  10.8s | network    | registry → rpi4_103  | unknown                   | docker_pull (19.1 MB)
t=  10.9s | network    | registry → rpi4_54   | unknown                   | docker_pull (19.1 MB)
t=  11.0s | replica    | rpi4_21              | fio-downtown              | deploy replica of fio-downtown
t=  11.0s | network    | registry → rpi3_24   | unknown                   | docker_pull (52.5 MB)
t=  11.1s | network    | registry → rpi3_25   | unknown                   | docker_pull (52.5 MB)
t=  11.2s | network    | registry → rpi3_26   | unknown                   | docker_pull (52.5 MB)
t=  11.3s | network    | registry → rpi4_86   | unknown                   | docker_pull (52.5 MB)
t=  11.4s | network    | registry → rpi4_87   | unknown                   | docker_pull (52.5 MB)
t=  11.5s | network    | registry → rpi3_72   | unknown                   | docker_pull (52.5 MB)
t=  11.6s | network    | registry → rpi3_73   | unknown                   | docker_pull (52.5 MB)
t=  11.7s | network    | registry → rpi4_55   | unknown                   | docker_pull (19.1 MB)
t=  11.8s | network    | registry → rpi4_88   | unknown                   | docker_pull (19.1 MB)
t=  11.9s | network    | registry → rpi3_74   | unknown                   | docker_pull (52.5 MB)
t=  12.0s | replica    | rpi4_20              | fio                       | startup replica of fio
t=  12.0s | network    | registry → rpi3_3    | unknown                   | docker_pull (52.5 MB)
t=  12.1s | network    | registry → rpi3_4    | unknown                   | docker_pull (52.5 MB)
t=  12.2s | network    | registry → rockpi_2  | unknown                   | docker_pull (59.1 MB)
t=  12.3s | network    | registry → rpi3_5    | unknown                   | docker_pull (52.5 MB)
t=  12.4s | network    | registry → rpi4_82   | unknown                   | docker_pull (52.5 MB)
t=  12.5s | network    | registry → rpi4_89   | unknown                   | docker_pull (19.1 MB)
t=  12.6s | network    | registry → rpi4_50   | unknown                   | docker_pull (19.1 MB)
t=  12.7s | network    | registry → rpi4_83   | unknown                   | docker_pull (52.5 MB)
t=  12.8s | network    | registry → coral_0   | unknown                   | docker_pull (59.1 MB)
t=  12.9s | network    | registry → nx_2      | unknown                   | docker_pull (59.1 MB)
t=  13.0s | replica    | rpi4_20              | fio                       | setup replica of fio
t=  13.0s | network    | registry → nx_9      | unknown                   | docker_pull (59.1 MB)
t=  13.1s | network    | registry → nx_18     | unknown                   | docker_pull (59.1 MB)
t=  13.2s | network    | registry → rpi4_51   | unknown                   | docker_pull (19.1 MB)
t=  13.3s | network    | registry → rpi4_86   | unknown                   | docker_pull (19.1 MB)
t=  13.4s | network    | registry → nx_23     | unknown                   | docker_pull (59.1 MB)
t=  13.5s | network    | registry → rpi4_96   | unknown                   | docker_pull (52.5 MB)
t=  13.6s | network    | registry → rpi4_97   | unknown                   | docker_pull (52.5 MB)
t=  13.7s | network    | registry → rockpi_5  | unknown                   | docker_pull (59.1 MB)
t=  13.8s | network    | registry → rpi4_87   | unknown                   | docker_pull (19.1 MB)
t=  13.9s | network    | registry → rpi4_82   | unknown                   | docker_pull (19.1 MB)
t=  14.0s | replica    | rpi4_20              | fio                       | finish replica of fio
t=  14.0s | network    | registry → rpi3_78   | unknown                   | docker_pull (52.5 MB)
t=  14.1s | network    | registry → rpi3_79   | unknown                   | docker_pull (52.5 MB)
t=  14.2s | network    | registry → rpi3_80   | unknown                   | docker_pull (52.5 MB)
t=  14.3s | network    | registry → rpi4_100  | unknown                   | docker_pull (52.5 MB)
t=  14.4s | network    | registry → rpi4_101  | unknown                   | docker_pull (52.5 MB)
t=  14.5s | network    | registry → rpi4_52   | unknown                   | docker_pull (52.5 MB)
t=  14.6s | network    | registry → rpi4_53   | unknown                   | docker_pull (52.5 MB)
t=  14.7s | network    | registry → rpi4_83   | unknown                   | docker_pull (19.1 MB)
t=  14.8s | network    | registry → rpi4_96   | unknown                   | docker_pull (19.1 MB)
t=  14.9s | network    | registry → rpi3_12   | unknown                   | docker_pull (52.5 MB)
t=  15.0s | replica    | rpi4_21              | fio-downtown              | startup replica of fio-downtown
t=  15.0s | network    | registry → rpi3_13   | unknown                   | docker_pull (52.5 MB)
t=  15.1s | network    | registry → rpi3_14   | unknown                   | docker_pull (52.5 MB)
t=  15.2s | network    | registry → rpi3_30   | unknown                   | docker_pull (52.5 MB)
t=  15.3s | network    | registry → rpi3_31   | unknown                   | docker_pull (52.5 MB)
t=  15.4s | network    | registry → rpi3_32   | unknown                   | docker_pull (52.5 MB)
t=  15.5s | network    | registry → rpi4_106  | unknown                   | docker_pull (52.5 MB)
t=  15.6s | network    | registry → rpi4_97   | unknown                   | docker_pull (19.1 MB)
t=  15.7s | network    | registry → rpi4_100  | unknown                   | docker_pull (19.1 MB)
t=  15.8s | network    | registry → rpi4_107  | unknown                   | docker_pull (52.5 MB)
t=  15.9s | network    | registry → rpi4_74   | unknown                   | docker_pull (52.5 MB)
t=  16.0s | replica    | rpi4_21              | fio-downtown              | setup replica of fio-downtown
t=  16.0s | network    | registry → rpi4_75   | unknown                   | docker_pull (52.5 MB)
t=  16.1s | network    | registry → rpi4_116  | unknown                   | docker_pull (52.5 MB)
t=  16.2s | network    | registry → rpi4_117  | unknown                   | docker_pull (52.5 MB)
t=  16.3s | network    | registry → rpi3_81   | unknown                   | docker_pull (52.5 MB)
t=  16.4s | network    | registry → rpi3_82   | unknown                   | docker_pull (52.5 MB)
t=  16.5s | network    | registry → rpi4_101  | unknown                   | docker_pull (19.1 MB)
t=  16.6s | network    | registry → rpi4_52   | unknown                   | docker_pull (19.1 MB)
t=  16.7s | network    | registry → rpi3_83   | unknown                   | docker_pull (52.5 MB)
t=  16.8s | network    | registry → rpi4_72   | unknown                   | docker_pull (52.5 MB)
t=  16.9s | network    | registry → rpi4_73   | unknown                   | docker_pull (52.5 MB)
t=  17.0s | replica    | rpi4_21              | fio-downtown              | finish replica of fio-downtown
t=  17.0s | network    | registry → rpi3_18   | unknown                   | docker_pull (52.5 MB)
t=  17.1s | network    | registry → rpi3_19   | unknown                   | docker_pull (52.5 MB)
t=  17.2s | network    | registry → rpi3_20   | unknown                   | docker_pull (52.5 MB)
t=  17.3s | network    | registry → rpi3_93   | unknown                   | docker_pull (52.5 MB)
t=  17.4s | network    | registry → rpi4_53   | unknown                   | docker_pull (19.1 MB)
t=  17.5s | network    | registry → rpi4_106  | unknown                   | docker_pull (19.1 MB)
t=  17.6s | network    | registry → rpi3_94   | unknown                   | docker_pull (52.5 MB)
t=  17.7s | network    | registry → rpi3_95   | unknown                   | docker_pull (52.5 MB)
t=  17.8s | network    | registry → rpi4_78   | unknown                   | docker_pull (52.5 MB)
t=  17.9s | network    | registry → rpi4_79   | unknown                   | docker_pull (52.5 MB)
t=  18.0s | replica    | rpi4_26              | python-pi-suburb          | startup replica of python-pi-suburb
t=  18.0s | network    | registry → rpi3_75   | unknown                   | docker_pull (52.5 MB)
t=  18.1s | network    | registry → rpi3_76   | unknown                   | docker_pull (52.5 MB)
t=  18.2s | network    | registry → coral_19  | unknown                   | docker_pull (59.1 MB)
t=  18.3s | network    | registry → rpi4_107  | unknown                   | docker_pull (19.1 MB)
t=  18.4s | network    | registry → rpi4_74   | unknown                   | docker_pull (19.1 MB)
