FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-28 14:20:27

Total deployment events: 2488
Number of node-function combinations: 621

Event Type Summary:
  Deployment events: 8
  Replica events: 1735
  Network events: 745

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=   0.0s | deployment | global               | resnet50-inference-downtown | deploy resnet50-inference-downtown
t=   0.0s | deployment | global               | resnet50-inference-suburb | deploy resnet50-inference-suburb
t=   0.0s | deployment | global               | resnet50-inference-industrial | deploy resnet50-inference-industrial
t=   0.0s | deployment | global               | resnet50-inference-residential | deploy resnet50-inference-residential
t=   0.0s | deployment | global               | resnet50-inference-commercial | deploy resnet50-inference-commercial
t=   0.0s | deployment | global               | resnet50-training         | deploy resnet50-training
t=   0.0s | deployment | global               | resnet50-training-downtown | deploy resnet50-training-downtown
t=   0.0s | replica    | nano_0               | resnet50-inference        | deploy replica of resnet50-inference
t=   1.0s | replica    | nano_1               | resnet50-inference-downtown | deploy replica of resnet50-inference-downtown
t=   2.0s | replica    | nano_12              | resnet50-inference-suburb | deploy replica of resnet50-inference-suburb
t=   2.0s | network    | registry → nano_0    | unknown                   | docker_pull (95.4 MB)
t=   2.1s | network    | registry → nano_1    | unknown                   | docker_pull (95.4 MB)
t=   2.2s | network    | registry → nano_12   | unknown                   | docker_pull (95.4 MB)
t=   2.3s | network    | registry → tx2_0     | unknown                   | docker_pull (95.4 MB)
t=   2.4s | network    | registry → tx2_1     | unknown                   | docker_pull (95.4 MB)
t=   2.5s | network    | registry → nx_2      | unknown                   | docker_pull (95.4 MB)
t=   2.6s | network    | registry → tx2_2     | unknown                   | docker_pull (95.4 MB)
t=   2.7s | network    | registry → nx_2      | unknown                   | docker_pull (95.4 MB)
t=   2.8s | network    | registry → nano_2    | unknown                   | docker_pull (95.4 MB)
t=   2.9s | network    | registry → nano_14   | unknown                   | docker_pull (95.4 MB)
t=   3.0s | replica    | tx2_0                | resnet50-inference-industrial | deploy replica of resnet50-inference-industrial
t=   3.0s | network    | registry → nx_1      | unknown                   | docker_pull (95.4 MB)
t=   3.1s | network    | registry → nx_0      | unknown                   | docker_pull (95.4 MB)
t=   3.2s | network    | nuc_0 → nano_0       | unknown                   | data_download (98.2 MB)
t=   3.3s | network    | nuc_0 → nano_1       | unknown                   | data_download (98.2 MB)
t=   3.4s | network    | nuc_0 → nano_12      | unknown                   | data_download (98.2 MB)
t=   3.5s | network    | nuc_0 → tx2_1        | unknown                   | data_download (98.2 MB)
t=   3.6s | network    | nuc_0 → tx2_0        | unknown                   | data_download (98.2 MB)
t=   3.7s | network    | nuc_0 → tx2_2        | unknown                   | data_download (98.2 MB)
t=   3.8s | network    | registry → nano_3    | unknown                   | docker_pull (95.4 MB)
t=   3.9s | network    | registry → nano_11   | unknown                   | docker_pull (95.4 MB)
t=   4.0s | replica    | tx2_1                | resnet50-inference-residential | deploy replica of resnet50-inference-residential
t=   4.0s | network    | registry → nano_13   | unknown                   | docker_pull (95.4 MB)
t=   4.1s | network    | registry → nano_4    | unknown                   | docker_pull (95.4 MB)
t=   4.2s | network    | registry → nano_6    | unknown                   | docker_pull (95.4 MB)
t=   4.3s | network    | registry → nano_10   | unknown                   | docker_pull (95.4 MB)
t=   4.4s | network    | registry → nx_1      | unknown                   | docker_pull (95.4 MB)
t=   4.5s | network    | registry → nano_5    | unknown                   | docker_pull (95.4 MB)
t=   4.6s | network    | registry → nano_7    | unknown                   | docker_pull (95.4 MB)
t=   4.7s | network    | registry → nano_8    | unknown                   | docker_pull (95.4 MB)
t=   4.8s | network    | registry → nano_9    | unknown                   | docker_pull (95.4 MB)
t=   4.9s | network    | registry → nano_0    | unknown                   | docker_pull (95.4 MB)
t=   5.0s | replica    | tx2_2                | resnet50-inference-commercial | deploy replica of resnet50-inference-commercial
t=   5.0s | network    | registry → nano_1    | unknown                   | docker_pull (95.4 MB)
