FAAS SIMULATION SUMMARY
======================

Report generated: 2025-08-19 05:46:25

Topology Overview:
  Number of nodes: 210
  Number of functions: 6
  Number of images: 8

Node Distribution:
  nx_14: 1766 invocations (2.6%)
  rockpi_13: 2040 invocations (3.0%)
  rockpi_59: 679 invocations (1.0%)
  coral_11: 1476 invocations (2.2%)
  nano_24: 1268 invocations (1.9%)
  rpi3_50: 1207 invocations (1.8%)
  nx_6: 1322 invocations (2.0%)
  rockpi_66: 1534 invocations (2.3%)
  nx_9: 1730 invocations (2.6%)
  rockpi_9: 1425 invocations (2.1%)
  nano_13: 968 invocations (1.4%)
  rpi3_48: 176 invocations (0.3%)
  rockpi_15: 1332 invocations (2.0%)
  rpi3_49: 142 invocations (0.2%)
  nx_4: 1015 invocations (1.5%)
  rockpi_75: 1251 invocations (1.9%)
  nx_17: 954 invocations (1.4%)
  rpi3_30: 173 invocations (0.3%)
  nx_22: 984 invocations (1.5%)
  nx_13: 1190 invocations (1.8%)
  rockpi_17: 1110 invocations (1.6%)
  nx_25: 1127 invocations (1.7%)
  rpi3_31: 170 invocations (0.3%)
  rockpi_12: 1047 invocations (1.6%)
  nano_32: 710 invocations (1.1%)
  rockpi_10: 987 invocations (1.5%)
  nx_8: 1019 invocations (1.5%)
  rpi3_32: 163 invocations (0.2%)
  rockpi_0: 934 invocations (1.4%)
  nano_27: 636 invocations (0.9%)
  rockpi_44: 883 invocations (1.3%)
  nano_0: 601 invocations (0.9%)
  rpi3_12: 160 invocations (0.2%)
  nx_2: 637 invocations (0.9%)
  rockpi_60: 794 invocations (1.2%)
  rpi3_13: 156 invocations (0.2%)
  nano_29: 538 invocations (0.8%)
  rockpi_64: 750 invocations (1.1%)
  nx_29: 155 invocations (0.2%)
  nano_34: 513 invocations (0.8%)
  rockpi_11: 712 invocations (1.1%)
  nano_42: 488 invocations (0.7%)
  rpi3_14: 157 invocations (0.2%)
  rockpi_68: 675 invocations (1.0%)
  nano_31: 462 invocations (0.7%)
  rockpi_51: 641 invocations (1.0%)
  nx_24: 474 invocations (0.7%)
  rpi3_6: 152 invocations (0.2%)
  nx_0: 508 invocations (0.8%)
  nano_9: 419 invocations (0.6%)
  coral_1: 470 invocations (0.7%)
  nano_15: 400 invocations (0.6%)
  nx_12: 460 invocations (0.7%)
  rpi3_7: 149 invocations (0.2%)
  coral_0: 114 invocations (0.2%)
  nano_10: 382 invocations (0.6%)
  rockpi_2: 528 invocations (0.8%)
  nano_33: 366 invocations (0.5%)
  rpi3_8: 150 invocations (0.2%)
  rockpi_43: 506 invocations (0.8%)
  nano_26: 353 invocations (0.5%)
  nano_1: 338 invocations (0.5%)
  rpi3_3: 143 invocations (0.2%)
  nano_21: 326 invocations (0.5%)
  nx_18: 106 invocations (0.2%)
  rockpi_26: 449 invocations (0.7%)
  nano_25: 313 invocations (0.5%)
  rpi3_4: 139 invocations (0.2%)
  nano_2: 304 invocations (0.5%)
  nx_7: 97 invocations (0.1%)
  rockpi_5: 419 invocations (0.6%)
  nano_4: 295 invocations (0.4%)
  rpi3_5: 140 invocations (0.2%)
  nx_26: 332 invocations (0.5%)
  nano_6: 282 invocations (0.4%)
  rockpi_73: 594 invocations (0.9%)
  rpi3_39: 136 invocations (0.2%)
  rockpi_48: 584 invocations (0.9%)
  nano_19: 275 invocations (0.4%)
  nano_39: 273 invocations (0.4%)
  rockpi_6: 573 invocations (0.9%)
  rpi3_41: 282 invocations (0.4%)
  nano_8: 266 invocations (0.4%)
  rockpi_33: 564 invocations (0.8%)
  rpi3_40: 133 invocations (0.2%)
  rockpi_74: 363 invocations (0.5%)
  rpi3_63: 127 invocations (0.2%)
  rockpi_16: 357 invocations (0.5%)
  nx_5: 257 invocations (0.4%)
