value,function_name,node_name,replica_id
deploy,resnet50-inference,tx2_0,139795516701200
deploy,resnet50-training,nano_0,139795516713360
deploy,mobilenet-inference,coral_0,139795516718480
deploy,speech-inference,rpi3_3,139795515458832
deploy,resnet50-preprocessing,rpi3_4,139795515462176
startup,mobilenet-inference,coral_0,139795516718480
setup,mobilenet-inference,coral_0,139795516718480
finish,mobilenet-inference,coral_0,139795516718480
startup,speech-inference,rpi3_3,139795515458832
setup,speech-inference,rpi3_3,139795515458832
finish,speech-inference,rpi3_3,139795515458832
startup,resnet50-inference,tx2_0,139795516701200
setup,resnet50-inference,tx2_0,139795516701200
startup,resnet50-training,nano_0,139795516713360
setup,resnet50-training,nano_0,139795516713360
finish,resnet50-training,nano_0,139795516713360
finish,resnet50-inference,tx2_0,139795516701200
startup,resnet50-preprocessing,rpi3_4,139795515462176
setup,resnet50-preprocessing,rpi3_4,139795515462176
finish,resnet50-preprocessing,rpi3_4,139795515462176
