value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_0,140254524466784
deploy,resnet50-training,nx_0,140254524478224
deploy,mobilenet-inference,coral_0,140254524483344
deploy,speech-inference,rpi4_2,140254524060816
deploy,resnet50-preprocessing,rpi4_3,140254523114160
startup,mobilenet-inference,coral_0,140254524483344
setup,mobilenet-inference,coral_0,140254524483344
finish,mobilenet-inference,coral_0,140254524483344
startup,speech-inference,rpi4_2,140254524060816
setup,speech-inference,rpi4_2,140254524060816
finish,speech-inference,rpi4_2,140254524060816
startup,resnet50-inference,nx_0,140254524466784
setup,resnet50-inference,nx_0,140254524466784
startup,resnet50-training,nx_0,140254524478224
setup,resnet50-training,nx_0,140254524478224
finish,resnet50-training,nx_0,140254524478224
finish,resnet50-inference,nx_0,140254524466784
startup,resnet50-preprocessing,rpi4_3,140254523114160
setup,resnet50-preprocessing,rpi4_3,140254523114160
finish,resnet50-preprocessing,rpi4_3,140254523114160
