value,function_name,node_name,replica_id
deploy,resnet50-inference,tx2_0,140675192956512
deploy,resnet50-training,nx_5,140675192968272
deploy,mobilenet-inference,coral_2,140675192973392
deploy,speech-inference,rpi4_18,140675194222928
deploy,resnet50-preprocessing,rpi4_19,140675191375728
startup,mobilenet-inference,coral_2,140675192973392
setup,mobilenet-inference,coral_2,140675192973392
finish,mobilenet-inference,coral_2,140675192973392
startup,speech-inference,rpi4_18,140675194222928
setup,speech-inference,rpi4_18,140675194222928
finish,speech-inference,rpi4_18,140675194222928
startup,resnet50-preprocessing,rpi4_19,140675191375728
setup,resnet50-preprocessing,rpi4_19,140675191375728
finish,resnet50-preprocessing,rpi4_19,140675191375728
startup,resnet50-training,nx_5,140675192968272
setup,resnet50-training,nx_5,140675192968272
finish,resnet50-training,nx_5,140675192968272
startup,resnet50-inference,tx2_0,140675192956512
setup,resnet50-inference,tx2_0,140675192956512
finish,resnet50-inference,tx2_0,140675192956512
