value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_7,139897364407904
deploy,resnet50-training,nx_7,139897364435728
deploy,mobilenet-inference,coral_10,139897364440848
deploy,speech-inference,coral_15,139897366148240
deploy,resnet50-preprocessing,coral_20,139897363366576
startup,mobilenet-inference,coral_10,139897364440848
setup,mobilenet-inference,coral_10,139897364440848
finish,mobilenet-inference,coral_10,139897364440848
startup,speech-inference,coral_15,139897366148240
setup,speech-inference,coral_15,139897366148240
finish,speech-inference,coral_15,139897366148240
startup,resnet50-inference,nx_7,139897364407904
setup,resnet50-inference,nx_7,139897364407904
startup,resnet50-training,nx_7,139897364435728
setup,resnet50-training,nx_7,139897364435728
finish,resnet50-training,nx_7,139897364435728
finish,resnet50-inference,nx_7,139897364407904
startup,resnet50-preprocessing,coral_20,139897363366576
setup,resnet50-preprocessing,coral_20,139897363366576
finish,resnet50-preprocessing,coral_20,139897363366576
