value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139897471215200,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,139897471226320,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139897471215200,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139897471215200,nano_0,True
queue,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,139897471231440,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139897472921856,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139897472925200,,
start,resnet50-training,faas-workloads/resnet-training-gpu,139897471226320,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139897471226320,nano_1,True
start,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,139897471231440,,
finish,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,139897471231440,coral_0,True
start,speech-inference,faas-workloads/speech-inference-tflite,139897472921856,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139897472921856,rpi4_24,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139897472925200,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139897472925200,rpi4_25,True
