value,name,function_id
deploy,resnet50-inference,140707181331552
deploy,resnet50-inference-downtown,140707181494336
deploy,resnet50-inference-suburb,140707181495536
deploy,resnet50-inference-industrial,140707181496736
deploy,resnet50-inference-residential,140707181497936
deploy,resnet50-inference-commercial,140707181499136
deploy,resnet50-inference-airport,140707181500336
deploy,resnet50-inference-port,140707181501536
deploy,speech-inference,140707181502736
deploy,speech-inference-downtown,140707181503936
deploy,speech-inference-suburb,140707181505136
deploy,speech-inference-industrial,140707181506336
deploy,speech-inference-residential,140707181507536
deploy,speech-inference-commercial,140707181508736
deploy,resnet50-preprocessing,140707181509936
deploy,resnet50-preprocessing-downtown,140707181543584
deploy,resnet50-preprocessing-suburb,140707181544400
deploy,resnet50-preprocessing-industrial,140707181545216
deploy,resnet50-training,140707181546032
deploy,resnet50-training-downtown,140707181547232
deploy,resnet50-training-suburb,140707181548432
deploy,resnet50-training-industrial,140707181549632
