value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140707180936160,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140707180937024,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140707180936160,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140707180936160,tx2_0,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140707179842336,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140707179843344,,
queue,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140707179844304,,
queue,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,140707179845264,,
queue,resnet50-inference-airport,faas-workloads/resnet-inference-gpu,140707179846224,,
queue,resnet50-inference-port,faas-workloads/resnet-inference-gpu,140707179847184,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140707179848144,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140707179849104,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140707179850064,,
queue,speech-inference-industrial,faas-workloads/speech-inference-tflite,140707179851024,,
queue,speech-inference-residential,faas-workloads/speech-inference-tflite,140707179851984,,
queue,speech-inference-commercial,faas-workloads/speech-inference-tflite,140707179852944,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140707179853904,,
queue,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140707179854864,,
queue,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,140707179855824,,
queue,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,140707180069840,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140707180070800,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140707180071760,,
queue,resnet50-training-suburb,faas-workloads/resnet-training-gpu,140707180072720,,
queue,resnet50-training-industrial,faas-workloads/resnet-training-gpu,140707180073680,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140707180937024,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140707180937024,tx2_1,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140707179842336,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140707179842336,tx2_2,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140707179843344,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140707179843344,nx_0,True
start,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140707179844304,,
finish,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140707179844304,nx_0,True
start,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,140707179845264,,
finish,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,140707179845264,nx_0,True
start,resnet50-inference-airport,faas-workloads/resnet-inference-gpu,140707179846224,,
finish,resnet50-inference-airport,faas-workloads/resnet-inference-gpu,140707179846224,nx_1,True
start,resnet50-inference-port,faas-workloads/resnet-inference-gpu,140707179847184,,
finish,resnet50-inference-port,faas-workloads/resnet-inference-gpu,140707179847184,nx_1,True
start,speech-inference,faas-workloads/speech-inference-tflite,140707179848144,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140707179848144,rockpi_95,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,140707179849104,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,140707179849104,rockpi_95,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,140707179850064,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,140707179850064,rockpi_29,True
start,speech-inference-industrial,faas-workloads/speech-inference-tflite,140707179851024,,
finish,speech-inference-industrial,faas-workloads/speech-inference-tflite,140707179851024,rockpi_29,True
start,speech-inference-residential,faas-workloads/speech-inference-tflite,140707179851984,,
finish,speech-inference-residential,faas-workloads/speech-inference-tflite,140707179851984,rockpi_0,True
start,speech-inference-commercial,faas-workloads/speech-inference-tflite,140707179852944,,
finish,speech-inference-commercial,faas-workloads/speech-inference-tflite,140707179852944,rockpi_0,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140707179853904,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140707179853904,rpi3_36,True
start,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140707179854864,,
finish,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140707179854864,rpi3_37,True
start,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,140707179855824,,
finish,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,140707179855824,rpi3_38,True
start,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,140707180069840,,
finish,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,140707180069840,rpi4_148,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140707180070800,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140707180070800,nx_2,True
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140707180071760,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140707180071760,nx_2,True
start,resnet50-training-suburb,faas-workloads/resnet-training-gpu,140707180072720,,
finish,resnet50-training-suburb,faas-workloads/resnet-training-gpu,140707180072720,nx_3,True
start,resnet50-training-industrial,faas-workloads/resnet-training-gpu,140707180073680,,
finish,resnet50-training-industrial,faas-workloads/resnet-training-gpu,140707180073680,nx_3,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140707175702896,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140707174500192,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140707175702896,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140707175702896,nx_1,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140707174501152,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140707174501872,,
queue,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140707174502640,,
queue,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,140707174503408,,
queue,resnet50-inference-airport,faas-workloads/resnet-inference-gpu,140707174504176,,
queue,resnet50-inference-port,faas-workloads/resnet-inference-gpu,140707174504944,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140707174505712,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140707174506480,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140707174507248,,
queue,speech-inference-industrial,faas-workloads/speech-inference-tflite,140707174508016,,
queue,speech-inference-residential,faas-workloads/speech-inference-tflite,140707174508784,,
queue,speech-inference-commercial,faas-workloads/speech-inference-tflite,140707174509552,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140707174510320,,
queue,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140707174511088,,
queue,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,140707174511856,,
queue,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,140707174512624,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140707174513392,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140707174514160,,
queue,resnet50-training-suburb,faas-workloads/resnet-training-gpu,140707174596912,,
queue,resnet50-training-industrial,faas-workloads/resnet-training-gpu,140707174597680,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140707174500192,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140707174500192,nx_2,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140707174501152,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140707174501152,tx2_3,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140707174501872,,
