bytes,duration,source,sink,action_type
33000000,0.2752978961440992,registry,rpi4_0,docker_pull
40000000,0.6603782578904799,registry,rockpi_18,docker_pull
100000000,0.8263275691541997,registry,tx2_11,docker_pull
100000000,0.8262206459694413,registry,nano_12,docker_pull
100000000,0.8262799327357214,registry,nano_21,docker_pull
100000000,0.8264118482892404,registry,nano_46,docker_pull
48000000,0.8984938946662105,nuc_9,rockpi_18,data_download
137000000,1.1330548646823022,registry,rpi4_1,docker_pull
48000000,1.2545386917567214,nuc_9,rpi4_0,data_download
191000000,1.5766868984663653,registry,coral_9,docker_pull
48000000,1.667256221081582,nuc_9,rockpi_18,data_download
103000000,2.449710910784867,nuc_9,tx2_11,data_download
103000000,2.7002945341137914,nuc_9,nano_21,data_download
103000000,2.7658518644963848,nuc_9,nano_12,data_download
33000000,0.275190064472123,registry,rpi4_4,docker_pull
33000000,0.2754427537504123,registry,rpi4_5,docker_pull
40000000,0.3314841347616939,registry,coral_11,docker_pull
100000000,0.82782902274508,registry,tx2_0,docker_pull
100000000,0.8264537073103941,registry,nx_4,docker_pull
100000000,0.8278397001335538,registry,tx2_1,docker_pull
100000000,0.8262847316058615,registry,nano_18,docker_pull
58000000,2.847248884443629,nuc_9,nano_46,data_download
58000000,2.8767413170624643,nuc_9,nano_46,data_download
58000000,2.913067461669887,nuc_9,nano_46,data_download
58000000,2.929571312337708,nuc_9,nano_46,data_download
48000000,3.7167892761341887,nuc_9,rpi4_4,data_download
48000000,3.8122523634600247,nuc_9,coral_11,data_download
48000000,3.90248009786131,nuc_9,rpi4_5,data_download
58000000,4.239791878274596,nuc_9,nano_18,data_download
58000000,4.31438983170381,nuc_9,nano_18,data_download
58000000,4.383263767749146,nuc_9,nano_18,data_download
33000000,0.2750069685205041,registry,rpi4_12,docker_pull
33000000,0.27498807358063715,registry,rpi4_13,docker_pull
58000000,4.456377731039968,nuc_9,nano_18,data_download
40000000,0.40292346979515337,registry,nx_4,docker_pull
100000000,0.8264100866602764,registry,tx2_5,docker_pull
100000000,0.8260557758312608,registry,nano_43,docker_pull
100000000,0.8261511334704643,registry,nano_48,docker_pull
100000000,0.826218156272116,registry,nano_49,docker_pull
103000000,8.03286069959246,nuc_9,tx2_0,data_download
103000000,8.17036565869471,nuc_9,nx_4,data_download
103000000,8.25460175703323,nuc_9,tx2_1,data_download
48000000,4.012487261653668,nuc_9,rpi4_13,data_download
48000000,4.199891688815141,nuc_9,rpi4_12,data_download
48000000,4.251595704650821,nuc_9,nx_4,data_download
40000000,0.33169948191812537,registry,coral_6,docker_pull
40000000,0.3790660393750578,registry,rockpi_16,docker_pull
100000000,0.826082415023091,registry,tx2_13,docker_pull
100000000,0.8262277324317573,registry,tx2_19,docker_pull
100000000,0.8262509140912719,registry,nano_31,docker_pull
100000000,0.8262781358544604,registry,nano_37,docker_pull
58000000,5.194416204070787,nuc_9,nano_49,data_download
58000000,5.183908083530616,nuc_9,nano_49,data_download
58000000,5.258689947679235,nuc_9,nano_49,data_download
58000000,5.262828354863771,nuc_9,nano_49,data_download
48000000,4.718671205522188,nuc_9,rockpi_16,data_download
48000000,4.5573815323905436,nuc_9,rockpi_16,data_download
103000000,9.306587815251895,nuc_9,nano_48,data_download
48000000,4.928316652116202,nuc_9,coral_6,data_download
103000000,9.453745322579689,nuc_9,nano_43,data_download
33000000,0.27501435407634744,registry,rpi3_3,docker_pull
40000000,0.3675546189875085,registry,rockpi_5,docker_pull
103000000,9.777587842745655,nuc_9,tx2_5,data_download
100000000,0.826204751459187,registry,nano_50,docker_pull
100000000,0.8265547655239374,registry,nano_52,docker_pull
100000000,0.8264631477191173,registry,tx2_4,docker_pull
100000000,0.8261895912092712,registry,nano_15,docker_pull
58000000,5.88154117887375,nuc_9,nano_37,data_download
58000000,6.014806277389036,nuc_9,nano_37,data_download
58000000,6.213513652174878,nuc_9,nano_37,data_download
58000000,6.167820929952578,nuc_9,nano_37,data_download
48000000,5.018491808333195,nuc_9,rockpi_5,data_download
48000000,4.822388393814215,nuc_9,rpi3_3,data_download
33000000,0.2754774171237102,registry,rpi3_4,docker_pull
33000000,0.27523412872259456,registry,rpi3_5,docker_pull
33000000,0.2751236123067713,registry,rpi4_2,docker_pull
48000000,5.04323748826549,nuc_9,rockpi_5,data_download
