value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139995092984608,tx2_11
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139995092985808,nano_12
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139995092987008,nano_21
deploy,speech-inference,faas-workloads/speech-inference-tflite,139995092988448,rockpi_18
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139995092989648,rockpi_18
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139995092990848,rpi4_0
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139995092991760,rpi4_1
deploy,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139995090944640,coral_9
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139995090945504,nano_46
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139995092984608,tx2_0
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139995092985808,tx2_1
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139995092987008,nx_4
deploy,speech-inference,faas-workloads/speech-inference-tflite,139995092988448,coral_11
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139995092989648,rpi4_4
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139995092990848,rpi4_5
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139995090945504,nano_18
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139995092984608,tx2_5
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139995092985808,nano_43
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139995092987008,nano_48
deploy,speech-inference,faas-workloads/speech-inference-tflite,139995092988448,rpi4_12
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139995092989648,rpi4_13
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139995092990848,nx_4
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139995090945504,nano_49
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139995092984608,tx2_13
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139995092985808,tx2_19
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139995092987008,nano_31
deploy,speech-inference,faas-workloads/speech-inference-tflite,139995092988448,coral_6
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139995092989648,rockpi_16
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139995092990848,rockpi_16
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139995090945504,nano_37
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139995092984608,nano_50
