value,function_name,node_name,replica_id
deploy,resnet50-inference,tx2_11,139995090555024
deploy,resnet50-inference-downtown,nano_12,139995090555888
deploy,resnet50-inference-suburb,nano_21,139995088862368
deploy,speech-inference,rockpi_18,139995088896160
deploy,speech-inference-downtown,rockpi_18,139995088897120
startup,speech-inference-downtown,rockpi_18,139995088897120
setup,speech-inference-downtown,rockpi_18,139995088897120
deploy,speech-inference-suburb,rpi4_0,139995088898080
deploy,resnet50-preprocessing,rpi4_1,139995088899040
deploy,resnet50-preprocessing-downtown,coral_9,139995088900000
deploy,resnet50-training,nano_46,139995088900960
startup,speech-inference-suburb,rpi4_0,139995088898080
setup,speech-inference-suburb,rpi4_0,139995088898080
startup,speech-inference,rockpi_18,139995088896160
setup,speech-inference,rockpi_18,139995088896160
startup,resnet50-inference,tx2_11,139995090555024
setup,resnet50-inference,tx2_11,139995090555024
startup,resnet50-inference-downtown,nano_12,139995090555888
setup,resnet50-inference-downtown,nano_12,139995090555888
startup,resnet50-inference-suburb,nano_21,139995088862368
setup,resnet50-inference-suburb,nano_21,139995088862368
startup,resnet50-training,nano_46,139995088900960
setup,resnet50-training,nano_46,139995088900960
finish,resnet50-training,nano_46,139995088900960
finish,speech-inference-downtown,rockpi_18,139995088897120
startup,resnet50-preprocessing,rpi4_1,139995088899040
setup,resnet50-preprocessing,rpi4_1,139995088899040
finish,resnet50-preprocessing,rpi4_1,139995088899040
finish,speech-inference-suburb,rpi4_0,139995088898080
startup,resnet50-preprocessing-downtown,coral_9,139995088900000
setup,resnet50-preprocessing-downtown,coral_9,139995088900000
finish,resnet50-preprocessing-downtown,coral_9,139995088900000
finish,speech-inference,rockpi_18,139995088896160
finish,resnet50-inference,tx2_11,139995090555024
finish,resnet50-inference-suburb,nano_21,139995088862368
finish,resnet50-inference-downtown,nano_12,139995090555888
deploy,resnet50-inference,tx2_0,139995085980288
deploy,resnet50-inference-downtown,tx2_1,139995086180688
deploy,resnet50-inference-suburb,nx_4,139995086181648
deploy,speech-inference,coral_11,139995086182368
deploy,speech-inference-downtown,rpi4_4,139995086183136
deploy,speech-inference-suburb,rpi4_5,139995086183904
deploy,resnet50-training,nano_18,139995086184864
startup,speech-inference-downtown,rpi4_4,139995086183136
setup,speech-inference-downtown,rpi4_4,139995086183136
startup,speech-inference-suburb,rpi4_5,139995086183904
setup,speech-inference-suburb,rpi4_5,139995086183904
startup,speech-inference,coral_11,139995086182368
setup,speech-inference,coral_11,139995086182368
startup,resnet50-inference,tx2_0,139995085980288
setup,resnet50-inference,tx2_0,139995085980288
startup,resnet50-inference-suburb,nx_4,139995086181648
setup,resnet50-inference-suburb,nx_4,139995086181648
startup,resnet50-inference-downtown,tx2_1,139995086180688
setup,resnet50-inference-downtown,tx2_1,139995086180688
startup,resnet50-training,nano_18,139995086184864
setup,resnet50-training,nano_18,139995086184864
finish,resnet50-training,nano_18,139995086184864
finish,speech-inference-downtown,rpi4_4,139995086183136
finish,speech-inference,coral_11,139995086182368
finish,speech-inference-suburb,rpi4_5,139995086183904
deploy,resnet50-inference,tx2_5,139995076016304
deploy,resnet50-inference-downtown,nano_43,139995074299840
deploy,resnet50-inference-suburb,nano_48,139995074300800
deploy,speech-inference,rpi4_12,139995074301520
deploy,speech-inference-downtown,rpi4_13,139995074302288
deploy,speech-inference-suburb,nx_4,139995074303056
deploy,resnet50-training,nano_49,139995074304016
startup,speech-inference,rpi4_12,139995074301520
setup,speech-inference,rpi4_12,139995074301520
startup,speech-inference-downtown,rpi4_13,139995074302288
setup,speech-inference-downtown,rpi4_13,139995074302288
startup,speech-inference-suburb,nx_4,139995074303056
setup,speech-inference-suburb,nx_4,139995074303056
startup,resnet50-inference,tx2_5,139995076016304
setup,resnet50-inference,tx2_5,139995076016304
startup,resnet50-inference-downtown,nano_43,139995074299840
setup,resnet50-inference-downtown,nano_43,139995074299840
startup,resnet50-inference-suburb,nano_48,139995074300800
setup,resnet50-inference-suburb,nano_48,139995074300800
startup,resnet50-training,nano_49,139995074304016
setup,resnet50-training,nano_49,139995074304016
finish,resnet50-training,nano_49,139995074304016
finish,resnet50-inference,tx2_0,139995085980288
finish,resnet50-inference-suburb,nx_4,139995086181648
finish,resnet50-inference-downtown,tx2_1,139995086180688
finish,speech-inference-downtown,rpi4_13,139995074302288
finish,speech-inference,rpi4_12,139995074301520
finish,speech-inference-suburb,nx_4,139995074303056
deploy,resnet50-inference,tx2_13,139995064085440
deploy,resnet50-inference-downtown,tx2_19,139995064269456
deploy,resnet50-inference-suburb,nano_31,139995064270416
deploy,speech-inference,coral_6,139995064467808
deploy,speech-inference-downtown,rockpi_16,139995064468576
deploy,speech-inference-suburb,rockpi_16,139995064469344
startup,speech-inference-suburb,rockpi_16,139995064469344
setup,speech-inference-suburb,rockpi_16,139995064469344
deploy,resnet50-training,nano_37,139995064470304
startup,speech-inference,coral_6,139995064467808
setup,speech-inference,coral_6,139995064467808
startup,speech-inference-downtown,rockpi_16,139995064468576
setup,speech-inference-downtown,rockpi_16,139995064468576
startup,resnet50-inference,tx2_13,139995064085440
setup,resnet50-inference,tx2_13,139995064085440
startup,resnet50-inference-downtown,tx2_19,139995064269456
setup,resnet50-inference-downtown,tx2_19,139995064269456
startup,resnet50-inference-suburb,nano_31,139995064270416
setup,resnet50-inference-suburb,nano_31,139995064270416
startup,resnet50-training,nano_37,139995064470304
setup,resnet50-training,nano_37,139995064470304
finish,resnet50-training,nano_37,139995064470304
finish,speech-inference-suburb,rockpi_16,139995064469344
finish,speech-inference-downtown,rockpi_16,139995064468576
deploy,resnet50-inference,nano_50,139995052321632
deploy,resnet50-inference-downtown,nano_52,139995052489408
deploy,resnet50-inference-suburb,tx2_4,139995052490368
deploy,speech-inference,rockpi_5,139995052671376
deploy,speech-inference-downtown,rockpi_5,139995052672144
startup,speech-inference-downtown,rockpi_5,139995052672144
setup,speech-inference-downtown,rockpi_5,139995052672144
deploy,speech-inference-suburb,rpi3_3,139995052672912
deploy,resnet50-training,nano_15,139995052673872
finish,resnet50-inference-suburb,nano_48,139995074300800
finish,speech-inference,coral_6,139995064467808
finish,resnet50-inference-downtown,nano_43,139995074299840
startup,speech-inference-suburb,rpi3_3,139995052672912
setup,speech-inference-suburb,rpi3_3,139995052672912
startup,speech-inference,rockpi_5,139995052671376
setup,speech-inference,rockpi_5,139995052671376
finish,resnet50-inference,tx2_5,139995076016304
startup,resnet50-inference,nano_50,139995052321632
setup,resnet50-inference,nano_50,139995052321632
startup,resnet50-inference-downtown,nano_52,139995052489408
setup,resnet50-inference-downtown,nano_52,139995052489408
startup,resnet50-inference-suburb,tx2_4,139995052490368
setup,resnet50-inference-suburb,tx2_4,139995052490368
startup,resnet50-training,nano_15,139995052673872
setup,resnet50-training,nano_15,139995052673872
finish,resnet50-training,nano_15,139995052673872
deploy,resnet50-inference,nano_53,139995040648112
deploy,resnet50-inference-downtown,nano_0,139995040880464
deploy,resnet50-inference-suburb,nano_1,139995040881424
deploy,speech-inference,rpi3_4,139995040882144
deploy,speech-inference-downtown,rpi3_5,139995040882912
deploy,speech-inference-suburb,rpi4_2,139995040883680
deploy,resnet50-training,nano_20,139995040884640
finish,speech-inference-downtown,rockpi_5,139995052672144
finish,speech-inference-suburb,rpi3_3,139995052672912
startup,speech-inference,rpi3_4,139995040882144
setup,speech-inference,rpi3_4,139995040882144
startup,speech-inference-downtown,rpi3_5,139995040882912
setup,speech-inference-downtown,rpi3_5,139995040882912
startup,speech-inference-suburb,rpi4_2,139995040883680
setup,speech-inference-suburb,rpi4_2,139995040883680
finish,speech-inference,rockpi_5,139995052671376
startup,resnet50-inference,nano_53,139995040648112
setup,resnet50-inference,nano_53,139995040648112
startup,resnet50-inference-downtown,nano_0,139995040880464
setup,resnet50-inference-downtown,nano_0,139995040880464
startup,resnet50-inference-suburb,nano_1,139995040881424
setup,resnet50-inference-suburb,nano_1,139995040881424
startup,resnet50-training,nano_20,139995040884640
setup,resnet50-training,nano_20,139995040884640
finish,resnet50-training,nano_20,139995040884640
finish,resnet50-inference-suburb,nano_31,139995064270416
finish,resnet50-inference-downtown,tx2_19,139995064269456
finish,resnet50-inference,tx2_13,139995064085440
deploy,resnet50-inference,tx2_6,139995030897328
deploy,resnet50-inference-downtown,nano_23,139995031081344
