value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139944926800832,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139944926801696,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139944926800832,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139944926800832,tx2_11,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139944925082384,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139944925083344,,
queue,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139944925084304,,
queue,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139944925085264,,
queue,resnet50-inference-airport,faas-workloads/resnet-inference-gpu,139944925119056,,
queue,resnet50-inference-port,faas-workloads/resnet-inference-gpu,139944925120016,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139944925120976,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,139944925121936,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,139944925122896,,
queue,speech-inference-industrial,faas-workloads/speech-inference-tflite,139944925123856,,
queue,speech-inference-residential,faas-workloads/speech-inference-tflite,139944925124816,,
queue,speech-inference-commercial,faas-workloads/speech-inference-tflite,139944925125776,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139944925126736,,
queue,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139944925127696,,
queue,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,139944925128656,,
queue,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,139944925129616,,
queue,resnet50-preprocessing-residential,faas-workloads/resnet-preprocessing,139944925130576,,
queue,resnet50-preprocessing-commercial,faas-workloads/resnet-preprocessing,139944925131536,,
queue,resnet50-preprocessing-airport,faas-workloads/resnet-preprocessing,139944925132496,,
queue,resnet50-preprocessing-port,faas-workloads/resnet-preprocessing,139944925133456,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139944926801696,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139944926801696,nano_12,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139944925082384,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139944925082384,nano_21,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139944925083344,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139944925083344,nano_46,True
start,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139944925084304,,
finish,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139944925084304,tx2_0,True
start,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139944925085264,,
finish,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139944925085264,tx2_1,True
start,resnet50-inference-airport,faas-workloads/resnet-inference-gpu,139944925119056,,
finish,resnet50-inference-airport,faas-workloads/resnet-inference-gpu,139944925119056,nx_4,True
start,resnet50-inference-port,faas-workloads/resnet-inference-gpu,139944925120016,,
finish,resnet50-inference-port,faas-workloads/resnet-inference-gpu,139944925120016,tx2_5,True
start,speech-inference,faas-workloads/speech-inference-tflite,139944925120976,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139944925120976,rockpi_18,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,139944925121936,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,139944925121936,rockpi_18,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,139944925122896,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,139944925122896,rpi4_0,True
start,speech-inference-industrial,faas-workloads/speech-inference-tflite,139944925123856,,
finish,speech-inference-industrial,faas-workloads/speech-inference-tflite,139944925123856,rpi4_1,True
start,speech-inference-residential,faas-workloads/speech-inference-tflite,139944925124816,,
finish,speech-inference-residential,faas-workloads/speech-inference-tflite,139944925124816,coral_9,True
start,speech-inference-commercial,faas-workloads/speech-inference-tflite,139944925125776,,
finish,speech-inference-commercial,faas-workloads/speech-inference-tflite,139944925125776,coral_11,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139944925126736,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139944925126736,rpi4_4,True
start,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139944925127696,,
finish,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139944925127696,rpi4_5,True
start,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,139944925128656,,
finish,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,139944925128656,rpi4_12,True
start,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,139944925129616,,
finish,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,139944925129616,rpi4_13,True
start,resnet50-preprocessing-residential,faas-workloads/resnet-preprocessing,139944925130576,,
finish,resnet50-preprocessing-residential,faas-workloads/resnet-preprocessing,139944925130576,nx_4,True
start,resnet50-preprocessing-commercial,faas-workloads/resnet-preprocessing,139944925131536,,
finish,resnet50-preprocessing-commercial,faas-workloads/resnet-preprocessing,139944925131536,coral_6,True
start,resnet50-preprocessing-airport,faas-workloads/resnet-preprocessing,139944925132496,,
finish,resnet50-preprocessing-airport,faas-workloads/resnet-preprocessing,139944925132496,rockpi_16,True
start,resnet50-preprocessing-port,faas-workloads/resnet-preprocessing,139944925133456,,
finish,resnet50-preprocessing-port,faas-workloads/resnet-preprocessing,139944925133456,rockpi_16,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139944925256704,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139944924656688,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139944925256704,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139944925256704,nano_18,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139944924657648,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139944924658368,,
queue,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139944924659136,,
queue,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139944922743040,,
queue,resnet50-inference-airport,faas-workloads/resnet-inference-gpu,139944922743808,,
queue,resnet50-inference-port,faas-workloads/resnet-inference-gpu,139944922744576,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139944922745344,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,139944922746112,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,139944922746880,,
queue,speech-inference-industrial,faas-workloads/speech-inference-tflite,139944922747648,,
queue,speech-inference-residential,faas-workloads/speech-inference-tflite,139944922748416,,
queue,speech-inference-commercial,faas-workloads/speech-inference-tflite,139944922749184,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139944924656688,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139944924656688,nano_43,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139944924657648,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139944924657648,nano_48,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139944924658368,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139944924658368,nano_49,True
start,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139944924659136,,
finish,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,139944924659136,tx2_13,True
start,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139944922743040,,
finish,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,139944922743040,tx2_19,True
start,resnet50-inference-airport,faas-workloads/resnet-inference-gpu,139944922743808,,
finish,resnet50-inference-airport,faas-workloads/resnet-inference-gpu,139944922743808,nano_31,True
start,resnet50-inference-port,faas-workloads/resnet-inference-gpu,139944922744576,,
finish,resnet50-inference-port,faas-workloads/resnet-inference-gpu,139944922744576,nano_37,True
start,speech-inference,faas-workloads/speech-inference-tflite,139944922745344,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139944922745344,rockpi_5,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,139944922746112,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,139944922746112,rockpi_5,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,139944922746880,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,139944922746880,rpi3_3,True
start,speech-inference-industrial,faas-workloads/speech-inference-tflite,139944922747648,,
finish,speech-inference-industrial,faas-workloads/speech-inference-tflite,139944922747648,rpi3_4,True
