timestamp,strategy,deployment,current_replicas,current_load_rps,avg_response_time_ms,evaluation_type
5,StandardFirstFitBinPacker,resnet50-inference,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,resnet50-inference-downtown,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,resnet50-inference-suburb,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,resnet50-inference-industrial,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,resnet50-inference-residential,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,speech-inference,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,speech-inference-downtown,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,speech-inference-suburb,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,speech-inference-industrial,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,resnet50-preprocessing,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,resnet50-preprocessing-downtown,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,resnet50-preprocessing-suburb,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,resnet50-preprocessing-industrial,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,resnet50-training,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,resnet50-training-downtown,1,0.0,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-inference,1,22.0,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-inference-downtown,1,34.8,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-inference-suburb,1,16.6,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-inference-industrial,1,26.0,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-inference-residential,1,16.6,0.0,scaling_check
10,StandardFirstFitBinPacker,speech-inference,1,31.6,0.0,scaling_check
10,StandardFirstFitBinPacker,speech-inference-downtown,1,46.0,0.0,scaling_check
10,StandardFirstFitBinPacker,speech-inference-suburb,1,19.0,0.0,scaling_check
10,StandardFirstFitBinPacker,speech-inference-industrial,1,28.8,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-preprocessing,1,23.6,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-preprocessing-downtown,1,40.4,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-preprocessing-suburb,1,12.8,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-preprocessing-industrial,1,29.4,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-training,1,26.0,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-training-downtown,1,33.4,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-inference,2,29.0,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-inference-downtown,2,52.6,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-inference-suburb,2,17.0,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-inference-industrial,2,34.2,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-inference-residential,2,19.8,0.0,scaling_check
15,StandardFirstFitBinPacker,speech-inference,2,40.4,0.0,scaling_check
15,StandardFirstFitBinPacker,speech-inference-downtown,2,60.0,0.0,scaling_check
15,StandardFirstFitBinPacker,speech-inference-suburb,2,23.0,0.0,scaling_check
15,StandardFirstFitBinPacker,speech-inference-industrial,2,37.6,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-preprocessing,2,34.6,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-preprocessing-downtown,2,45.2,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-preprocessing-suburb,1,16.4,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-preprocessing-industrial,2,32.8,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-training,2,28.4,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-training-downtown,2,40.0,0.0,scaling_check
