value,name,type,data_type
48000000,link_rpi4_140,node,data_download
48000000,shared_65,shared,data_download
48000000,up_shared_65,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_95,node,data_download
48000000,link_rpi4_140,node,data_download
48000000,shared_65,shared,data_download
48000000,up_shared_65,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_29,node,data_download
48000000,link_rpi4_140,node,data_download
48000000,shared_65,shared,data_download
48000000,up_shared_65,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_95,node,data_download
48000000,link_rpi4_140,node,data_download
48000000,shared_65,shared,data_download
48000000,up_shared_65,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_29,node,data_download
103000000,link_rpi4_140,node,data_download
103000000,shared_65,shared,data_download
103000000,up_shared_65,uplink,data_download
103000000,down_shared_0,downlink,data_download
103000000,shared_0,shared,data_download
103000000,link_tx2_1,node,data_download
103000000,link_rpi4_140,node,data_download
103000000,shared_65,shared,data_download
103000000,up_shared_65,uplink,data_download
103000000,down_shared_9,downlink,data_download
103000000,shared_9,shared,data_download
103000000,link_nx_1,node,data_download
103000000,link_rpi4_140,node,data_download
103000000,shared_65,shared,data_download
103000000,up_shared_65,uplink,data_download
103000000,down_shared_0,downlink,data_download
103000000,shared_0,shared,data_download
103000000,link_tx2_0,node,data_download
103000000,link_rpi4_140,node,data_download
103000000,shared_65,shared,data_download
103000000,up_shared_65,uplink,data_download
103000000,down_shared_6,downlink,data_download
103000000,shared_6,shared,data_download
103000000,link_nx_0,node,data_download
103000000,link_rpi4_140,node,data_download
103000000,shared_65,shared,data_download
103000000,up_shared_65,uplink,data_download
103000000,down_shared_6,downlink,data_download
103000000,shared_6,shared,data_download
103000000,link_tx2_2,node,data_download
58000000,link_rpi4_140,node,data_download
58000000,shared_65,shared,data_download
58000000,up_shared_65,uplink,data_download
58000000,down_shared_17,downlink,data_download
58000000,shared_17,shared,data_download
58000000,link_nx_3,node,data_download
58000000,link_rpi4_140,node,data_download
58000000,shared_65,shared,data_download
58000000,up_shared_65,uplink,data_download
58000000,down_shared_17,downlink,data_download
58000000,shared_17,shared,data_download
58000000,link_nx_3,node,data_download
58000000,link_rpi4_140,node,data_download
58000000,shared_65,shared,data_download
58000000,up_shared_65,uplink,data_download
58000000,down_shared_9,downlink,data_download
58000000,shared_9,shared,data_download
58000000,link_nx_2,node,data_download
58000000,link_rpi4_140,node,data_download
58000000,shared_65,shared,data_download
58000000,up_shared_65,uplink,data_download
58000000,down_shared_17,downlink,data_download
58000000,shared_17,shared,data_download
58000000,link_nx_3,node,data_download
58000000,link_rpi4_140,node,data_download
58000000,shared_65,shared,data_download
58000000,up_shared_65,uplink,data_download
58000000,down_shared_17,downlink,data_download
58000000,shared_17,shared,data_download
58000000,link_nx_3,node,data_download
58000000,link_rpi4_140,node,data_download
58000000,shared_65,shared,data_download
58000000,up_shared_65,uplink,data_download
58000000,down_shared_9,downlink,data_download
58000000,shared_9,shared,data_download
58000000,link_nx_2,node,data_download
58000000,link_rpi4_140,node,data_download
58000000,shared_65,shared,data_download
58000000,up_shared_65,uplink,data_download
58000000,down_shared_9,downlink,data_download
58000000,shared_9,shared,data_download
58000000,link_nx_2,node,data_download
58000000,link_rpi4_140,node,data_download
58000000,shared_65,shared,data_download
58000000,up_shared_65,uplink,data_download
58000000,down_shared_9,downlink,data_download
58000000,shared_9,shared,data_download
58000000,link_nx_2,node,data_download
58000000,link_rpi4_140,node,data_download
58000000,shared_65,shared,data_download
58000000,up_shared_65,uplink,data_download
58000000,down_shared_21,downlink,data_download
58000000,shared_21,shared,data_download
58000000,link_nano_0,node,data_download
58000000,link_rpi4_140,node,data_download
