bytes,duration,source,sink,action_type
40000000,0.6334170458719132,registry,rockpi_95,docker_pull
40000000,0.6226212118403391,registry,rockpi_29,docker_pull
100000000,0.8278128483404482,registry,tx2_0,docker_pull
100000000,0.8278399003300666,registry,tx2_1,docker_pull
100000000,0.8276059767477464,registry,tx2_2,docker_pull
100000000,0.8278115888281754,registry,nx_0,docker_pull
100000000,0.8281502487623179,registry,nx_1,docker_pull
100000000,0.827740408356078,registry,nx_2,docker_pull
100000000,0.8280011059189483,registry,nx_3,docker_pull
48000000,1.2341731608521667,rockpi_74,rockpi_95,data_download
137000000,1.1331597981625918,registry,rpi3_36,docker_pull
137000000,1.1328871859549863,registry,rpi3_37,docker_pull
48000000,1.2991383270090628,rockpi_74,rockpi_29,data_download
191000000,1.578366513568625,registry,rockpi_0,docker_pull
48000000,2.620718289274665,rockpi_74,rockpi_29,data_download
48000000,2.7185141316332735,rockpi_74,rockpi_95,data_download
103000000,4.552215807391885,rockpi_74,tx2_1,data_download
103000000,4.63359153939871,rockpi_74,tx2_2,data_download
103000000,4.652461378247204,rockpi_74,tx2_0,data_download
103000000,4.674603712577058,rockpi_74,nx_1,data_download
103000000,4.714383121094648,rockpi_74,nx_0,data_download
58000000,3.662738147830681,rockpi_74,nx_3,data_download
58000000,3.70404454314584,rockpi_74,nx_3,data_download
58000000,3.7594437528548212,rockpi_74,nx_3,data_download
58000000,3.7635933909840285,rockpi_74,nx_3,data_download
58000000,3.735635913009842,rockpi_74,nx_2,data_download
58000000,3.7500734443756194,rockpi_74,nx_2,data_download
58000000,3.751688989791071,rockpi_74,nx_2,data_download
58000000,3.757629989295757,rockpi_74,nx_2,data_download
33000000,0.27508012034147633,registry,rpi3_38,docker_pull
33000000,0.27540346543597316,registry,rpi4_148,docker_pull
33000000,0.27539741297681,registry,rpi4_149,docker_pull
33000000,0.27531833580572496,registry,rpi3_165,docker_pull
100000000,0.8278811311961487,registry,tx2_3,docker_pull
100000000,0.8277779869122917,registry,nano_0,docker_pull
100000000,0.8277914677999352,registry,nano_1,docker_pull
137000000,1.1328070820799336,registry,rpi3_166,docker_pull
48000000,2.1530348106943453,rockpi_74,rpi3_38,data_download
48000000,2.318403017087334,rockpi_74,rpi4_148,data_download
48000000,2.353194891648304,rockpi_74,rpi4_149,data_download
48000000,2.32875779065769,rockpi_74,rpi3_165,data_download
