value,name,function_id
deploy,resnet50-inference,140570456310784
deploy,resnet50-inference-downtown,140570456473760
deploy,resnet50-inference-suburb,140570456474960
deploy,resnet50-inference-industrial,140570456476160
deploy,resnet50-inference-residential,140570456477360
deploy,speech-inference,140570456478560
deploy,speech-inference-downtown,140570456479760
deploy,speech-inference-suburb,140570456480960
deploy,speech-inference-industrial,140570456482160
deploy,resnet50-preprocessing,140570456483360
deploy,resnet50-preprocessing-downtown,140570456484176
deploy,resnet50-preprocessing-suburb,140570456484992
deploy,resnet50-preprocessing-industrial,140570456485808
deploy,resnet50-training,140570456486624
deploy,resnet50-training-downtown,140570456487824
