value,function_name,node_name,replica_id
deploy,resnet50-inference,tx2_0,140056111873088
deploy,resnet50-inference-downtown,tx2_1,140056111873952
deploy,resnet50-inference-suburb,tx2_2,140056110738032
deploy,resnet50-inference-industrial,nx_0,140056110739040
deploy,resnet50-inference-residential,nx_1,140056110740000
deploy,speech-inference,rockpi_95,140056110740960
deploy,speech-inference-downtown,rockpi_95,140056110741920
startup,speech-inference-downtown,rockpi_95,140056110741920
setup,speech-inference-downtown,rockpi_95,140056110741920
deploy,speech-inference-suburb,rockpi_29,140056110742880
deploy,speech-inference-industrial,rockpi_29,140056110907744
startup,speech-inference-industrial,rockpi_29,140056110907744
setup,speech-inference-industrial,rockpi_29,140056110907744
deploy,resnet50-preprocessing,rockpi_0,140056110908704
deploy,resnet50-preprocessing-downtown,rockpi_0,140056110909664
startup,resnet50-preprocessing-downtown,rockpi_0,140056110909664
setup,resnet50-preprocessing-downtown,rockpi_0,140056110909664
finish,resnet50-preprocessing-downtown,rockpi_0,140056110909664
deploy,resnet50-preprocessing-suburb,rpi3_36,140056110910624
deploy,resnet50-preprocessing-industrial,rpi3_37,140056110911584
deploy,resnet50-training,nx_2,140056110912544
deploy,resnet50-training-downtown,nx_3,140056110913504
startup,speech-inference,rockpi_95,140056110740960
setup,speech-inference,rockpi_95,140056110740960
startup,speech-inference-suburb,rockpi_29,140056110742880
setup,speech-inference-suburb,rockpi_29,140056110742880
startup,resnet50-inference,tx2_0,140056111873088
setup,resnet50-inference,tx2_0,140056111873088
startup,resnet50-inference-downtown,tx2_1,140056111873952
setup,resnet50-inference-downtown,tx2_1,140056111873952
startup,resnet50-inference-suburb,tx2_2,140056110738032
setup,resnet50-inference-suburb,tx2_2,140056110738032
startup,resnet50-inference-industrial,nx_0,140056110739040
setup,resnet50-inference-industrial,nx_0,140056110739040
startup,resnet50-inference-residential,nx_1,140056110740000
setup,resnet50-inference-residential,nx_1,140056110740000
startup,resnet50-training,nx_2,140056110912544
setup,resnet50-training,nx_2,140056110912544
finish,resnet50-training,nx_2,140056110912544
startup,resnet50-training-downtown,nx_3,140056110913504
setup,resnet50-training-downtown,nx_3,140056110913504
finish,resnet50-training-downtown,nx_3,140056110913504
finish,speech-inference-downtown,rockpi_95,140056110741920
finish,speech-inference-industrial,rockpi_29,140056110907744
startup,resnet50-preprocessing-suburb,rpi3_36,140056110910624
setup,resnet50-preprocessing-suburb,rpi3_36,140056110910624
finish,resnet50-preprocessing-suburb,rpi3_36,140056110910624
startup,resnet50-preprocessing-industrial,rpi3_37,140056110911584
setup,resnet50-preprocessing-industrial,rpi3_37,140056110911584
finish,resnet50-preprocessing-industrial,rpi3_37,140056110911584
startup,resnet50-preprocessing,rockpi_0,140056110908704
setup,resnet50-preprocessing,rockpi_0,140056110908704
finish,resnet50-preprocessing,rockpi_0,140056110908704
finish,speech-inference-suburb,rockpi_29,140056110742880
finish,speech-inference,rockpi_95,140056110740960
finish,resnet50-inference-residential,nx_1,140056110740000
finish,resnet50-inference-industrial,nx_0,140056110739040
finish,resnet50-inference-suburb,tx2_2,140056110738032
finish,resnet50-inference-downtown,tx2_1,140056111873952
finish,resnet50-inference,tx2_0,140056111873088
deploy,resnet50-inference,tx2_3,140056100018336
deploy,resnet50-inference-downtown,nano_0,140056098569520
deploy,resnet50-inference-industrial,nano_1,140056098767248
deploy,resnet50-inference-residential,xeongpu_0,140056098767968
deploy,speech-inference,rpi3_38,140056098768736
deploy,speech-inference-downtown,rpi4_148,140056098769504
deploy,speech-inference-suburb,rpi4_149,140056098770272
deploy,speech-inference-industrial,rpi3_165,140056098771040
deploy,resnet50-preprocessing,rpi3_166,140056098771808
deploy,resnet50-preprocessing-downtown,rpi3_167,140056098772576
deploy,resnet50-preprocessing-industrial,rpi4_66,140056098773440
deploy,resnet50-training,xeongpu_1,140056098774208
deploy,resnet50-training-downtown,xeongpu_2,140056098774976
startup,speech-inference,rpi3_38,140056098768736
setup,speech-inference,rpi3_38,140056098768736
startup,speech-inference-downtown,rpi4_148,140056098769504
setup,speech-inference-downtown,rpi4_148,140056098769504
startup,speech-inference-suburb,rpi4_149,140056098770272
setup,speech-inference-suburb,rpi4_149,140056098770272
startup,speech-inference-industrial,rpi3_165,140056098771040
setup,speech-inference-industrial,rpi3_165,140056098771040
startup,resnet50-inference,tx2_3,140056100018336
setup,resnet50-inference,tx2_3,140056100018336
startup,resnet50-inference-downtown,nano_0,140056098569520
setup,resnet50-inference-downtown,nano_0,140056098569520
startup,resnet50-inference-industrial,nano_1,140056098767248
setup,resnet50-inference-industrial,nano_1,140056098767248
startup,resnet50-preprocessing,rpi3_166,140056098771808
setup,resnet50-preprocessing,rpi3_166,140056098771808
finish,resnet50-preprocessing,rpi3_166,140056098771808
startup,resnet50-preprocessing-downtown,rpi3_167,140056098772576
setup,resnet50-preprocessing-downtown,rpi3_167,140056098772576
finish,resnet50-preprocessing-downtown,rpi3_167,140056098772576
startup,resnet50-preprocessing-industrial,rpi4_66,140056098773440
setup,resnet50-preprocessing-industrial,rpi4_66,140056098773440
finish,resnet50-preprocessing-industrial,rpi4_66,140056098773440
finish,speech-inference,rpi3_38,140056098768736
finish,speech-inference-downtown,rpi4_148,140056098769504
finish,speech-inference-suburb,rpi4_149,140056098770272
finish,speech-inference-industrial,rpi3_165,140056098771040
finish,resnet50-inference-downtown,nano_0,140056098569520
finish,resnet50-inference,tx2_3,140056100018336
finish,resnet50-inference-industrial,nano_1,140056098767248
startup,resnet50-inference-residential,xeongpu_0,140056098767968
setup,resnet50-inference-residential,xeongpu_0,140056098767968
deploy,resnet50-inference,xeongpu_3,140056089903936
deploy,resnet50-inference-downtown,xeongpu_4,140056090568944
deploy,resnet50-inference-suburb,xeongpu_5,140056090569904
deploy,speech-inference,rpi4_67,140056090572160
deploy,speech-inference-downtown,rpi4_10,140056090572928
deploy,speech-inference-suburb,rpi4_11,140056090573696
