value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140570455915584,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140570455916448,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140570455915584,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140570455915584,tx2_0,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140570454780528,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140570454781536,,
queue,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140570454782496,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140570454783456,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140570454784416,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140570454785376,,
queue,speech-inference-industrial,faas-workloads/speech-inference-tflite,140570454950240,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140570454951200,,
queue,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140570454952160,,
queue,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,140570454953120,,
queue,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,140570454954080,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140570454955040,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140570454956000,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140570455916448,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140570455916448,tx2_1,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140570454780528,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140570454780528,tx2_2,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140570454781536,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140570454781536,nx_0,True
start,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140570454782496,,
finish,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140570454782496,nx_1,True
start,speech-inference,faas-workloads/speech-inference-tflite,140570454783456,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140570454783456,rockpi_95,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,140570454784416,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,140570454784416,rockpi_95,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,140570454785376,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,140570454785376,rockpi_29,True
start,speech-inference-industrial,faas-workloads/speech-inference-tflite,140570454950240,,
finish,speech-inference-industrial,faas-workloads/speech-inference-tflite,140570454950240,rockpi_29,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140570454951200,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140570454951200,rockpi_0,True
start,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140570454952160,,
finish,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140570454952160,rockpi_0,True
start,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,140570454953120,,
finish,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,140570454953120,rpi3_36,True
start,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,140570454954080,,
finish,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,140570454954080,rpi3_37,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140570454955040,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140570454955040,nx_2,True
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140570454956000,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140570454956000,nx_3,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140570442975504,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140570441543072,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140570442975504,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140570442975504,tx2_3,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140570441544032,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140570441544752,,
queue,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140570441545520,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140570441546288,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140570441547056,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140570441695344,,
queue,speech-inference-industrial,faas-workloads/speech-inference-tflite,140570441696112,,
queue,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140570441696976,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140570441697936,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140570441698704,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140570441543072,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140570441543072,nano_0,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140570441544032,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140570441544032,nano_1,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140570441544752,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140570441544752,xeongpu_0,True
start,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140570441545520,,
finish,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140570441545520,xeongpu_1,True
start,speech-inference,faas-workloads/speech-inference-tflite,140570441546288,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140570441546288,rpi3_38,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,140570441547056,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,140570441547056,rpi4_148,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,140570441695344,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,140570441695344,rpi4_149,True
start,speech-inference-industrial,faas-workloads/speech-inference-tflite,140570441696112,,
finish,speech-inference-industrial,faas-workloads/speech-inference-tflite,140570441696112,rpi3_165,True
start,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140570441696976,,
finish,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140570441696976,rpi3_166,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140570441697936,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140570441697936,xeongpu_2,True
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140570441698704,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140570441698704,xeongpu_3,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140570432421360,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140570431087584,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140570432421360,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140570432421360,xeongpu_4,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140570431088544,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140570431089264,,
queue,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140570431090032,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140570431090800,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140570431091568,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140570431092336,,
queue,speech-inference-industrial,faas-workloads/speech-inference-tflite,140570431093104,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140570431093872,,
queue,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140570431094640,,
queue,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,140570431259312,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140570431260176,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140570431260944,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140570431087584,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140570431087584,xeongpu_5,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140570431088544,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140570431088544,None,False
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140570431266752,,
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140570431089264,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140570431089264,None,False
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140570432419776,,
start,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140570431090032,,
finish,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140570431090032,None,False
queue,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140570431268960,,
start,speech-inference,faas-workloads/speech-inference-tflite,140570431090800,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140570431090800,rpi3_167,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,140570431091568,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,140570431091568,rpi4_66,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,140570431092336,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,140570431092336,rpi4_67,True
start,speech-inference-industrial,faas-workloads/speech-inference-tflite,140570431093104,,
finish,speech-inference-industrial,faas-workloads/speech-inference-tflite,140570431093104,rpi4_10,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140570431093872,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140570431093872,rpi4_11,True
start,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140570431094640,,
finish,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140570431094640,rpi3_24,True
start,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,140570431259312,,
finish,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,140570431259312,rpi3_25,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140570431260176,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140570431260176,None,False
queue,resnet50-training,faas-workloads/resnet-training-gpu,140570429650064,,
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140570431260944,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140570431260944,None,False
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140570429650976,,
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140570431266752,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140570431266752,None,False
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-cpu,140570429652368,,
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140570432419776,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140570432419776,None,False
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-cpu,140570429645936,,
start,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140570431268960,,
finish,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140570431268960,None,False
queue,resnet50-inference-residential,faas-workloads/resnet-inference-cpu,140570429651888,,
start,resnet50-training,faas-workloads/resnet-training-gpu,140570429650064,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140570429650064,None,False
queue,resnet50-training,faas-workloads/resnet-training-cpu,140570429787008,,
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140570429650976,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140570429650976,None,False
queue,resnet50-training-downtown,faas-workloads/resnet-training-cpu,140570429643440,,
start,resnet50-inference-suburb,faas-workloads/resnet-inference-cpu,140570429652368,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-cpu,140570429652368,rpi3_26,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-cpu,140570429645936,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-cpu,140570429645936,rpi4_160,True
start,resnet50-inference-residential,faas-workloads/resnet-inference-cpu,140570429651888,,
finish,resnet50-inference-residential,faas-workloads/resnet-inference-cpu,140570429651888,rpi4_161,True
start,resnet50-training,faas-workloads/resnet-training-cpu,140570429787008,,
finish,resnet50-training,faas-workloads/resnet-training-cpu,140570429787008,nuc_0,True
start,resnet50-training-downtown,faas-workloads/resnet-training-cpu,140570429643440,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-cpu,140570429643440,nuc_1,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140570420411360,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140570419093776,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140570420411360,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140570420411360,None,False
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140570419094736,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140570419095456,,
queue,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140570419096224,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140570419096992,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140570419097760,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140570419098528,,
queue,speech-inference-industrial,faas-workloads/speech-inference-tflite,140570419099296,,
queue,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140570419100160,,
queue,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,140570419100928,,
queue,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,140570419101648,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140570419249984,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140570419250752,,
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140570420406368,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140570419093776,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140570419093776,None,False
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140570420408576,,
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140570419094736,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140570419094736,None,False
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140570419256080,,
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140570419095456,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140570419095456,None,False
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140570419094688,,
start,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140570419096224,,
finish,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140570419096224,None,False
queue,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,140570419257424,,
start,speech-inference,faas-workloads/speech-inference-tflite,140570419096992,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140570419096992,rpi3_132,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,140570419097760,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,140570419097760,rpi3_133,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,140570419098528,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,140570419098528,rpi3_134,True
start,speech-inference-industrial,faas-workloads/speech-inference-tflite,140570419099296,,
finish,speech-inference-industrial,faas-workloads/speech-inference-tflite,140570419099296,rockpi_69,True
start,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140570419100160,,
finish,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,140570419100160,rockpi_69,True
start,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,140570419100928,,
