deployment_name,timestamp,avg_response_time,avg_execution_time,avg_wait_time,wait_percentage,high_wait_count,sample_count
resnet50-inference,40,535.1887982915291,526.5996012325554,8.5891970589737,1.6048910377782186,3,105
resnet50-inference-downtown,40,759.0743514052278,739.5690725815173,19.505278823710515,2.5696137391023144,2,26
resnet50-inference-suburb,40,380.6495841438097,380.6495841438097,0.0,0.0,0,24
resnet50-inference-industrial,40,740.5007302437916,732.8543702027231,7.646360041068556,1.0325931803674495,1,16
speech-inference,40,5209.671934321192,3796.1736337093143,1413.4983006118773,27.132194088840507,12,16
speech-inference,40,5209.671934321192,3796.1736337093143,1413.4983006118773,27.132194088840507,12,16
speech-inference-downtown,40,4925.564035076998,3818.7866424318627,1106.7773926451357,22.470064032531337,6,7
speech-inference-downtown,40,4925.564035076998,3818.7866424318627,1106.7773926451357,22.470064032531337,6,7
speech-inference-suburb,40,3754.251118240725,3754.251118240725,0.0,0.0,0,3
speech-inference-suburb,40,3754.251118240725,3754.251118240725,0.0,0.0,0,3
python-pi,40,14721.014648763574,1495.2417777148646,13225.772871048712,89.84280762304351,66,66
python-pi,40,14721.014648763574,1495.2417777148646,13225.772871048712,89.84280762304351,66,66
python-pi-downtown,40,16213.692435424087,1622.3964103355752,14591.296025088512,89.99366481881127,20,20
python-pi-downtown,40,16213.692435424087,1622.3964103355752,14591.296025088512,89.99366481881127,20,20
python-pi-suburb,40,14593.940563260923,1621.8755467091205,12972.065016551802,88.88665100643165,20,20
python-pi-suburb,40,14593.940563260923,1621.8755467091205,12972.065016551802,88.88665100643165,20,20
resnet50-inference,45,530.478079805575,513.8924642622741,16.585615543300882,3.1265411662965716,2,47
resnet50-inference-downtown,45,819.8543601408109,777.5929226894381,42.261437451372785,5.1547493684261605,2,12
resnet50-inference-downtown,45,819.8543601408109,777.5929226894381,42.261437451372785,5.1547493684261605,2,12
resnet50-inference-suburb,45,386.67849671155,386.67849671155,0.0,0.0,0,6
resnet50-inference-industrial,45,718.5960615033409,718.5960615033409,0.0,0.0,0,4
speech-inference,45,6202.284758868276,3787.2554584216973,2415.0293004465784,38.93773656544022,4,4
speech-inference,45,6202.284758868276,3787.2554584216973,2415.0293004465784,38.93773656544022,4,4
speech-inference-downtown,45,5979.082004120503,3776.4840616235397,2202.5979424969623,36.83839661304252,3,3
speech-inference-downtown,45,5979.082004120503,3776.4840616235397,2202.5979424969623,36.83839661304252,3,3
python-pi,45,15460.739938626968,1500.970416113732,13959.769522513236,90.29172974856318,26,26
python-pi,45,15460.739938626968,1500.970416113732,13959.769522513236,90.29172974856318,26,26
python-pi-downtown,45,17570.02113144494,1629.2375131298177,15940.783618315123,90.72717385516411,8,8
python-pi-downtown,45,17570.02113144494,1629.2375131298177,15940.783618315123,90.72717385516411,8,8
python-pi-suburb,45,15110.587043321995,1622.1296262676885,13488.457417054307,89.26494634776896,8,8
python-pi-suburb,45,15110.587043321995,1622.1296262676885,13488.457417054307,89.26494634776896,8,8
resnet50-inference,75,491.407020073299,486.2269284815184,5.1800915917806325,1.0541346338536155,2,108
resnet50-inference-downtown,75,554.1625342870411,554.1625342870411,0.0,0.0,0,24
resnet50-inference-suburb,75,386.2363652461607,386.2363652461607,0.0,0.0,0,25
resnet50-inference-industrial,75,710.1913703292323,706.6849044474593,3.506465881772989,0.4937353547604292,0,21
speech-inference,75,3880.6809268140505,3837.9291928946136,42.751733919436845,1.1016554755645689,2,17
speech-inference,75,3880.6809268140505,3837.9291928946136,42.751733919436845,1.1016554755645689,2,17
speech-inference-downtown,75,3877.4625994978546,3877.4625994978546,0.0,0.0,0,5
speech-inference-downtown,75,3877.4625994978546,3877.4625994978546,0.0,0.0,0,5
speech-inference-suburb,75,3780.1557991079476,3780.1557991079476,0.0,0.0,0,5
speech-inference-suburb,75,3780.1557991079476,3780.1557991079476,0.0,0.0,0,5
resnet50-preprocessing,75,59599.44712754086,7784.367446883871,51815.07968065699,86.93885963367147,4,4
resnet50-preprocessing,75,59599.44712754086,7784.367446883871,51815.07968065699,86.93885963367147,4,4
python-pi,75,12942.50187439932,1217.5234814264577,11724.97839297286,90.59282746688443,70,149
python-pi,75,12942.50187439932,1217.5234814264577,11724.97839297286,90.59282746688443,70,149
python-pi-downtown,75,15661.832198561478,1238.3733611396904,14423.458837421787,92.09304923306844,23,50
python-pi-downtown,75,15661.832198561478,1238.3733611396904,14423.458837421787,92.09304923306844,23,50
python-pi-suburb,75,13936.622157397325,1206.0612134059977,12730.560943991328,91.34610094336352,21,51
python-pi-suburb,75,13936.622157397325,1206.0612134059977,12730.560943991328,91.34610094336352,21,51
resnet50-inference,80,508.9266815000463,499.1117711156199,9.814910384426462,1.9285509565930608,2,57
resnet50-inference-downtown,80,547.1149373557165,547.1149373557165,0.0,0.0,0,13
