value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140531694942240,nx_10
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140531694943440,nano_3
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140531694961088,nx_3
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140531694962288,nano_17
deploy,speech-inference,faas-workloads/speech-inference-tflite,140531694963728,rockpi_30
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140531694964928,rockpi_30
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140531694966128,rockpi_8
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140531694967040,rockpi_8
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140531694967904,nano_15
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140531694969104,nano_26
deploy,python-pi,faas-workloads/python-pi,140531694970256,nx_10
deploy,python-pi-downtown,faas-workloads/python-pi,140531694971072,coral_1
deploy,python-pi-suburb,faas-workloads/python-pi,140531694971888,coral_3
deploy,fio,faas-workloads/fio,140531694972704,rpi3_3
deploy,fio-downtown,faas-workloads/fio,140531694973520,rpi3_3
deploy,fio-suburb,faas-workloads/fio,140531694974336,rpi3_4
deploy,speech-inference,faas-workloads/speech-inference-tflite,140531694963728,rpi3_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140531694964928,rockpi_13
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140531694966128,rockpi_13
deploy,python-pi,faas-workloads/python-pi,140531694970256,nx_3
deploy,python-pi-downtown,faas-workloads/python-pi,140531694971072,rockpi_12
deploy,python-pi-suburb,faas-workloads/python-pi,140531694971888,rockpi_12
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140531694943440,nx_13
deploy,speech-inference,faas-workloads/speech-inference-tflite,140531694963728,rockpi_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140531694964928,rockpi_5
deploy,python-pi,faas-workloads/python-pi,140531694970256,rockpi_21
deploy,python-pi-downtown,faas-workloads/python-pi,140531694971072,rockpi_21
deploy,python-pi-suburb,faas-workloads/python-pi,140531694971888,rockpi_19
deploy,speech-inference,faas-workloads/speech-inference-tflite,140531694963728,rockpi_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140531694964928,rockpi_5
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140531694966128,rockpi_19
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140531694967040,nx_13
deploy,python-pi,faas-workloads/python-pi,140531694970256,rockpi_16
deploy,python-pi-downtown,faas-workloads/python-pi,140531694971072,rockpi_16
deploy,python-pi-suburb,faas-workloads/python-pi,140531694971888,rockpi_14
deploy,speech-inference,faas-workloads/speech-inference-tflite,140531694963728,rockpi_14
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140531694964928,nx_4
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140531694966128,nx_4
deploy,python-pi,faas-workloads/python-pi,140531694970256,rpi3_21
deploy,python-pi-downtown,faas-workloads/python-pi,140531694971072,rpi3_22
deploy,python-pi-suburb,faas-workloads/python-pi,140531694971888,rpi3_23
deploy,speech-inference,faas-workloads/speech-inference-tflite,140531694963728,rockpi_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140531694964928,rockpi_5
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140531694966128,rockpi_19
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140531694967040,rockpi_14
deploy,python-pi,faas-workloads/python-pi,140531694970256,nx_4
