value,name,function_id
deploy,resnet50-inference,140531694941904
deploy,resnet50-inference-downtown,140531694942960
deploy,resnet50-inference-suburb,140531694944160
deploy,resnet50-inference-industrial,140531694961808
deploy,speech-inference,140531694963008
deploy,speech-inference-downtown,140531694964208
deploy,speech-inference-suburb,140531694965408
deploy,resnet50-preprocessing,140531694966608
deploy,resnet50-training,140531694967424
deploy,resnet50-training-downtown,140531694968624
deploy,python-pi,140531694969824
deploy,python-pi-downtown,140531694970640
deploy,python-pi-suburb,140531694971456
deploy,fio,140531694972272
deploy,fio-downtown,140531694973088
deploy,fio-suburb,140531694973904
