t_wait,t_exec,t_start,memory,function_name,function_image,node,replica_id
0.0,0.3726337102003914,5.016320034233166,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140531695122464
0.0,0.37865911257859075,5.083069589034239,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140531695122464
0.0,0.39085016202276357,5.441962339331441,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140531695122464
0.0,0.6701207677340664,5.176179500788765,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140531694824288
0.0,0.7085335417753749,5.223267256966587,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140531695123424
0.0,0.42551094483091134,5.701219876998372,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140531695122464
0.0,0.6701837804827528,5.602870548157268,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140531694824288
0.0,1.284823544142295,5.077938045083612,104857600,python-pi,faas-workloads/python-pi,nx_10,140531695212128
0.0,0.3779005995790321,6.1754798267719675,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140531695122464
0.0,0.7507672877778635,5.807457375644802,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140531694824288
0.0,0.3809840743653137,6.204729399948788,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140531695122464
0.0,0.3906897030908212,6.289900653066198,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140531694823424
0.0,0.7771497885003731,5.937919800357043,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140531694824288
0.0,1.6252360514400213,5.11118755525836,104857600,python-pi-downtown,faas-workloads/python-pi,coral_1,140531695213088
0.0,0.6904842727552873,6.0520279089986255,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140531694824288
0.0,1.293746621286151,5.456738259611885,104857600,python-pi,faas-workloads/python-pi,nx_10,140531695212128
0.0,1.6160708900496976,5.160906127102212,104857600,python-pi-suburb,faas-workloads/python-pi,coral_3,140531695214048
0.0,1.3023646898218804,5.484157992118007,104857600,python-pi,faas-workloads/python-pi,nx_10,140531695212128
0.0,1.6157556642773532,5.18358478581785,104857600,python-pi-downtown,faas-workloads/python-pi,coral_1,140531695213088
0.0,1.6268964605353684,5.2070521161990575,104857600,python-pi-downtown,faas-workloads/python-pi,coral_1,140531695213088
0.0,1.62909570219872,5.262789324550457,104857600,python-pi-downtown,faas-workloads/python-pi,coral_1,140531695213088
0.0,1.305034947111368,5.62522635128902,104857600,python-pi,faas-workloads/python-pi,nx_10,140531695212128
0.0,0.71710042453988,6.238113243558775,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140531695123424
0.0,0.4002146502995343,6.567790411614298,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140531695122464
