value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_10,140531694823424
deploy,resnet50-inference-downtown,nano_3,140531694824288
deploy,resnet50-inference-suburb,nx_3,140531695122464
deploy,resnet50-inference-industrial,nano_17,140531695123424
deploy,speech-inference,rockpi_30,140531695124384
deploy,speech-inference-downtown,rockpi_30,140531695207328
startup,speech-inference-downtown,rockpi_30,140531695207328
setup,speech-inference-downtown,rockpi_30,140531695207328
deploy,speech-inference-suburb,rockpi_8,140531695208288
deploy,resnet50-preprocessing,rockpi_8,140531695209248
deploy,resnet50-training,nano_15,140531695210208
deploy,resnet50-training-downtown,nano_26,140531695211168
deploy,python-pi,nx_10,140531695212128
deploy,python-pi-downtown,coral_1,140531695213088
deploy,python-pi-suburb,coral_3,140531695214048
deploy,fio,rpi3_3,140531695215008
deploy,fio-downtown,rpi3_3,140531695215968
startup,fio-downtown,rpi3_3,140531695215968
setup,fio-downtown,rpi3_3,140531695215968
finish,fio-downtown,rpi3_3,140531695215968
deploy,fio-suburb,rpi3_4,140531695216928
startup,fio,rpi3_3,140531695215008
setup,fio,rpi3_3,140531695215008
finish,fio,rpi3_3,140531695215008
startup,fio-suburb,rpi3_4,140531695216928
setup,fio-suburb,rpi3_4,140531695216928
finish,fio-suburb,rpi3_4,140531695216928
startup,python-pi-downtown,coral_1,140531695213088
setup,python-pi-downtown,coral_1,140531695213088
finish,python-pi-downtown,coral_1,140531695213088
startup,python-pi-suburb,coral_3,140531695214048
setup,python-pi-suburb,coral_3,140531695214048
finish,python-pi-suburb,coral_3,140531695214048
startup,speech-inference,rockpi_30,140531695124384
setup,speech-inference,rockpi_30,140531695124384
startup,speech-inference-suburb,rockpi_8,140531695208288
setup,speech-inference-suburb,rockpi_8,140531695208288
startup,resnet50-inference-downtown,nano_3,140531694824288
setup,resnet50-inference-downtown,nano_3,140531694824288
startup,resnet50-inference-suburb,nx_3,140531695122464
setup,resnet50-inference-suburb,nx_3,140531695122464
startup,resnet50-inference-industrial,nano_17,140531695123424
setup,resnet50-inference-industrial,nano_17,140531695123424
startup,resnet50-training,nano_15,140531695210208
setup,resnet50-training,nano_15,140531695210208
finish,resnet50-training,nano_15,140531695210208
startup,resnet50-training-downtown,nano_26,140531695211168
setup,resnet50-training-downtown,nano_26,140531695211168
finish,resnet50-training-downtown,nano_26,140531695211168
finish,speech-inference-downtown,rockpi_30,140531695207328
startup,python-pi,nx_10,140531695212128
setup,python-pi,nx_10,140531695212128
finish,python-pi,nx_10,140531695212128
startup,resnet50-inference,nx_10,140531694823424
setup,resnet50-inference,nx_10,140531694823424
startup,resnet50-preprocessing,rockpi_8,140531695209248
setup,resnet50-preprocessing,rockpi_8,140531695209248
finish,resnet50-preprocessing,rockpi_8,140531695209248
finish,speech-inference,rockpi_30,140531695124384
finish,speech-inference-suburb,rockpi_8,140531695208288
finish,resnet50-inference-downtown,nano_3,140531694824288
finish,resnet50-inference-suburb,nx_3,140531695122464
finish,resnet50-inference-industrial,nano_17,140531695123424
finish,resnet50-inference,nx_10,140531694823424
deploy,speech-inference,rpi3_5,140531684356784
deploy,speech-inference-downtown,rockpi_13,140531684533840
deploy,speech-inference-suburb,rockpi_13,140531684534464
startup,speech-inference-suburb,rockpi_13,140531684534464
setup,speech-inference-suburb,rockpi_13,140531684534464
deploy,python-pi,nx_3,140531684536048
deploy,python-pi-downtown,rockpi_12,140531684536912
deploy,python-pi-suburb,rockpi_12,140531684537344
startup,python-pi-suburb,rockpi_12,140531684537344
setup,python-pi-suburb,rockpi_12,140531684537344
finish,python-pi-suburb,rockpi_12,140531684537344
startup,speech-inference,rpi3_5,140531684356784
setup,speech-inference,rpi3_5,140531684356784
startup,python-pi,nx_3,140531684536048
setup,python-pi,nx_3,140531684536048
finish,python-pi,nx_3,140531684536048
startup,python-pi-downtown,rockpi_12,140531684536912
setup,python-pi-downtown,rockpi_12,140531684536912
finish,python-pi-downtown,rockpi_12,140531684536912
startup,speech-inference-downtown,rockpi_13,140531684533840
setup,speech-inference-downtown,rockpi_13,140531684533840
finish,speech-inference-suburb,rockpi_13,140531684534464
finish,speech-inference,rpi3_5,140531684356784
finish,speech-inference-downtown,rockpi_13,140531684533840
deploy,resnet50-inference-downtown,nx_13,140531683673280
deploy,speech-inference,rockpi_5,140531683685952
deploy,speech-inference-downtown,rockpi_5,140531683686432
startup,speech-inference-downtown,rockpi_5,140531683686432
setup,speech-inference-downtown,rockpi_5,140531683686432
deploy,python-pi,rockpi_21,140531683686816
deploy,python-pi-downtown,rockpi_21,140531681871520
startup,python-pi-downtown,rockpi_21,140531681871520
setup,python-pi-downtown,rockpi_21,140531681871520
finish,python-pi-downtown,rockpi_21,140531681871520
deploy,python-pi-suburb,rockpi_19,140531681872048
startup,python-pi,rockpi_21,140531683686816
setup,python-pi,rockpi_21,140531683686816
finish,python-pi,rockpi_21,140531683686816
startup,python-pi-suburb,rockpi_19,140531681872048
setup,python-pi-suburb,rockpi_19,140531681872048
finish,python-pi-suburb,rockpi_19,140531681872048
startup,speech-inference,rockpi_5,140531683685952
setup,speech-inference,rockpi_5,140531683685952
finish,speech-inference-downtown,rockpi_5,140531683686432
startup,resnet50-inference-downtown,nx_13,140531683673280
setup,resnet50-inference-downtown,nx_13,140531683673280
finish,speech-inference,rockpi_5,140531683685952
finish,resnet50-inference-downtown,nx_13,140531683673280
teardown,speech-inference,rockpi_5,140531683685952
teardown,speech-inference-downtown,rockpi_5,140531683686432
deploy,speech-inference,rockpi_5,140531676167232
startup,speech-inference,rockpi_5,140531676167232
setup,speech-inference,rockpi_5,140531676167232
deploy,speech-inference-downtown,rockpi_5,140531676261120
startup,speech-inference-downtown,rockpi_5,140531676261120
setup,speech-inference-downtown,rockpi_5,140531676261120
deploy,speech-inference-suburb,rockpi_19,140531676262224
deploy,resnet50-preprocessing,nx_13,140531676262848
deploy,python-pi,rockpi_16,140531676261888
deploy,python-pi-downtown,rockpi_16,140531676264624
startup,python-pi-downtown,rockpi_16,140531676264624
