value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140531694823424,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140531694824288,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140531694823424,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140531694823424,nx_10,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140531695122464,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140531695123424,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140531695124384,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140531695207328,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140531695208288,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140531695209248,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140531695210208,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140531695211168,,
queue,python-pi,faas-workloads/python-pi,140531695212128,,
queue,python-pi-downtown,faas-workloads/python-pi,140531695213088,,
queue,python-pi-suburb,faas-workloads/python-pi,140531695214048,,
queue,fio,faas-workloads/fio,140531695215008,,
queue,fio-downtown,faas-workloads/fio,140531695215968,,
queue,fio-suburb,faas-workloads/fio,140531695216928,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140531694824288,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140531694824288,nano_3,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140531695122464,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140531695122464,nx_3,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140531695123424,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140531695123424,nano_17,True
start,speech-inference,faas-workloads/speech-inference-tflite,140531695124384,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140531695124384,rockpi_30,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,140531695207328,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,140531695207328,rockpi_30,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,140531695208288,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,140531695208288,rockpi_8,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140531695209248,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140531695209248,rockpi_8,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140531695210208,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140531695210208,nano_15,True
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140531695211168,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140531695211168,nano_26,True
start,python-pi,faas-workloads/python-pi,140531695212128,,
finish,python-pi,faas-workloads/python-pi,140531695212128,nx_10,True
start,python-pi-downtown,faas-workloads/python-pi,140531695213088,,
finish,python-pi-downtown,faas-workloads/python-pi,140531695213088,coral_1,True
start,python-pi-suburb,faas-workloads/python-pi,140531695214048,,
finish,python-pi-suburb,faas-workloads/python-pi,140531695214048,coral_3,True
start,fio,faas-workloads/fio,140531695215008,,
finish,fio,faas-workloads/fio,140531695215008,rpi3_3,True
start,fio-downtown,faas-workloads/fio,140531695215968,,
finish,fio-downtown,faas-workloads/fio,140531695215968,rpi3_3,True
start,fio-suburb,faas-workloads/fio,140531695216928,,
finish,fio-suburb,faas-workloads/fio,140531695216928,rpi3_4,True
queue,speech-inference,faas-workloads/speech-inference-tflite,140531684356784,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140531684533840,,
start,speech-inference,faas-workloads/speech-inference-tflite,140531684356784,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140531684356784,rpi3_5,True
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140531684534464,,
queue,python-pi,faas-workloads/python-pi,140531684536048,,
queue,python-pi-downtown,faas-workloads/python-pi,140531684536912,,
queue,python-pi-suburb,faas-workloads/python-pi,140531684537344,,
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,140531684533840,,
