deployment_name,timestamp,avg_response_time,avg_execution_time,avg_wait_time,wait_percentage,high_wait_count,sample_count
resnet50-inference,40,535.1887982915291,526.5996012325554,8.5891970589737,1.6048910377782186,3,105
resnet50-inference,40,535.1887982915291,526.5996012325554,8.5891970589737,1.6048910377782186,3,105
resnet50-inference-downtown,40,759.0743514052278,739.5690725815173,19.505278823710515,2.5696137391023144,2,26
resnet50-inference-downtown,40,759.0743514052278,739.5690725815173,19.505278823710515,2.5696137391023144,2,26
resnet50-inference-suburb,40,380.6495841438097,380.6495841438097,0.0,0.0,0,24
resnet50-inference-industrial,40,740.5007302437916,732.8543702027231,7.646360041068556,1.0325931803674495,1,16
resnet50-inference-industrial,40,740.5007302437916,732.8543702027231,7.646360041068556,1.0325931803674495,1,16
speech-inference,40,5209.671934321192,3796.1736337093143,1413.4983006118773,27.132194088840507,12,16
speech-inference,40,5209.671934321192,3796.1736337093143,1413.4983006118773,27.132194088840507,12,16
speech-inference-downtown,40,4925.564035076998,3818.7866424318627,1106.7773926451357,22.470064032531337,6,7
speech-inference-downtown,40,4925.564035076998,3818.7866424318627,1106.7773926451357,22.470064032531337,6,7
speech-inference-suburb,40,3754.251118240725,3754.251118240725,0.0,0.0,0,3
speech-inference-suburb,40,3754.251118240725,3754.251118240725,0.0,0.0,0,3
python-pi,40,14721.014648763574,1495.2417777148646,13225.772871048712,89.84280762304351,66,66
python-pi,40,14721.014648763574,1495.2417777148646,13225.772871048712,89.84280762304351,66,66
python-pi-downtown,40,16213.692435424087,1622.3964103355752,14591.296025088512,89.99366481881127,20,20
python-pi-downtown,40,16213.692435424087,1622.3964103355752,14591.296025088512,89.99366481881127,20,20
python-pi-suburb,40,14593.940563260923,1621.8755467091205,12972.065016551802,88.88665100643165,20,20
python-pi-suburb,40,14593.940563260923,1621.8755467091205,12972.065016551802,88.88665100643165,20,20
resnet50-inference,45,530.478079805575,513.8924642622741,16.585615543300882,3.1265411662965716,2,47
