value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139664775100448,nx_10
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139664775101648,nano_3
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139664775119296,nx_3
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139664775120496,nano_17
deploy,speech-inference,faas-workloads/speech-inference-tflite,139664775121936,rockpi_30
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139664775123136,rockpi_30
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139664775124336,rockpi_8
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139664775125248,rockpi_8
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139664775126112,nano_15
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139664775127312,nano_26
deploy,python-pi,faas-workloads/python-pi,139664775128464,nx_10
deploy,python-pi-downtown,faas-workloads/python-pi,139664775129280,coral_1
deploy,python-pi-suburb,faas-workloads/python-pi,139664775130096,coral_3
deploy,fio,faas-workloads/fio,139664775130912,rpi3_3
deploy,fio-downtown,faas-workloads/fio,139664775131728,rpi3_3
deploy,fio-suburb,faas-workloads/fio,139664775132544,rpi3_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139664775100448,nx_13
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139664775101648,nano_18
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139664775120496,nano_19
deploy,speech-inference,faas-workloads/speech-inference-tflite,139664775121936,rpi3_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139664775123136,rockpi_13
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139664775124336,rockpi_13
deploy,python-pi,faas-workloads/python-pi,139664775128464,nx_3
deploy,python-pi-downtown,faas-workloads/python-pi,139664775129280,rockpi_12
deploy,python-pi-suburb,faas-workloads/python-pi,139664775130096,rockpi_12
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139664775100448,nx_4
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139664775101648,nano_9
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139664775120496,nano_12
deploy,speech-inference,faas-workloads/speech-inference-tflite,139664775121936,rockpi_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139664775123136,rockpi_5
deploy,python-pi,faas-workloads/python-pi,139664775128464,rockpi_21
deploy,python-pi-downtown,faas-workloads/python-pi,139664775129280,rockpi_21
deploy,python-pi-suburb,faas-workloads/python-pi,139664775130096,rockpi_19
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139664775100448,nx_4
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139664775101648,nano_9
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139664775120496,nano_12
deploy,speech-inference,faas-workloads/speech-inference-tflite,139664775121936,rockpi_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139664775123136,rockpi_5
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139664775124336,rockpi_21
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139664775125248,rockpi_21
deploy,python-pi,faas-workloads/python-pi,139664775128464,rockpi_19
deploy,python-pi-downtown,faas-workloads/python-pi,139664775129280,rockpi_19
deploy,python-pi-suburb,faas-workloads/python-pi,139664775130096,nx_13
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139664775100448,nano_21
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139664775101648,nx_7
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139664775120496,nano_20
deploy,speech-inference,faas-workloads/speech-inference-tflite,139664775121936,rockpi_16
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139664775123136,rockpi_16
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139664775124336,rockpi_14
deploy,python-pi,faas-workloads/python-pi,139664775128464,rockpi_14
deploy,python-pi-downtown,faas-workloads/python-pi,139664775129280,nx_4
deploy,python-pi-suburb,faas-workloads/python-pi,139664775130096,rpi3_21
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139664775100448,nx_4
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139664775101648,nano_9
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139664775120496,nano_12
deploy,speech-inference,faas-workloads/speech-inference-tflite,139664775121936,rockpi_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139664775123136,rockpi_5
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139664775124336,rockpi_21
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139664775125248,rockpi_19
deploy,python-pi,faas-workloads/python-pi,139664775128464,rockpi_19
deploy,python-pi-downtown,faas-workloads/python-pi,139664775129280,nx_13
deploy,python-pi-suburb,faas-workloads/python-pi,139664775130096,rockpi_16
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139664775100448,nano_21
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139664775101648,nx_7
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139664775120496,nano_20
deploy,speech-inference,faas-workloads/speech-inference-tflite,139664775121936,rockpi_19
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139664775123136,rockpi_16
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139664775124336,rockpi_14
deploy,python-pi,faas-workloads/python-pi,139664775128464,rockpi_14
deploy,python-pi-downtown,faas-workloads/python-pi,139664775129280,nx_4
deploy,python-pi-suburb,faas-workloads/python-pi,139664775130096,rpi3_21
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139664775100448,nx_4
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139664775101648,nano_9
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139664775120496,nano_12
deploy,speech-inference,faas-workloads/speech-inference-tflite,139664775121936,rockpi_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139664775123136,rockpi_5
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139664775124336,rockpi_21
