value,name,function_id
deploy,resnet50-inference,139664775100112
deploy,resnet50-inference-downtown,139664775101168
deploy,resnet50-inference-suburb,139664775102368
deploy,resnet50-inference-industrial,139664775120016
deploy,speech-inference,139664775121216
deploy,speech-inference-downtown,139664775122416
deploy,speech-inference-suburb,139664775123616
deploy,resnet50-preprocessing,139664775124816
deploy,resnet50-training,139664775125632
deploy,resnet50-training-downtown,139664775126832
deploy,python-pi,139664775128032
deploy,python-pi-downtown,139664775128848
deploy,python-pi-suburb,139664775129664
deploy,fio,139664775130480
deploy,fio-downtown,139664775131296
deploy,fio-suburb,139664775132112
