deployment_name,timestamp,avg_response_time,avg_execution_time,avg_wait_time,wait_percentage,high_wait_count,sample_count
resnet50-inference,40,1883.003244715292,525.5323136002542,1357.4709311150377,72.09073775761262,102,246
resnet50-inference,40,1883.003244715292,525.5323136002542,1357.4709311150377,72.09073775761262,102,246
resnet50-inference-downtown,40,4010.370867614403,722.3193208400305,3288.051546774372,81.98871514170689,50,50
resnet50-inference-downtown,40,4010.370867614403,722.3193208400305,3288.051546774372,81.98871514170689,50,50
resnet50-inference-suburb,40,385.7076745359186,385.7076745359186,0.0,0.0,0,72
resnet50-inference-suburb,40,385.7076745359186,385.7076745359186,0.0,0.0,0,72
resnet50-inference-industrial,40,3983.6891927108945,723.3955058728033,3260.2936868380907,81.84106563342272,52,52
resnet50-inference-industrial,40,3983.6891927108945,723.3955058728033,3260.2936868380907,81.84106563342272,52,52
speech-inference,40,5613.969383509398,3808.671202558638,1805.2981809507594,32.157250202569394,16,42
speech-inference,40,5613.969383509398,3808.671202558638,1805.2981809507594,32.157250202569394,16,42
speech-inference-downtown,40,6488.09230737512,3809.0037476495204,2679.0885597255997,41.292392783626646,6,16
speech-inference-downtown,40,6488.09230737512,3809.0037476495204,2679.0885597255997,41.292392783626646,6,16
speech-inference-suburb,40,4094.000863890467,3796.7002301152097,297.3006337752578,7.261860553022393,5,16
speech-inference-suburb,40,4094.000863890467,3796.7002301152097,297.3006337752578,7.261860553022393,5,16
resnet50-preprocessing,40,7305.514989436948,6922.682442923835,382.8325465131124,5.240322510687479,1,7
resnet50-preprocessing,40,7305.514989436948,6922.682442923835,382.8325465131124,5.240322510687479,1,7
python-pi,40,1638.674029967401,1163.660986028491,475.01304393891064,28.987647039744708,48,344
python-pi,40,1638.674029967401,1163.660986028491,475.01304393891064,28.987647039744708,48,344
python-pi-downtown,40,1878.5557805838775,1236.2272923967073,642.3284881871699,34.19267582182343,22,116
python-pi-downtown,40,1878.5557805838775,1236.2272923967073,642.3284881871699,34.19267582182343,22,116
python-pi-suburb,40,1901.4007703095726,1147.6530366652005,753.7477336443719,39.641707598638035,20,116
python-pi-suburb,40,1901.4007703095726,1147.6530366652005,753.7477336443719,39.641707598638035,20,116
resnet50-inference,45,2023.533985795796,519.6305380442826,1503.9034477515129,74.32064192191326,46,118
resnet50-inference,45,2023.533985795796,519.6305380442826,1503.9034477515129,74.32064192191326,46,118
resnet50-inference-downtown,45,4603.723194997036,726.7605337353347,3876.9626612617026,84.21363529142847,22,22
resnet50-inference-downtown,45,4603.723194997036,726.7605337353347,3876.9626612617026,84.21363529142847,22,22
resnet50-inference-suburb,45,387.94128192950615,387.94128192950615,0.0,0.0,0,36
resnet50-inference-suburb,45,387.94128192950615,387.94128192950615,0.0,0.0,0,36
resnet50-inference-industrial,45,4563.901732837325,723.592220882279,3840.3095119550453,84.14531549450275,24,24
resnet50-inference-industrial,45,4563.901732837325,723.592220882279,3840.3095119550453,84.14531549450275,24,24
speech-inference,45,4966.568749683401,3810.289921310334,1156.2788283730667,23.281240765000486,2,7
speech-inference,45,4966.568749683401,3810.289921310334,1156.2788283730667,23.281240765000486,2,7
speech-inference-downtown,45,6293.023593540739,3811.080373017925,2481.943220522814,39.43959820952079,1,3
speech-inference-downtown,45,6293.023593540739,3811.080373017925,2481.943220522814,39.43959820952079,1,3
speech-inference-suburb,45,4010.3752515628034,3794.334539215128,216.04071234767494,5.387044822388779,1,3
speech-inference-suburb,45,4010.3752515628034,3794.334539215128,216.04071234767494,5.387044822388779,1,3
python-pi,45,1480.384301198116,1145.8431496213746,334.54115157674136,22.59826393092577,17,154
python-pi,45,1480.384301198116,1145.8431496213746,334.54115157674136,22.59826393092577,17,154
python-pi-downtown,45,1675.5757864861366,1220.184102588508,455.3916838976281,27.178220619470377,9,52
python-pi-downtown,45,1675.5757864861366,1220.184102588508,455.3916838976281,27.178220619470377,9,52
python-pi-suburb,45,1683.4501674736016,1148.085364009342,535.3648034642597,31.801642472595187,8,52
python-pi-suburb,45,1683.4501674736016,1148.085364009342,535.3648034642597,31.801642472595187,8,52
resnet50-inference,75,1519.8599323148935,580.4042402373606,939.4556920775326,61.81199149362736,102,378
resnet50-inference,75,1519.8599323148935,580.4042402373606,939.4556920775326,61.81199149362736,102,378
resnet50-inference-downtown,75,2514.95555147902,657.2489485384506,1857.7066029405698,73.8663791432843,51,104
resnet50-inference-downtown,75,2514.95555147902,657.2489485384506,1857.7066029405698,73.8663791432843,51,104
resnet50-inference-suburb,75,612.545436212653,612.545436212653,0.0,0.0,0,84
resnet50-inference-suburb,75,612.545436212653,612.545436212653,0.0,0.0,0,84
resnet50-inference-industrial,75,2094.3592883140445,552.3329559379666,1542.0263323760778,73.6275929817852,51,105
resnet50-inference-industrial,75,2094.3592883140445,552.3329559379666,1542.0263323760778,73.6275929817852,51,105
speech-inference,75,3889.5144640316043,3889.5144640316043,0.0,0.0,0,46
speech-inference,75,3889.5144640316043,3889.5144640316043,0.0,0.0,0,46
speech-inference-downtown,75,3801.5205445247607,3801.5205445247607,0.0,0.0,0,18
speech-inference-downtown,75,3801.5205445247607,3801.5205445247607,0.0,0.0,0,18
speech-inference-suburb,75,4084.5416280297068,4084.5416280297068,0.0,0.0,0,13
speech-inference-suburb,75,4084.5416280297068,4084.5416280297068,0.0,0.0,0,13
resnet50-preprocessing,75,7156.106045771887,7156.106045771887,0.0,0.0,0,7
resnet50-preprocessing,75,7156.106045771887,7156.106045771887,0.0,0.0,0,7
