t_fet_start,t_fet_end,t_wait_start,t_wait_end,function_name,function_image,node,replica_id,request_id
5.201191938109767,5.573221959207358,5.201191938109767,5.201191938109767,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140180552411088,7
5.201191938109767,5.606562999140893,5.201191938109767,5.201191938109767,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140180552710224,9
5.401623592886287,5.774625827261429,5.401623592886287,5.401623592886287,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140180552411088,21
5.401623592886287,5.788649879838663,5.401623592886287,5.401623592886287,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140180552710224,23
5.201191938109767,5.878012935609423,5.201191938109767,5.201191938109767,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140180552411952,8
5.201191938109767,5.948688497029954,5.201191938109767,5.201191938109767,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140180552711184,10
5.601303873843406,5.969722937315348,5.601303873843406,5.601303873843406,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140180552710224,39
5.601303873843406,6.035614667198176,5.601303873843406,5.601303873843406,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140180552411088,37
5.401623592886287,6.098059233086178,5.401623592886287,5.401623592886287,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140180552711184,24
5.401623592886287,6.140137402692524,5.401623592886287,5.401623592886287,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140180552411952,22
5.241156184640292,6.147384619754318,5.241156184640292,5.241156184640292,python-pi-downtown,faas-workloads/python-pi,rockpi_12,140180550489072,12
5.800241530978396,6.17560056764021,5.800241530978396,5.800241530978396,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140180552710224,55
5.800241530978396,6.177373378343263,5.800241530978396,5.800241530978396,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140180552411088,53
5.601303873843406,6.272823496312192,5.601303873843406,5.601303873843406,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140180552411952,38
5.601303873843406,6.314382023894572,5.601303873843406,5.601303873843406,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140180552711184,40
5.998445158689548,6.37390480459902,5.998445158689548,5.998445158689548,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140180552411088,67
5.998445158689548,6.376284185655374,5.998445158689548,5.998445158689548,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140180552710224,69
5.481223522044282,6.391753269170797,5.481223522044282,5.481223522044282,python-pi-downtown,faas-workloads/python-pi,rockpi_12,140180550489072,28
