value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140180552411088,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140180552411952,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140180552411088,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140180552411088,nx_10,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140180552710224,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140180552711184,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140180552712144,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140180552827856,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140180552828816,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140180552829776,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140180552830736,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140180552831696,,
queue,python-pi,faas-workloads/python-pi,140180552832656,,
queue,python-pi-downtown,faas-workloads/python-pi,140180552833616,,
queue,python-pi-suburb,faas-workloads/python-pi,140180552834576,,
queue,fio,faas-workloads/fio,140180552835536,,
queue,fio-downtown,faas-workloads/fio,140180552836496,,
queue,fio-suburb,faas-workloads/fio,140180552837456,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140180552411952,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140180552411952,nano_3,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140180552710224,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140180552710224,nx_3,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140180552711184,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140180552711184,nano_17,True
start,speech-inference,faas-workloads/speech-inference-tflite,140180552712144,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140180552712144,rockpi_30,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,140180552827856,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,140180552827856,rockpi_30,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,140180552828816,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,140180552828816,rockpi_8,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140180552829776,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140180552829776,rockpi_8,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140180552830736,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140180552830736,nano_15,True
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140180552831696,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140180552831696,nano_26,True
start,python-pi,faas-workloads/python-pi,140180552832656,,
finish,python-pi,faas-workloads/python-pi,140180552832656,nx_10,True
start,python-pi-downtown,faas-workloads/python-pi,140180552833616,,
finish,python-pi-downtown,faas-workloads/python-pi,140180552833616,coral_1,True
start,python-pi-suburb,faas-workloads/python-pi,140180552834576,,
finish,python-pi-suburb,faas-workloads/python-pi,140180552834576,coral_3,True
start,fio,faas-workloads/fio,140180552835536,,
finish,fio,faas-workloads/fio,140180552835536,rpi3_3,True
start,fio-downtown,faas-workloads/fio,140180552836496,,
finish,fio-downtown,faas-workloads/fio,140180552836496,rpi3_3,True
start,fio-suburb,faas-workloads/fio,140180552837456,,
finish,fio-suburb,faas-workloads/fio,140180552837456,rpi3_4,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140180551111040,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140180551115792,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140180551111040,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140180551111040,nx_13,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140180550269152,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140180550269872,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140180550270640,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140180550484464,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140180550485232,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140180550486000,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140180550486768,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140180550487536,,
queue,python-pi,faas-workloads/python-pi,140180550488304,,
queue,python-pi-downtown,faas-workloads/python-pi,140180550489072,,
queue,python-pi-suburb,faas-workloads/python-pi,140180550489840,,
queue,fio,faas-workloads/fio,140180550490608,,
queue,fio-downtown,faas-workloads/fio,140180550491376,,
queue,fio-suburb,faas-workloads/fio,140180550492144,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140180551115792,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140180551115792,nano_18,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140180550269152,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140180550269152,nano_19,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140180550269872,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140180550269872,nx_4,True
start,speech-inference,faas-workloads/speech-inference-tflite,140180550270640,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140180550270640,rpi3_5,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,140180550484464,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,140180550484464,rockpi_13,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,140180550485232,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,140180550485232,rockpi_13,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140180550486000,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140180550486000,nx_3,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140180550486768,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140180550486768,nano_9,True
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140180550487536,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140180550487536,nano_12,True
start,python-pi,faas-workloads/python-pi,140180550488304,,
finish,python-pi,faas-workloads/python-pi,140180550488304,rockpi_12,True
start,python-pi-downtown,faas-workloads/python-pi,140180550489072,,
finish,python-pi-downtown,faas-workloads/python-pi,140180550489072,rockpi_12,True
start,python-pi-suburb,faas-workloads/python-pi,140180550489840,,
finish,python-pi-suburb,faas-workloads/python-pi,140180550489840,rockpi_5,True
start,fio,faas-workloads/fio,140180550490608,,
finish,fio,faas-workloads/fio,140180550490608,rpi3_4,True
start,fio-downtown,faas-workloads/fio,140180550491376,,
finish,fio-downtown,faas-workloads/fio,140180550491376,rpi3_21,True
start,fio-suburb,faas-workloads/fio,140180550492144,,
finish,fio-suburb,faas-workloads/fio,140180550492144,rpi3_21,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140180547995632,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140180548007920,,
