value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nano_2
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,rockpi_25
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139735068250928,rockpi_25
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139735068251792,nano_7
deploy,python-pi,faas-workloads/python-pi,139735068252944,rpi3_18
deploy,fio,faas-workloads/fio,139735068253760,rpi3_19
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nx_9
deploy,python-pi,faas-workloads/python-pi,139735068252944,rpi3_20
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nano_18
deploy,python-pi,faas-workloads/python-pi,139735068252944,rpi3_24
deploy,fio,faas-workloads/fio,139735068253760,rpi3_19
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nx_2
deploy,python-pi,faas-workloads/python-pi,139735068252944,rpi3_25
deploy,fio,faas-workloads/fio,139735068253760,rpi3_26
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nx_5
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_2
deploy,fio,faas-workloads/fio,139735068253760,rpi3_26
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nano_5
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_2
deploy,fio,faas-workloads/fio,139735068253760,rpi3_3
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nx_10
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_9
deploy,fio,faas-workloads/fio,139735068253760,rpi3_3
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nano_12
deploy,python-pi,faas-workloads/python-pi,139735068252944,coral_1
deploy,fio,faas-workloads/fio,139735068253760,rpi3_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nano_15
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,rockpi_23
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_23
deploy,fio,faas-workloads/fio,139735068253760,rpi3_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nx_13
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_13
deploy,fio,faas-workloads/fio,139735068253760,rpi3_5
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nano_3
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_13
deploy,fio,faas-workloads/fio,139735068253760,rpi3_5
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nx_4
deploy,python-pi,faas-workloads/python-pi,139735068252944,rpi3_21
deploy,fio,faas-workloads/fio,139735068253760,rpi3_22
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nano_13
deploy,python-pi,faas-workloads/python-pi,139735068252944,rpi3_23
deploy,fio,faas-workloads/fio,139735068253760,rpi3_22
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nano_14
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_6
deploy,fio,faas-workloads/fio,139735068253760,rpi3_27
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_6
deploy,fio,faas-workloads/fio,139735068253760,rpi3_27
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nx_6
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,nx_2
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_5
deploy,fio,faas-workloads/fio,139735068253760,rpi3_28
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nano_6
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,coral_2
deploy,python-pi,faas-workloads/python-pi,139735068252944,coral_3
deploy,fio,faas-workloads/fio,139735068253760,rpi3_28
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nano_8
deploy,python-pi,faas-workloads/python-pi,139735068252944,rpi3_29
deploy,fio,faas-workloads/fio,139735068253760,rpi3_0
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nx_7
deploy,python-pi,faas-workloads/python-pi,139735068252944,coral_2
deploy,fio,faas-workloads/fio,139735068253760,rpi3_0
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nx_11
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_2
deploy,fio,faas-workloads/fio,139735068253760,rpi3_1
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nano_4
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_12
deploy,fio,faas-workloads/fio,139735068253760,rpi3_1
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nano_9
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_12
deploy,fio,faas-workloads/fio,139735068253760,rpi3_2
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nano_10
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,nx_10
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139735068250928,rockpi_26
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_26
deploy,fio,faas-workloads/fio,139735068253760,rpi3_2
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nano_11
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,nx_13
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_0
deploy,fio,faas-workloads/fio,139735068253760,rpi3_9
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nx_12
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_0
deploy,fio,faas-workloads/fio,139735068253760,rpi3_9
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nano_17
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_7
deploy,fio,faas-workloads/fio,139735068253760,rpi3_10
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nx_0
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_13
deploy,fio,faas-workloads/fio,139735068253760,rpi3_10
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nano_0
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_7
deploy,fio,faas-workloads/fio,139735068253760,rpi3_11
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nano_1
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_10
deploy,fio,faas-workloads/fio,139735068253760,rpi3_11
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nx_3
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,rockpi_10
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139735068250928,rockpi_15
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_15
deploy,fio,faas-workloads/fio,139735068253760,rpi3_15
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nx_8
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,rockpi_3
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_3
deploy,fio,faas-workloads/fio,139735068253760,rpi3_15
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nx_14
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_15
deploy,fio,faas-workloads/fio,139735068253760,rpi3_16
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_4
deploy,fio,faas-workloads/fio,139735068253760,rpi3_16
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nano_16
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_4
deploy,fio,faas-workloads/fio,139735068253760,rpi3_17
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068248576,nx_1
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_4
deploy,fio,faas-workloads/fio,139735068253760,rpi3_17
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_3
deploy,fio,faas-workloads/fio,139735068253760,rpi3_6
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,coral_0
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,rockpi_5
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139735068250928,rockpi_5
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_14
deploy,fio,faas-workloads/fio,139735068253760,rpi3_6
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rpi3_7
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,rockpi_5
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_14
deploy,fio,faas-workloads/fio,139735068253760,rpi3_7
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rpi3_8
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_17
deploy,fio,faas-workloads/fio,139735068253760,rpi3_8
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rpi3_12
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_5
deploy,fio,faas-workloads/fio,139735068253760,rpi3_12
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rpi3_13
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_5
deploy,fio,faas-workloads/fio,139735068253760,rpi3_13
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_17
deploy,fio,faas-workloads/fio,139735068253760,rpi3_14
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rpi3_18
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_10
deploy,fio,faas-workloads/fio,139735068253760,rpi3_14
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rpi3_20
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,rockpi_16
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_16
deploy,fio,faas-workloads/fio,139735068253760,rockpi_25
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rpi3_24
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,nx_6
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_22
deploy,fio,faas-workloads/fio,139735068253760,rpi3_19
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rpi3_25
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_22
deploy,fio,faas-workloads/fio,139735068253760,rpi3_26
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,coral_1
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_21
deploy,fio,faas-workloads/fio,139735068253760,rockpi_2
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rpi3_21
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_21
deploy,fio,faas-workloads/fio,139735068253760,rockpi_23
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rpi3_23
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_29
deploy,fio,faas-workloads/fio,139735068253760,rockpi_13
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,coral_2
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_29
deploy,fio,faas-workloads/fio,139735068253760,rpi3_3
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,coral_3
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,rockpi_1
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139735068250928,rockpi_1
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_7
deploy,fio,faas-workloads/fio,139735068253760,rpi3_4
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rpi3_29
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,nx_11
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_27
deploy,fio,faas-workloads/fio,139735068253760,rpi3_5
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,coral_0
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_1
deploy,fio,faas-workloads/fio,139735068253760,rpi3_22
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,nx_11
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_1
deploy,fio,faas-workloads/fio,139735068253760,rockpi_6
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rockpi_27
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_12
deploy,fio,faas-workloads/fio,139735068253760,rpi3_27
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rockpi_18
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_6
deploy,fio,faas-workloads/fio,139735068253760,rpi3_28
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_18
deploy,fio,faas-workloads/fio,139735068253760,rockpi_12
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rockpi_19
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,rockpi_19
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139735068250928,rockpi_24
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_24
deploy,fio,faas-workloads/fio,139735068253760,rpi3_0
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rockpi_28
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,rockpi_24
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_28
deploy,fio,faas-workloads/fio,139735068253760,rpi3_1
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,nx_0
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_24
deploy,fio,faas-workloads/fio,139735068253760,rpi3_2
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,nx_3
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_19
deploy,fio,faas-workloads/fio,139735068253760,rockpi_26
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,nx_8
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_16
deploy,fio,faas-workloads/fio,139735068253760,rockpi_0
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,nx_14
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_9
deploy,fio,faas-workloads/fio,139735068253760,rockpi_7
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_9
deploy,fio,faas-workloads/fio,139735068253760,rockpi_10
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rockpi_20
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,rockpi_20
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139735068250928,rockpi_11
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_11
deploy,fio,faas-workloads/fio,139735068253760,rockpi_15
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rockpi_8
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,rockpi_8
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_1
deploy,fio,faas-workloads/fio,139735068253760,rockpi_3
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,nuc_0
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_11
deploy,fio,faas-workloads/fio,139735068253760,rockpi_4
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rockpi_8
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_20
deploy,fio,faas-workloads/fio,139735068253760,rockpi_5
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rockpi_25
deploy,python-pi,faas-workloads/python-pi,139735068252944,nuc_1
deploy,fio,faas-workloads/fio,139735068253760,rockpi_14
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rpi3_18
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_9
deploy,fio,faas-workloads/fio,139735068253760,rockpi_17
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rpi3_20
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_2
deploy,fio,faas-workloads/fio,139735068253760,rockpi_16
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,nano_2
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,nx_5
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139735068250928,nx_10
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_13
deploy,fio,faas-workloads/fio,139735068253760,rockpi_22
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,nano_7
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,nx_10
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_4
deploy,fio,faas-workloads/fio,139735068253760,rockpi_21
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rpi3_24
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_6
deploy,fio,faas-workloads/fio,139735068253760,rockpi_29
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rpi3_25
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_10
deploy,fio,faas-workloads/fio,139735068253760,rockpi_1
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rockpi_2
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_7
deploy,fio,faas-workloads/fio,139735068253760,rpi3_9
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,coral_1
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_5
deploy,fio,faas-workloads/fio,139735068253760,rpi3_10
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rockpi_23
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_10
deploy,fio,faas-workloads/fio,139735068253760,rpi3_11
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rockpi_13
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,nx_11
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139735068250928,rockpi_27
deploy,python-pi,faas-workloads/python-pi,139735068252944,nx_12
deploy,fio,faas-workloads/fio,139735068253760,rpi3_15
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,nano_18
deploy,speech-inference,faas-workloads/speech-inference-tflite,139735068250016,rockpi_18
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_19
deploy,fio,faas-workloads/fio,139735068253760,rpi3_16
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rpi3_21
deploy,python-pi,faas-workloads/python-pi,139735068252944,rockpi_24
deploy,fio,faas-workloads/fio,139735068253760,rpi3_17
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139735068248816,rpi3_23
