value,function_name,node_name,replica_id
deploy,resnet50-inference,nano_2,139735068113312
deploy,speech-inference,rockpi_25,139735068114176
deploy,resnet50-preprocessing,rockpi_25,139735068363360
deploy,resnet50-training,nano_7,139735068364320
deploy,python-pi,rpi3_18,139735068365280
deploy,fio,rpi3_19,139735068366240
startup,fio,rpi3_19,139735068366240
setup,fio,rpi3_19,139735068366240
finish,fio,rpi3_19,139735068366240
startup,python-pi,rpi3_18,139735068365280
setup,python-pi,rpi3_18,139735068365280
finish,python-pi,rpi3_18,139735068365280
startup,speech-inference,rockpi_25,139735068114176
setup,speech-inference,rockpi_25,139735068114176
startup,resnet50-inference,nano_2,139735068113312
setup,resnet50-inference,nano_2,139735068113312
startup,resnet50-training,nano_7,139735068364320
setup,resnet50-training,nano_7,139735068364320
finish,resnet50-training,nano_7,139735068364320
finish,speech-inference,rockpi_25,139735068114176
finish,resnet50-inference,nano_2,139735068113312
startup,resnet50-preprocessing,rockpi_25,139735068363360
setup,resnet50-preprocessing,rockpi_25,139735068363360
finish,resnet50-preprocessing,rockpi_25,139735068363360
deploy,resnet50-inference,nx_9,139735066239440
deploy,python-pi,rpi3_20,139735066544928
startup,python-pi,rpi3_20,139735066544928
setup,python-pi,rpi3_20,139735066544928
finish,python-pi,rpi3_20,139735066544928
startup,resnet50-inference,nx_9,139735066239440
setup,resnet50-inference,nx_9,139735066239440
finish,resnet50-inference,nx_9,139735066239440
deploy,resnet50-inference,nano_18,139735068250880
deploy,python-pi,rpi3_24,139735063914880
deploy,fio,rpi3_19,139735063915504
startup,fio,rpi3_19,139735063915504
setup,fio,rpi3_19,139735063915504
finish,fio,rpi3_19,139735063915504
startup,python-pi,rpi3_24,139735063914880
setup,python-pi,rpi3_24,139735063914880
finish,python-pi,rpi3_24,139735063914880
startup,resnet50-inference,nano_18,139735068250880
setup,resnet50-inference,nano_18,139735068250880
finish,resnet50-inference,nano_18,139735068250880
deploy,resnet50-inference,nx_2,139735063400016
deploy,python-pi,rpi3_25,139735063410096
deploy,fio,rpi3_26,139735063411296
startup,fio,rpi3_26,139735063411296
setup,fio,rpi3_26,139735063411296
finish,fio,rpi3_26,139735063411296
startup,python-pi,rpi3_25,139735063410096
setup,python-pi,rpi3_25,139735063410096
finish,python-pi,rpi3_25,139735063410096
startup,resnet50-inference,nx_2,139735063400016
setup,resnet50-inference,nx_2,139735063400016
finish,resnet50-inference,nx_2,139735063400016
deploy,resnet50-inference,nx_5,139735060913488
deploy,python-pi,rockpi_2,139735061071088
deploy,fio,rpi3_26,139735061072288
startup,fio,rpi3_26,139735061072288
setup,fio,rpi3_26,139735061072288
finish,fio,rpi3_26,139735061072288
startup,python-pi,rockpi_2,139735061071088
setup,python-pi,rockpi_2,139735061071088
finish,python-pi,rockpi_2,139735061071088
startup,resnet50-inference,nx_5,139735060913488
setup,resnet50-inference,nx_5,139735060913488
finish,resnet50-inference,nx_5,139735060913488
deploy,resnet50-inference,nano_5,139735060377808
deploy,python-pi,rockpi_2,139735058471024
startup,python-pi,rockpi_2,139735058471024
setup,python-pi,rockpi_2,139735058471024
finish,python-pi,rockpi_2,139735058471024
deploy,fio,rpi3_3,139735058472224
startup,fio,rpi3_3,139735058472224
setup,fio,rpi3_3,139735058472224
finish,fio,rpi3_3,139735058472224
startup,resnet50-inference,nano_5,139735060377808
setup,resnet50-inference,nano_5,139735060377808
finish,resnet50-inference,nano_5,139735060377808
deploy,resnet50-inference,nx_10,139735060773760
deploy,python-pi,nx_9,139735057752192
deploy,fio,rpi3_3,139735057753440
startup,fio,rpi3_3,139735057753440
setup,fio,rpi3_3,139735057753440
finish,fio,rpi3_3,139735057753440
startup,python-pi,nx_9,139735057752192
setup,python-pi,nx_9,139735057752192
finish,python-pi,nx_9,139735057752192
startup,resnet50-inference,nx_10,139735060773760
setup,resnet50-inference,nx_10,139735060773760
finish,resnet50-inference,nx_10,139735060773760
deploy,resnet50-inference,nano_12,139735055307136
deploy,python-pi,coral_1,139735055317216
deploy,fio,rpi3_4,139735055318416
startup,fio,rpi3_4,139735055318416
setup,fio,rpi3_4,139735055318416
finish,fio,rpi3_4,139735055318416
startup,python-pi,coral_1,139735055317216
setup,python-pi,coral_1,139735055317216
finish,python-pi,coral_1,139735055317216
startup,resnet50-inference,nano_12,139735055307136
setup,resnet50-inference,nano_12,139735055307136
finish,resnet50-inference,nano_12,139735055307136
deploy,resnet50-inference,nano_15,139735054821856
deploy,speech-inference,rockpi_23,139735055011552
deploy,python-pi,rockpi_23,139735055012032
deploy,fio,rpi3_4,139735055013280
startup,fio,rpi3_4,139735055013280
setup,fio,rpi3_4,139735055013280
finish,fio,rpi3_4,139735055013280
startup,speech-inference,rockpi_23,139735055011552
setup,speech-inference,rockpi_23,139735055011552
startup,resnet50-inference,nano_15,139735054821856
setup,resnet50-inference,nano_15,139735054821856
startup,python-pi,rockpi_23,139735055012032
setup,python-pi,rockpi_23,139735055012032
finish,python-pi,rockpi_23,139735055012032
finish,speech-inference,rockpi_23,139735055011552
finish,resnet50-inference,nano_15,139735054821856
deploy,resnet50-inference,nx_13,139735052234816
deploy,python-pi,rockpi_13,139735052441760
deploy,fio,rpi3_5,139735052442384
startup,fio,rpi3_5,139735052442384
setup,fio,rpi3_5,139735052442384
finish,fio,rpi3_5,139735052442384
startup,python-pi,rockpi_13,139735052441760
setup,python-pi,rockpi_13,139735052441760
finish,python-pi,rockpi_13,139735052441760
startup,resnet50-inference,nx_13,139735052234816
setup,resnet50-inference,nx_13,139735052234816
finish,resnet50-inference,nx_13,139735052234816
deploy,resnet50-inference,nano_3,139735051836896
deploy,python-pi,rockpi_13,139735052011216
startup,python-pi,rockpi_13,139735052011216
setup,python-pi,rockpi_13,139735052011216
finish,python-pi,rockpi_13,139735052011216
deploy,fio,rpi3_5,139735052012416
