value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068113312,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139735068114176,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068113312,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068113312,nano_2,True
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139735068363360,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,139735068364320,,
queue,python-pi,faas-workloads/python-pi,139735068365280,,
queue,fio,faas-workloads/fio,139735068366240,,
start,speech-inference,faas-workloads/speech-inference-tflite,139735068114176,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139735068114176,rockpi_25,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139735068363360,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139735068363360,rockpi_25,True
start,resnet50-training,faas-workloads/resnet-training-gpu,139735068364320,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139735068364320,nano_7,True
start,python-pi,faas-workloads/python-pi,139735068365280,,
finish,python-pi,faas-workloads/python-pi,139735068365280,rpi3_18,True
start,fio,faas-workloads/fio,139735068366240,,
finish,fio,faas-workloads/fio,139735068366240,rpi3_19,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139735066239440,,
queue,python-pi,faas-workloads/python-pi,139735066544928,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139735066239440,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139735066239440,nx_9,True
start,python-pi,faas-workloads/python-pi,139735066544928,,
finish,python-pi,faas-workloads/python-pi,139735066544928,rpi3_20,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068250880,,
queue,python-pi,faas-workloads/python-pi,139735063914880,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068250880,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139735068250880,nano_18,True
queue,fio,faas-workloads/fio,139735063915504,,
start,python-pi,faas-workloads/python-pi,139735063914880,,
finish,python-pi,faas-workloads/python-pi,139735063914880,rpi3_24,True
start,fio,faas-workloads/fio,139735063915504,,
finish,fio,faas-workloads/fio,139735063915504,rpi3_19,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139735063400016,,
queue,python-pi,faas-workloads/python-pi,139735063410096,,
