timestamp,strategy,deployment,current_replicas,current_load_rps,avg_response_time_ms,evaluation_type
5,StandardFirstFitBinPacker,resnet50-inference,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,resnet50-inference-downtown,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,resnet50-inference-suburb,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,resnet50-inference-industrial,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,speech-inference,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,speech-inference-downtown,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,speech-inference-suburb,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,resnet50-preprocessing,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,resnet50-training,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,python-pi,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,python-pi-downtown,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,python-pi-suburb,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,fio,1,0.0,0.0,scaling_check
5,StandardFirstFitBinPacker,fio-downtown,1,0.0,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-inference,1,5.0,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-inference-downtown,1,4.6,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-inference-suburb,1,5.2,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-inference-industrial,1,5.8,0.0,scaling_check
10,StandardFirstFitBinPacker,speech-inference,1,1.6,0.0,scaling_check
10,StandardFirstFitBinPacker,speech-inference-downtown,1,1.2,0.0,scaling_check
10,StandardFirstFitBinPacker,speech-inference-suburb,1,1.2,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-preprocessing,1,5.8,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-training,1,13.6,0.0,scaling_check
10,StandardFirstFitBinPacker,python-pi,1,8.2,0.0,scaling_check
10,StandardFirstFitBinPacker,python-pi-downtown,1,9.0,0.0,scaling_check
10,StandardFirstFitBinPacker,python-pi-suburb,1,9.2,0.0,scaling_check
10,StandardFirstFitBinPacker,fio,1,14.6,0.0,scaling_check
10,StandardFirstFitBinPacker,fio-downtown,1,1.4,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-inference,1,5.6,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-inference-downtown,1,4.4,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-inference-suburb,1,5.8,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-inference-industrial,1,3.6,0.0,scaling_check
15,StandardFirstFitBinPacker,speech-inference,1,2.4,0.0,scaling_check
15,StandardFirstFitBinPacker,speech-inference-downtown,1,1.4,0.0,scaling_check
15,StandardFirstFitBinPacker,speech-inference-suburb,1,1.2,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-preprocessing,1,5.6,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-training,1,13.8,0.0,scaling_check
15,StandardFirstFitBinPacker,python-pi,1,10.2,0.0,scaling_check
15,StandardFirstFitBinPacker,python-pi-downtown,1,7.2,0.0,scaling_check
15,StandardFirstFitBinPacker,python-pi-suburb,1,8.0,0.0,scaling_check
15,StandardFirstFitBinPacker,fio,1,12.8,0.0,scaling_check
15,StandardFirstFitBinPacker,fio-downtown,1,2.0,0.0,scaling_check
20,StandardFirstFitBinPacker,resnet50-inference,1,4.0,0.0,scaling_check
20,StandardFirstFitBinPacker,resnet50-inference-downtown,1,5.8,0.0,scaling_check
20,StandardFirstFitBinPacker,resnet50-inference-suburb,1,4.8,0.0,scaling_check
20,StandardFirstFitBinPacker,resnet50-inference-industrial,1,4.0,0.0,scaling_check
20,StandardFirstFitBinPacker,speech-inference,1,0.8,0.0,scaling_check
