deployment_name,timestamp,avg_response_time,avg_execution_time,avg_wait_time,wait_percentage,high_wait_count,sample_count
resnet50-inference,5,1211.2349956793685,725.648353542961,485.58664213640753,40.0902090732647,8,12
resnet50-inference,5,1211.2349956793685,725.648353542961,485.58664213640753,40.0902090732647,8,12
python-pi,5,1304.9207673129483,914.1988381665418,390.7219291464065,29.942195643875664,4,8
python-pi,5,1304.9207673129483,914.1988381665418,390.7219291464065,29.942195643875664,4,8
resnet50-inference,10,1211.2349956793685,725.648353542961,485.58664213640753,40.0902090732647,8,12
resnet50-inference,10,1211.2349956793685,725.648353542961,485.58664213640753,40.0902090732647,8,12
python-pi,10,1304.9207673129483,914.1988381665418,390.7219291464065,29.942195643875664,4,8
python-pi,10,1304.9207673129483,914.1988381665418,390.7219291464065,29.942195643875664,4,8
resnet50-inference,40,4133.782576412824,466.96613906515046,3666.816437347673,88.70365989421799,51,245
resnet50-inference,40,4133.782576412824,466.96613906515046,3666.816437347673,88.70365989421799,51,245
speech-inference,40,33146.23743421117,7243.8281181830025,25902.40931602817,78.14585099572587,4,4
speech-inference,40,33146.23743421117,7243.8281181830025,25902.40931602817,78.14585099572587,4,4
python-pi,40,12163.555364649998,1241.6021765806393,10921.95318806936,89.79244029102699,193,201
python-pi,40,12163.555364649998,1241.6021765806393,10921.95318806936,89.79244029102699,193,201
resnet50-inference,45,4713.736274321181,481.1932741022064,4232.543000218974,89.79168018534294,25,106
resnet50-inference,45,4713.736274321181,481.1932741022064,4232.543000218974,89.79168018534294,25,106
python-pi,45,12180.00169890323,1232.2339801053643,10947.767718797866,89.88313786346744,87,91
python-pi,45,12180.00169890323,1232.2339801053643,10947.767718797866,89.88313786346744,87,91
resnet50-inference,75,531.6598168079813,531.6598168079813,0.0,0.0,0,220
resnet50-inference,75,531.6598168079813,531.6598168079813,0.0,0.0,0,220
speech-inference,75,35896.22162644087,6851.215691096964,29045.005935343906,80.9138249635432,4,4
speech-inference,75,35896.22162644087,6851.215691096964,29045.005935343906,80.9138249635432,4,4
python-pi,75,13959.104974255843,1377.4172457831469,12581.687728472698,90.13248164317515,181,295
python-pi,75,13959.104974255843,1377.4172457831469,12581.687728472698,90.13248164317515,181,295
resnet50-inference,80,523.8148336399795,523.8148336399795,0.0,0.0,0,95
resnet50-inference,80,523.8148336399795,523.8148336399795,0.0,0.0,0,95
python-pi,80,13973.750998817943,1333.357639320005,12640.393359497939,90.45812653000047,74,130
python-pi,80,13973.750998817943,1333.357639320005,12640.393359497939,90.45812653000047,74,130
resnet50-inference,110,587.9215461489441,587.9215461489441,0.0,0.0,0,174
resnet50-inference,110,587.9215461489441,587.9215461489441,0.0,0.0,0,174
speech-inference,110,50617.21694886969,6725.967491659091,43891.24945721061,86.71209541517617,4,4
speech-inference,110,50617.21694886969,6725.967491659091,43891.24945721061,86.71209541517617,4,4
resnet50-preprocessing,110,94746.53354316989,7674.263249870066,87072.27029329982,91.90021738750642,2,2
resnet50-preprocessing,110,94746.53354316989,7674.263249870066,87072.27029329982,91.90021738750642,2,2
python-pi,110,8506.858909721506,1321.0803017371595,7185.778607984346,84.47041010369351,101,302
python-pi,110,8506.858909721506,1321.0803017371595,7185.778607984346,84.47041010369351,101,302
resnet50-inference,115,580.1377298506409,580.1377298506409,0.0,0.0,0,67
resnet50-inference,115,580.1377298506409,580.1377298506409,0.0,0.0,0,67
python-pi,115,7570.407733366245,1281.735948689543,6288.671784676702,83.06912924860906,38,131
python-pi,115,7570.407733366245,1281.735948689543,6288.671784676702,83.06912924860906,38,131
resnet50-inference,145,590.9120773801616,590.9120773801616,0.0,0.0,0,222
resnet50-inference,145,590.9120773801616,590.9120773801616,0.0,0.0,0,222
speech-inference,145,77228.76986559926,6732.561482108658,70496.2083834906,91.28231422846007,4,4
