value,name,function_id
deploy,resnet50-inference,139899311716144
deploy,resnet50-inference-downtown,139899311717200
deploy,resnet50-inference-suburb,139899311734848
deploy,resnet50-inference-industrial,139899311736048
deploy,speech-inference,139899311737248
deploy,speech-inference-downtown,139899311738448
deploy,speech-inference-suburb,139899311739648
deploy,resnet50-preprocessing,139899311740848
deploy,resnet50-training,139899311741664
deploy,resnet50-training-downtown,139899311742864
deploy,python-pi,139899311744064
deploy,python-pi-downtown,139899311744880
deploy,python-pi-suburb,139899311745696
deploy,fio,139899311746512
deploy,fio-downtown,139899311747328
deploy,fio-suburb,139899311748144
