value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139899311597664,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139899311598528,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139899311597664,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139899311597664,nx_10,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139899311880320,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139899311881280,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139899311882144,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,139899311997952,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,139899311998912,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139899311999872,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,139899312000832,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139899312001792,,
queue,python-pi,faas-workloads/python-pi,139899312002752,,
queue,python-pi-downtown,faas-workloads/python-pi,139899312003712,,
queue,python-pi-suburb,faas-workloads/python-pi,139899312004672,,
queue,fio,faas-workloads/fio,139899312005632,,
queue,fio-downtown,faas-workloads/fio,139899312006592,,
queue,fio-suburb,faas-workloads/fio,139899312007552,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139899311598528,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139899311598528,nano_3,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139899311880320,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139899311880320,nx_3,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139899311881280,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139899311881280,nano_17,True
start,speech-inference,faas-workloads/speech-inference-tflite,139899311882144,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139899311882144,rockpi_30,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,139899311997952,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,139899311997952,rockpi_30,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,139899311998912,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,139899311998912,rockpi_8,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139899311999872,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139899311999872,rockpi_8,True
start,resnet50-training,faas-workloads/resnet-training-gpu,139899312000832,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139899312000832,nano_15,True
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139899312001792,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139899312001792,nano_26,True
start,python-pi,faas-workloads/python-pi,139899312002752,,
finish,python-pi,faas-workloads/python-pi,139899312002752,nx_10,True
start,python-pi-downtown,faas-workloads/python-pi,139899312003712,,
finish,python-pi-downtown,faas-workloads/python-pi,139899312003712,coral_1,True
start,python-pi-suburb,faas-workloads/python-pi,139899312004672,,
finish,python-pi-suburb,faas-workloads/python-pi,139899312004672,coral_3,True
start,fio,faas-workloads/fio,139899312005632,,
finish,fio,faas-workloads/fio,139899312005632,rpi3_3,True
start,fio-downtown,faas-workloads/fio,139899312006592,,
finish,fio-downtown,faas-workloads/fio,139899312006592,rpi3_3,True
start,fio-suburb,faas-workloads/fio,139899312007552,,
finish,fio-suburb,faas-workloads/fio,139899312007552,rpi3_4,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139899298238656,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139899298447616,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139899298238656,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139899298238656,nx_13,True
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139899298449920,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139899298449680,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,139899298448720,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,139899298450976,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139899298451840,,
queue,python-pi,faas-workloads/python-pi,139899298451120,,
queue,python-pi-downtown,faas-workloads/python-pi,139899298454096,,
queue,python-pi-suburb,faas-workloads/python-pi,139899298455584,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139899298447616,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139899298447616,nano_18,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139899298449920,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139899298449920,nano_19,True
start,speech-inference,faas-workloads/speech-inference-tflite,139899298449680,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139899298449680,rpi3_5,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,139899298448720,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,139899298448720,rockpi_13,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,139899298450976,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,139899298450976,rockpi_13,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139899298451840,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139899298451840,nx_3,True
start,python-pi,faas-workloads/python-pi,139899298451120,,
finish,python-pi,faas-workloads/python-pi,139899298451120,rockpi_12,True
start,python-pi-downtown,faas-workloads/python-pi,139899298454096,,
finish,python-pi-downtown,faas-workloads/python-pi,139899298454096,rockpi_12,True
start,python-pi-suburb,faas-workloads/python-pi,139899298455584,,
finish,python-pi-suburb,faas-workloads/python-pi,139899298455584,rockpi_5,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139899296045888,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139899296352912,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139899296045888,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139899296045888,nx_4,True
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139899296355216,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139899296354976,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,139899296356560,,
queue,python-pi,faas-workloads/python-pi,139899296356368,,
queue,python-pi-downtown,faas-workloads/python-pi,139899296357952,,
queue,python-pi-suburb,faas-workloads/python-pi,139899296358480,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139899296352912,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139899296352912,nano_9,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139899296355216,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139899296355216,nano_12,True
start,speech-inference,faas-workloads/speech-inference-tflite,139899296354976,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139899296354976,rockpi_5,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,139899296356560,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,139899296356560,rockpi_21,True
start,python-pi,faas-workloads/python-pi,139899296356368,,
finish,python-pi,faas-workloads/python-pi,139899296356368,rockpi_21,True
start,python-pi-downtown,faas-workloads/python-pi,139899296357952,,
finish,python-pi-downtown,faas-workloads/python-pi,139899296357952,rockpi_19,True
start,python-pi-suburb,faas-workloads/python-pi,139899296358480,,
finish,python-pi-suburb,faas-workloads/python-pi,139899296358480,rockpi_19,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139899284635552,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139899282108624,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139899284635552,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139899284635552,nano_21,True
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139899282110928,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139899282110688,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,139899282109488,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,139899282112032,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139899282081632,,
queue,python-pi,faas-workloads/python-pi,139899282080912,,
queue,python-pi-downtown,faas-workloads/python-pi,139899282082256,,
queue,python-pi-suburb,faas-workloads/python-pi,139899282082976,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139899282108624,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139899282108624,nx_7,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139899282110928,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139899282110928,nano_20,True
start,speech-inference,faas-workloads/speech-inference-tflite,139899282110688,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139899282110688,rockpi_5,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,139899282109488,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,139899282109488,rockpi_21,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,139899282112032,,
