timestamp,strategy,deployment,current_replicas,current_load_rps,avg_response_time_ms,evaluation_type
5,KubernetesStyleFirstFit,resnet50-inference,1,15.0,1302.6423435124045,scaling_check
5,KubernetesStyleFirstFit,speech-inference,1,3.0,0.0,scaling_check
5,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.8,0.0,scaling_check
5,KubernetesStyleFirstFit,resnet50-training,1,6.2,0.0,scaling_check
5,KubernetesStyleFirstFit,python-pi,1,15.4,2008.5243067018378,scaling_check
5,KubernetesStyleFirstFit,fio,1,13.0,0.0,scaling_check
10,KubernetesStyleFirstFit,resnet50-inference,2,17.8,1302.6423435124045,scaling_check
10,KubernetesStyleFirstFit,speech-inference,1,5.6,0.0,scaling_check
10,KubernetesStyleFirstFit,resnet50-preprocessing,1,6.4,0.0,scaling_check
10,KubernetesStyleFirstFit,resnet50-training,1,13.2,0.0,scaling_check
10,KubernetesStyleFirstFit,python-pi,2,29.2,2008.5243067018378,scaling_check
10,KubernetesStyleFirstFit,fio,1,30.4,0.0,scaling_check
15,KubernetesStyleFirstFit,resnet50-inference,3,24.0,0.0,scaling_check
15,KubernetesStyleFirstFit,speech-inference,1,3.8,0.0,scaling_check
15,KubernetesStyleFirstFit,resnet50-preprocessing,1,5.8,0.0,scaling_check
15,KubernetesStyleFirstFit,resnet50-training,1,16.4,0.0,scaling_check
15,KubernetesStyleFirstFit,python-pi,3,23.4,0.0,scaling_check
15,KubernetesStyleFirstFit,fio,2,31.4,0.0,scaling_check
20,KubernetesStyleFirstFit,resnet50-inference,4,23.8,0.0,scaling_check
20,KubernetesStyleFirstFit,speech-inference,1,8.0,0.0,scaling_check
20,KubernetesStyleFirstFit,resnet50-preprocessing,1,4.2,0.0,scaling_check
20,KubernetesStyleFirstFit,resnet50-training,1,13.6,0.0,scaling_check
20,KubernetesStyleFirstFit,python-pi,4,30.4,0.0,scaling_check
20,KubernetesStyleFirstFit,fio,3,31.8,0.0,scaling_check
25,KubernetesStyleFirstFit,resnet50-inference,5,24.6,0.0,scaling_check
25,KubernetesStyleFirstFit,speech-inference,1,2.8,0.0,scaling_check
25,KubernetesStyleFirstFit,resnet50-preprocessing,1,4.8,0.0,scaling_check
25,KubernetesStyleFirstFit,resnet50-training,1,14.6,0.0,scaling_check
25,KubernetesStyleFirstFit,python-pi,5,25.2,0.0,scaling_check
25,KubernetesStyleFirstFit,fio,4,29.8,0.0,scaling_check
