value,name,function_id
deploy,resnet50-inference,139686157367184
deploy,resnet50-inference-downtown,139686157368240
deploy,resnet50-inference-suburb,139686157385888
deploy,resnet50-inference-industrial,139686157387088
deploy,speech-inference,139686157388288
deploy,speech-inference-downtown,139686157389488
deploy,speech-inference-suburb,139686157390688
deploy,resnet50-preprocessing,139686157391888
deploy,resnet50-training,139686157392704
deploy,resnet50-training-downtown,139686157393904
deploy,python-pi,139686157395104
deploy,python-pi-downtown,139686157395920
deploy,python-pi-suburb,139686157396736
deploy,fio,139686157397552
deploy,fio-downtown,139686157398368
deploy,fio-suburb,139686157399184
