value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157248704,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157249568,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157248704,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157248704,nx_10,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139686157531360,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157532320,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139686157631648,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,139686157632608,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157633568,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139686157634528,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,139686157635488,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139686157636448,,
queue,python-pi,faas-workloads/python-pi,139686157637408,,
queue,python-pi-downtown,faas-workloads/python-pi,139686157638368,,
queue,python-pi-suburb,faas-workloads/python-pi,139686157639328,,
queue,fio,faas-workloads/fio,139686157640288,,
queue,fio-downtown,faas-workloads/fio,139686157641248,,
queue,fio-suburb,faas-workloads/fio,139686157642208,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157249568,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157249568,nano_3,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139686157531360,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139686157531360,nx_3,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157532320,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157532320,nano_17,True
start,speech-inference,faas-workloads/speech-inference-tflite,139686157631648,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139686157631648,rockpi_30,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,139686157632608,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,139686157632608,rockpi_30,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157633568,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157633568,rockpi_8,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139686157634528,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139686157634528,rockpi_8,True
start,resnet50-training,faas-workloads/resnet-training-gpu,139686157635488,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139686157635488,nano_15,True
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139686157636448,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139686157636448,nano_26,True
start,python-pi,faas-workloads/python-pi,139686157637408,,
finish,python-pi,faas-workloads/python-pi,139686157637408,nx_10,True
start,python-pi-downtown,faas-workloads/python-pi,139686157638368,,
finish,python-pi-downtown,faas-workloads/python-pi,139686157638368,coral_1,True
start,python-pi-suburb,faas-workloads/python-pi,139686157639328,,
finish,python-pi-suburb,faas-workloads/python-pi,139686157639328,coral_3,True
start,fio,faas-workloads/fio,139686157640288,,
finish,fio,faas-workloads/fio,139686157640288,rpi3_3,True
