value,name,type,data_type
48000000,link_rockpi_104,node,data_download
48000000,shared_42,shared,data_download
48000000,up_shared_42,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_1,node,data_download
48000000,link_rockpi_104,node,data_download
48000000,shared_42,shared,data_download
48000000,up_shared_42,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_97,node,data_download
48000000,link_rockpi_104,node,data_download
48000000,shared_42,shared,data_download
48000000,up_shared_42,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_1,node,data_download
103000000,link_rockpi_104,node,data_download
103000000,shared_42,shared,data_download
103000000,up_shared_42,uplink,data_download
103000000,down_shared_2,downlink,data_download
103000000,shared_2,shared,data_download
103000000,link_nx_46,node,data_download
103000000,link_rockpi_104,node,data_download
103000000,shared_42,shared,data_download
103000000,up_shared_42,uplink,data_download
103000000,down_shared_2,downlink,data_download
103000000,shared_2,shared,data_download
103000000,link_nano_56,node,data_download
103000000,link_rockpi_104,node,data_download
103000000,shared_42,shared,data_download
103000000,up_shared_42,uplink,data_download
103000000,down_shared_0,downlink,data_download
103000000,shared_0,shared,data_download
103000000,link_nano_47,node,data_download
103000000,link_rockpi_104,node,data_download
103000000,shared_42,shared,data_download
103000000,up_shared_42,uplink,data_download
103000000,down_shared_2,downlink,data_download
103000000,shared_2,shared,data_download
103000000,link_nano_58,node,data_download
58000000,link_rockpi_104,node,data_download
58000000,shared_42,shared,data_download
58000000,up_shared_42,uplink,data_download
58000000,down_shared_4,downlink,data_download
58000000,shared_4,shared,data_download
58000000,link_nano_0,node,data_download
58000000,link_rockpi_104,node,data_download
58000000,shared_42,shared,data_download
58000000,up_shared_42,uplink,data_download
58000000,down_shared_4,downlink,data_download
58000000,shared_4,shared,data_download
58000000,link_nx_0,node,data_download
58000000,link_rockpi_104,node,data_download
58000000,shared_42,shared,data_download
58000000,up_shared_42,uplink,data_download
58000000,down_shared_4,downlink,data_download
58000000,shared_4,shared,data_download
58000000,link_nano_0,node,data_download
58000000,link_rockpi_104,node,data_download
58000000,shared_42,shared,data_download
58000000,up_shared_42,uplink,data_download
58000000,down_shared_4,downlink,data_download
58000000,shared_4,shared,data_download
58000000,link_nano_0,node,data_download
58000000,link_rockpi_104,node,data_download
58000000,shared_42,shared,data_download
58000000,up_shared_42,uplink,data_download
58000000,down_shared_4,downlink,data_download
58000000,shared_4,shared,data_download
58000000,link_nx_0,node,data_download
58000000,link_rockpi_104,node,data_download
58000000,shared_42,shared,data_download
58000000,up_shared_42,uplink,data_download
58000000,down_shared_4,downlink,data_download
58000000,shared_4,shared,data_download
58000000,link_nx_0,node,data_download
58000000,link_rockpi_104,node,data_download
58000000,shared_42,shared,data_download
