deployment_name,timestamp,avg_response_time,avg_execution_time,avg_wait_time,wait_percentage,high_wait_count,sample_count
resnet50-inference,5,1302.6423435124045,698.7553691951829,603.8869743172219,46.3586169545909,8,12
resnet50-inference,5,1302.6423435124045,698.7553691951829,603.8869743172219,46.3586169545909,8,12
python-pi,5,2008.5243067018378,2008.5243067018378,0.0,0.0,0,4
python-pi,5,2008.5243067018378,2008.5243067018378,0.0,0.0,0,4
resnet50-inference,10,1302.6423435124045,698.7553691951829,603.8869743172219,46.3586169545909,8,12
resnet50-inference,10,1302.6423435124045,698.7553691951829,603.8869743172219,46.3586169545909,8,12
python-pi,10,2008.5243067018378,2008.5243067018378,0.0,0.0,0,4
python-pi,10,2008.5243067018378,2008.5243067018378,0.0,0.0,0,4
resnet50-inference,40,6036.417328413655,470.80143297153796,5565.615895442115,92.20064804407312,59,201
resnet50-inference,40,6036.417328413655,470.80143297153796,5565.615895442115,92.20064804407312,59,201
speech-inference,40,9681.460871409865,3349.72399286735,6331.736878542516,65.40063491079788,4,13
speech-inference,40,9681.460871409865,3349.72399286735,6331.736878542516,65.40063491079788,4,13
resnet50-preprocessing,40,13689.393419496882,7708.905800607953,5980.487618888929,43.687016916113485,3,3
resnet50-preprocessing,40,13689.393419496882,7708.905800607953,5980.487618888929,43.687016916113485,3,3
python-pi,40,8759.276142979694,1187.8241738575923,7571.451969122101,86.43924275855147,203,212
python-pi,40,8759.276142979694,1187.8241738575923,7571.451969122101,86.43924275855147,203,212
resnet50-inference,45,6075.319909021625,461.268401251277,5614.051507770347,92.4075043263761,33,101
resnet50-inference,45,6075.319909021625,461.268401251277,5614.051507770347,92.4075043263761,33,101
speech-inference,45,2897.0674545062852,2897.0674545062852,0.0,0.0,0,4
speech-inference,45,2897.0674545062852,2897.0674545062852,0.0,0.0,0,4
python-pi,45,8754.70928782457,1192.4069006634884,7562.302387161081,86.3798230019836,99,103
python-pi,45,8754.70928782457,1192.4069006634884,7562.302387161081,86.3798230019836,99,103
resnet50-inference,75,8500.133282671895,589.6832823917242,7910.4500002801715,93.0626583986179,51,215
resnet50-inference,75,8500.133282671895,589.6832823917242,7910.4500002801715,93.0626583986179,51,215
speech-inference,75,7006.221274788566,3567.7160884687423,3438.505186319824,49.07788451805059,5,20
speech-inference,75,7006.221274788566,3567.7160884687423,3438.505186319824,49.07788451805059,5,20
resnet50-preprocessing,75,9269.576357908267,6966.498927865053,2303.077430043213,24.845552171090976,1,7
resnet50-preprocessing,75,9269.576357908267,6966.498927865053,2303.077430043213,24.845552171090976,1,7
python-pi,75,10687.448940211621,1264.3010037595927,9423.147936452027,88.17022648873062,88,262
python-pi,75,10687.448940211621,1264.3010037595927,9423.147936452027,88.17022648873062,88,262
resnet50-inference,80,7508.951850532166,588.3040939253933,6920.647756606773,92.16529675997724,23,114
resnet50-inference,80,7508.951850532166,588.3040939253933,6920.647756606773,92.16529675997724,23,114
speech-inference,80,5990.638592067252,3569.05668549127,2421.5819065759815,40.422767445571125,1,5
speech-inference,80,5990.638592067252,3569.05668549127,2421.5819065759815,40.422767445571125,1,5
python-pi,80,9599.855618884803,1217.0478154004659,8382.807803484338,87.32222791969608,34,115
python-pi,80,9599.855618884803,1217.0478154004659,8382.807803484338,87.32222791969608,34,115
resnet50-inference,110,4049.233336804768,643.1400346892531,3406.093302115514,84.11699249723274,51,241
resnet50-inference,110,4049.233336804768,643.1400346892531,3406.093302115514,84.11699249723274,51,241
speech-inference,110,3767.1217280936494,3767.1217280936494,0.0,0.0,0,20
speech-inference,110,3767.1217280936494,3767.1217280936494,0.0,0.0,0,20
resnet50-preprocessing,110,16475.079585133975,7353.403991455987,9121.675593677986,55.36650397676248,1,9
