value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139791585643056,nano_2
deploy,speech-inference,faas-workloads/speech-inference-tflite,139791585644496,rockpi_25
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139791585645408,rockpi_25
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139791585646272,nano_7
deploy,python-pi,faas-workloads/python-pi,139791585647424,rpi3_18
deploy,fio,faas-workloads/fio,139791585648240,rpi3_19
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139791585643056,nx_9
deploy,speech-inference,faas-workloads/speech-inference-tflite,139791585644496,rpi3_20
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139791585645408,rpi3_24
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139791585646272,nano_18
deploy,python-pi,faas-workloads/python-pi,139791585647424,rpi3_25
deploy,fio,faas-workloads/fio,139791585648240,rpi3_19
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139791585643056,nx_2
deploy,speech-inference,faas-workloads/speech-inference-tflite,139791585644496,rpi3_26
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139791585645408,rockpi_2
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139791585646272,nx_5
deploy,python-pi,faas-workloads/python-pi,139791585647424,rockpi_2
deploy,fio,faas-workloads/fio,139791585648240,rpi3_3
deploy,speech-inference,faas-workloads/speech-inference-tflite,139791585644496,nx_9
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139791585645408,coral_1
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139791585646272,nano_5
deploy,python-pi,faas-workloads/python-pi,139791585647424,rockpi_23
deploy,fio,faas-workloads/fio,139791585648240,rpi3_3
deploy,speech-inference,faas-workloads/speech-inference-tflite,139791585644496,rockpi_23
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139791585645408,rockpi_13
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139791585646272,nx_10
deploy,python-pi,faas-workloads/python-pi,139791585647424,rockpi_13
deploy,fio,faas-workloads/fio,139791585648240,rpi3_4
deploy,speech-inference,faas-workloads/speech-inference-tflite,139791585644496,rpi3_5
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139791585645408,rpi3_21
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139791585646272,nano_12
deploy,python-pi,faas-workloads/python-pi,139791585647424,rpi3_22
deploy,fio,faas-workloads/fio,139791585648240,rpi3_4
deploy,speech-inference,faas-workloads/speech-inference-tflite,139791585644496,rpi3_23
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139791585645408,rockpi_6
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139791585646272,nano_15
deploy,python-pi,faas-workloads/python-pi,139791585647424,rockpi_6
deploy,fio,faas-workloads/fio,139791585648240,rpi3_27
deploy,speech-inference,faas-workloads/speech-inference-tflite,139791585644496,nx_2
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139791585645408,nx_5
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139791585646272,nx_13
deploy,python-pi,faas-workloads/python-pi,139791585647424,coral_2
deploy,fio,faas-workloads/fio,139791585648240,rpi3_27
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139791585643056,nano_3
deploy,speech-inference,faas-workloads/speech-inference-tflite,139791585644496,coral_3
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139791585645408,rpi3_28
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139791585646272,nx_4
deploy,python-pi,faas-workloads/python-pi,139791585647424,rpi3_29
deploy,fio,faas-workloads/fio,139791585648240,rpi3_0
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139791585643056,nano_13
deploy,speech-inference,faas-workloads/speech-inference-tflite,139791585644496,rockpi_12
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139791585645408,rockpi_12
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139791585646272,nano_14
deploy,python-pi,faas-workloads/python-pi,139791585647424,nx_10
deploy,fio,faas-workloads/fio,139791585648240,rpi3_0
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139791585643056,nx_6
deploy,speech-inference,faas-workloads/speech-inference-tflite,139791585644496,rpi3_1
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139791585645408,rpi3_2
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139791585646272,nano_6
deploy,python-pi,faas-workloads/python-pi,139791585647424,rockpi_26
deploy,fio,faas-workloads/fio,139791585648240,rpi3_9
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139791585643056,nano_8
