bytes,duration,source,sink,action_type
20000000,0.16802883937926297,registry,rpi3_3,docker_pull
20000000,0.16800888147884027,registry,rpi3_4,docker_pull
62000000,0.5127739734273897,registry,coral_1,docker_pull
62000000,0.5129322100875686,registry,coral_3,docker_pull
40000000,0.6581617411449777,registry,rockpi_30,docker_pull
40000000,0.6591314602595232,registry,rockpi_8,docker_pull
100000000,0.8262537400157856,registry,nano_3,docker_pull
100000000,0.8265228710841954,registry,nx_3,docker_pull
100000000,0.8260869012991994,registry,nano_17,docker_pull
100000000,0.8263484783238938,registry,nano_15,docker_pull
100000000,0.8261600683375891,registry,nano_26,docker_pull
48000000,0.8850177771840518,rockpi_16,rockpi_30,data_download
62000000,1.024231826544892,registry,nx_10,docker_pull
100000000,1.3375657336706286,registry,nx_10,docker_pull
191000000,2.2269905290896688,registry,rockpi_8,docker_pull
48000000,2.0146879323124454,rockpi_16,rockpi_8,data_download
48000000,2.072500969438389,rockpi_16,rockpi_30,data_download
103000000,3.0652505696146255,rockpi_16,nx_10,data_download
103000000,3.65557297751585,rockpi_16,nx_3,data_download
103000000,3.6608866051315823,rockpi_16,nano_17,data_download
103000000,3.704106083769951,rockpi_16,nano_3,data_download
20000000,0.16798679417219997,registry,rpi3_21,docker_pull
33000000,0.27509903864926244,registry,rpi3_5,docker_pull
40000000,0.47970093317470397,registry,rockpi_13,docker_pull
100000000,0.8264346373385889,registry,nx_13,docker_pull
100000000,0.8263002131018906,registry,nano_18,docker_pull
100000000,0.8264317088703059,registry,nano_19,docker_pull
100000000,0.8262727042871525,registry,nx_4,docker_pull
191000000,1.576838334810338,registry,nx_3,docker_pull
48000000,4.385572884485237,rockpi_16,rockpi_13,data_download
20000000,0.16774782482804085,registry,rpi3_22,docker_pull
20000000,0.16803977737486875,registry,rpi3_23,docker_pull
40000000,0.3329448437671676,registry,rockpi_5,docker_pull
40000000,0.3489151972108022,registry,rockpi_12,docker_pull
100000000,0.8264052354345139,registry,nano_9,docker_pull
100000000,0.8262885648842762,registry,nano_12,docker_pull
100000000,0.8262863472273398,registry,nano_21,docker_pull
100000000,0.8263914352858563,registry,nx_7,docker_pull
58000000,6.705581479953407,rockpi_16,nano_15,data_download
48000000,6.571589805295142,rockpi_16,rpi3_5,data_download
58000000,7.272321643619711,rockpi_16,nano_15,data_download
48000000,7.443605770631652,rockpi_16,rockpi_13,data_download
58000000,8.966611446664757,rockpi_16,nano_15,data_download
58000000,9.288936926082798,rockpi_16,nano_26,data_download
20000000,0.16793342984071558,registry,rpi3_27,docker_pull
40000000,0.3445218976463771,registry,rockpi_21,docker_pull
58000000,9.995298891866893,rockpi_16,nano_15,data_download
100000000,0.8262819545032194,registry,nano_20,docker_pull
100000000,0.8262726913334806,registry,nx_11,docker_pull
100000000,0.8260676778965745,registry,nano_22,docker_pull
58000000,10.790545827925802,rockpi_16,nano_26,data_download
58000000,10.87354067769172,rockpi_16,nano_19,data_download
58000000,11.164372448966407,rockpi_16,nx_4,data_download
58000000,11.323091639125986,rockpi_16,nano_26,data_download
