value,name,function_id
deploy,resnet50-inference,140365455046352
deploy,resnet50-inference-downtown,140365455047408
deploy,resnet50-inference-suburb,140365455048608
deploy,resnet50-inference-industrial,140365455066256
deploy,speech-inference,140365455067456
deploy,speech-inference-downtown,140365455068656
deploy,speech-inference-suburb,140365455069856
deploy,resnet50-preprocessing,140365455071056
deploy,resnet50-training,140365455071872
deploy,resnet50-training-downtown,140365455073072
deploy,python-pi,140365455074272
deploy,python-pi-downtown,140365455075088
deploy,python-pi-suburb,140365455075904
deploy,fio,140365455076720
deploy,fio-downtown,140365455077536
deploy,fio-suburb,140365455078352
