t_wait,t_exec,t_start,memory,function_name,function_image,node,replica_id
0.0,0.3975413349447168,5.016320034233166,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140365455226912
0.0,0.38493184492710686,5.083069589034239,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140365455226912
0.0,0.38583286810778716,5.441962339331441,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140365455226912
0.0,0.6983801290643736,5.223267256966587,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140365455227872
0.0,0.7706363339354185,5.176179500788765,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140365454928736
0.0,0.3721763085008094,5.701219876998372,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140365455226912
0.0,0.7412135196056795,5.602870548157268,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140365454928736
0.0,1.284823544142295,5.077938045083612,104857600,python-pi,faas-workloads/python-pi,nx_10,140365455316576
0.0,0.7311451762285923,5.807457375644802,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140365454928736
0.0,0.3992457705020547,6.1754798267719675,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140365455226912
0.0,0.38379544535145005,6.204729399948788,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140365455226912
0.0,0.7082828186714725,5.937919800357043,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140365454928736
0.0,0.37764537265413534,6.289900653066198,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140365454927872
0.0,1.6252360514400213,5.11118755525836,104857600,python-pi-downtown,faas-workloads/python-pi,coral_1,140365455317536
0.0,1.293746621286151,5.456738259611885,104857600,python-pi,faas-workloads/python-pi,nx_10,140365455316576
0.0,1.6160708900496976,5.160906127102212,104857600,python-pi-suburb,faas-workloads/python-pi,coral_3,140365455318496
0.0,1.3023646898218804,5.484157992118007,104857600,python-pi,faas-workloads/python-pi,nx_10,140365455316576
0.0,1.6157556642773532,5.18358478581785,104857600,python-pi-downtown,faas-workloads/python-pi,coral_1,140365455317536
0.0,1.6268964605353684,5.2070521161990575,104857600,python-pi-downtown,faas-workloads/python-pi,coral_1,140365455317536
0.0,1.62909570219872,5.262789324550457,104857600,python-pi-downtown,faas-workloads/python-pi,coral_1,140365455317536
0.0,0.8578112345150792,6.0520279089986255,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140365454928736
0.0,1.305034947111368,5.62522635128902,104857600,python-pi,faas-workloads/python-pi,nx_10,140365455316576
0.0,0.6988084479094105,6.238113243558775,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140365455227872
0.0,0.38754943617554183,6.567790411614298,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140365455226912
0.0,1.6179026816578377,5.355128870704958,104857600,python-pi-suburb,faas-workloads/python-pi,coral_3,140365455318496
0.0,0.9528068945858506,6.0649466110395,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140365454928736
0.0,0.7002889504100533,6.330304759864083,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140365455227872
0.0,1.617110553586392,5.475452102633529,104857600,python-pi-suburb,faas-workloads/python-pi,coral_3,140365455318496
0.0,0.6719854704961419,6.446250497706678,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140365455227872
0.0,0.6995281523276784,6.449341804740641,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140365455227872
0.0,1.6239781524201637,5.5691791481406545,104857600,python-pi-suburb,faas-workloads/python-pi,coral_3,140365455318496
0.0,0.8872917632677364,6.3598256858152356,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140365454928736
0.0,0.3729084446806388,6.905222441555838,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140365454927872
0.0,0.3822178532090028,6.902232567409678,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,nx_3,140365455226912
0.0,0.40697236736242637,7.061723780857332,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140365454927872
0.0,0.3796341204430167,7.093384849699241,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140365454927872
0.0,0.9155614254691988,6.687311444154744,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140365455227872
0.0,1.86218986185931,5.791972899393382,104857600,python-pi,faas-workloads/python-pi,nx_10,140365455316576
0.0,0.7984652383178812,7.075997545287308,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140365454928736
0.0,0.37499971247871766,7.515115318779865,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140365454927872
0.0,0.7495374700346584,7.195886583897988,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140365454928736
0.0,0.7234847387865795,7.230118873510834,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140365454928736
0.0,0.6954040295161761,7.340511104053288,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,nano_3,140365454928736
0.0,2.0967711998938103,5.939781463036054,104857600,python-pi,faas-workloads/python-pi,nx_10,140365455316576
0.0,1.9464176091002257,6.130641851897489,104857600,python-pi,faas-workloads/python-pi,nx_10,140365455316576
0.0,0.6869944087532742,7.453191275782616,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140365455227872
0.0,0.3836656509289096,7.839006991328745,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140365454927872
0.0,0.6925266298869976,7.622666308415144,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nano_17,140365455227872
0.0,2.9516154658762757,5.401094589369788,104857600,python-pi-downtown,faas-workloads/python-pi,coral_1,140365455317536
0.0,2.553497386210603,5.846869382558223,104857600,python-pi-suburb,faas-workloads/python-pi,coral_3,140365455318496
0.0,2.6882611644499725,5.7338046485057035,104857600,python-pi-downtown,faas-workloads/python-pi,coral_1,140365455317536
0.0,2.4748065408898148,5.976025975537548,104857600,python-pi-downtown,faas-workloads/python-pi,coral_1,140365455317536
