value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_10,140365454927872
deploy,resnet50-inference-downtown,nano_3,140365454928736
deploy,resnet50-inference-suburb,nx_3,140365455226912
deploy,resnet50-inference-industrial,nano_17,140365455227872
deploy,speech-inference,rockpi_30,140365455228832
deploy,speech-inference-downtown,rockpi_30,140365455311776
startup,speech-inference-downtown,rockpi_30,140365455311776
setup,speech-inference-downtown,rockpi_30,140365455311776
deploy,speech-inference-suburb,rockpi_8,140365455312736
deploy,resnet50-preprocessing,rockpi_8,140365455313696
deploy,resnet50-training,nano_15,140365455314656
deploy,resnet50-training-downtown,nano_26,140365455315616
deploy,python-pi,nx_10,140365455316576
deploy,python-pi-downtown,coral_1,140365455317536
deploy,python-pi-suburb,coral_3,140365455318496
deploy,fio,rpi3_3,140365455319456
deploy,fio-downtown,rpi3_3,140365455320416
startup,fio-downtown,rpi3_3,140365455320416
setup,fio-downtown,rpi3_3,140365455320416
finish,fio-downtown,rpi3_3,140365455320416
deploy,fio-suburb,rpi3_4,140365455321376
startup,fio,rpi3_3,140365455319456
setup,fio,rpi3_3,140365455319456
finish,fio,rpi3_3,140365455319456
startup,fio-suburb,rpi3_4,140365455321376
setup,fio-suburb,rpi3_4,140365455321376
finish,fio-suburb,rpi3_4,140365455321376
startup,python-pi-downtown,coral_1,140365455317536
setup,python-pi-downtown,coral_1,140365455317536
finish,python-pi-downtown,coral_1,140365455317536
startup,python-pi-suburb,coral_3,140365455318496
setup,python-pi-suburb,coral_3,140365455318496
finish,python-pi-suburb,coral_3,140365455318496
startup,speech-inference,rockpi_30,140365455228832
setup,speech-inference,rockpi_30,140365455228832
startup,speech-inference-suburb,rockpi_8,140365455312736
setup,speech-inference-suburb,rockpi_8,140365455312736
startup,resnet50-inference-downtown,nano_3,140365454928736
setup,resnet50-inference-downtown,nano_3,140365454928736
startup,resnet50-inference-suburb,nx_3,140365455226912
setup,resnet50-inference-suburb,nx_3,140365455226912
startup,resnet50-inference-industrial,nano_17,140365455227872
setup,resnet50-inference-industrial,nano_17,140365455227872
startup,resnet50-training,nano_15,140365455314656
setup,resnet50-training,nano_15,140365455314656
finish,resnet50-training,nano_15,140365455314656
startup,resnet50-training-downtown,nano_26,140365455315616
setup,resnet50-training-downtown,nano_26,140365455315616
finish,resnet50-training-downtown,nano_26,140365455315616
finish,speech-inference-downtown,rockpi_30,140365455311776
startup,python-pi,nx_10,140365455316576
setup,python-pi,nx_10,140365455316576
finish,python-pi,nx_10,140365455316576
startup,resnet50-inference,nx_10,140365454927872
setup,resnet50-inference,nx_10,140365454927872
startup,resnet50-preprocessing,rockpi_8,140365455313696
setup,resnet50-preprocessing,rockpi_8,140365455313696
finish,resnet50-preprocessing,rockpi_8,140365455313696
finish,speech-inference-suburb,rockpi_8,140365455312736
finish,speech-inference,rockpi_30,140365455228832
finish,resnet50-inference,nx_10,140365454927872
finish,resnet50-inference-suburb,nx_3,140365455226912
finish,resnet50-inference-industrial,nano_17,140365455227872
finish,resnet50-inference-downtown,nano_3,140365454928736
deploy,resnet50-inference-downtown,nx_13,140365453594576
deploy,resnet50-inference-industrial,nano_18,140365452769504
deploy,speech-inference,rpi3_5,140365452770464
deploy,speech-inference-downtown,rockpi_13,140365452771184
deploy,speech-inference-suburb,rockpi_13,140365452985008
startup,speech-inference-suburb,rockpi_13,140365452985008
setup,speech-inference-suburb,rockpi_13,140365452985008
deploy,resnet50-preprocessing,nx_3,140365452985776
deploy,resnet50-training,nano_19,140365452986544
deploy,resnet50-training-downtown,nx_4,140365452987312
deploy,fio,rpi3_4,140365452988368
startup,fio,rpi3_4,140365452988368
setup,fio,rpi3_4,140365452988368
finish,fio,rpi3_4,140365452988368
deploy,fio-downtown,rpi3_21,140365452989136
deploy,fio-suburb,rpi3_21,140365452989904
startup,fio-suburb,rpi3_21,140365452989904
setup,fio-suburb,rpi3_21,140365452989904
finish,fio-suburb,rpi3_21,140365452989904
startup,fio-downtown,rpi3_21,140365452989136
setup,fio-downtown,rpi3_21,140365452989136
finish,fio-downtown,rpi3_21,140365452989136
startup,speech-inference,rpi3_5,140365452770464
setup,speech-inference,rpi3_5,140365452770464
startup,speech-inference-downtown,rockpi_13,140365452771184
setup,speech-inference-downtown,rockpi_13,140365452771184
startup,resnet50-inference-downtown,nx_13,140365453594576
setup,resnet50-inference-downtown,nx_13,140365453594576
startup,resnet50-inference-industrial,nano_18,140365452769504
setup,resnet50-inference-industrial,nano_18,140365452769504
startup,resnet50-training,nano_19,140365452986544
setup,resnet50-training,nano_19,140365452986544
finish,resnet50-training,nano_19,140365452986544
startup,resnet50-training-downtown,nx_4,140365452987312
setup,resnet50-training-downtown,nx_4,140365452987312
finish,resnet50-training-downtown,nx_4,140365452987312
startup,resnet50-preprocessing,nx_3,140365452985776
setup,resnet50-preprocessing,nx_3,140365452985776
finish,resnet50-preprocessing,nx_3,140365452985776
finish,speech-inference-suburb,rockpi_13,140365452985008
deploy,resnet50-inference-downtown,nano_9,140365452131584
deploy,resnet50-inference-industrial,nano_12,140365452258816
deploy,speech-inference,rockpi_12,140365452259776
deploy,speech-inference-downtown,rockpi_12,140365452260496
startup,speech-inference-downtown,rockpi_12,140365452260496
setup,speech-inference-downtown,rockpi_12,140365452260496
deploy,speech-inference-suburb,rockpi_5,140365452261264
deploy,resnet50-training,nano_21,140365452262128
deploy,resnet50-training-downtown,nx_7,140365452262896
deploy,fio,rpi3_22,140365450363472
deploy,fio-downtown,rpi3_22,140365450364240
startup,fio-downtown,rpi3_22,140365450364240
setup,fio-downtown,rpi3_22,140365450364240
finish,fio-downtown,rpi3_22,140365450364240
deploy,fio-suburb,rpi3_23,140365450365008
startup,fio,rpi3_22,140365450363472
setup,fio,rpi3_22,140365450363472
finish,fio,rpi3_22,140365450363472
startup,fio-suburb,rpi3_23,140365450365008
setup,fio-suburb,rpi3_23,140365450365008
finish,fio-suburb,rpi3_23,140365450365008
startup,speech-inference-suburb,rockpi_5,140365452261264
setup,speech-inference-suburb,rockpi_5,140365452261264
startup,speech-inference,rockpi_12,140365452259776
setup,speech-inference,rockpi_12,140365452259776
startup,resnet50-inference-downtown,nano_9,140365452131584
setup,resnet50-inference-downtown,nano_9,140365452131584
startup,resnet50-inference-industrial,nano_12,140365452258816
setup,resnet50-inference-industrial,nano_12,140365452258816
startup,resnet50-training,nano_21,140365452262128
setup,resnet50-training,nano_21,140365452262128
finish,resnet50-training,nano_21,140365452262128
startup,resnet50-training-downtown,nx_7,140365452262896
setup,resnet50-training-downtown,nx_7,140365452262896
finish,resnet50-training-downtown,nx_7,140365452262896
finish,speech-inference,rpi3_5,140365452770464
finish,speech-inference-downtown,rockpi_13,140365452771184
deploy,resnet50-inference-downtown,nano_20,140365449454464
deploy,resnet50-inference-industrial,nx_11,140365449581552
deploy,speech-inference,rockpi_5,140365449582512
startup,speech-inference,rockpi_5,140365449582512
setup,speech-inference,rockpi_5,140365449582512
deploy,speech-inference-downtown,rockpi_21,140365449583232
deploy,speech-inference-suburb,rockpi_21,140365449584000
startup,speech-inference-suburb,rockpi_21,140365449584000
setup,speech-inference-suburb,rockpi_21,140365449584000
deploy,resnet50-training,nano_22,140365449584864
deploy,fio,rpi3_23,140365449586016
startup,fio,rpi3_23,140365449586016
setup,fio,rpi3_23,140365449586016
finish,fio,rpi3_23,140365449586016
deploy,fio-downtown,rpi3_27,140365449586784
deploy,fio-suburb,rpi3_27,140365449587552
startup,fio-suburb,rpi3_27,140365449587552
setup,fio-suburb,rpi3_27,140365449587552
finish,fio-suburb,rpi3_27,140365449587552
startup,fio-downtown,rpi3_27,140365449586784
setup,fio-downtown,rpi3_27,140365449586784
finish,fio-downtown,rpi3_27,140365449586784
startup,speech-inference-downtown,rockpi_21,140365449583232
setup,speech-inference-downtown,rockpi_21,140365449583232
startup,resnet50-inference-downtown,nano_20,140365449454464
setup,resnet50-inference-downtown,nano_20,140365449454464
startup,resnet50-inference-industrial,nx_11,140365449581552
setup,resnet50-inference-industrial,nx_11,140365449581552
startup,resnet50-training,nano_22,140365449584864
setup,resnet50-training,nano_22,140365449584864
finish,resnet50-training,nano_22,140365449584864
deploy,resnet50-inference-downtown,nano_10,140365448681056
deploy,resnet50-inference-industrial,nano_11,140365448909904
deploy,speech-inference,rockpi_19,140365448910864
deploy,speech-inference-downtown,rockpi_19,140365448911584
startup,speech-inference-downtown,rockpi_19,140365448911584
setup,speech-inference-downtown,rockpi_19,140365448911584
deploy,speech-inference-suburb,nx_13,140365448912352
deploy,resnet50-training,nano_28,140365448913216
deploy,fio,rpi3_28,140365448914368
deploy,fio-downtown,rpi3_28,140365448915136
startup,fio-downtown,rpi3_28,140365448915136
setup,fio-downtown,rpi3_28,140365448915136
finish,fio-downtown,rpi3_28,140365448915136
deploy,fio-suburb,rpi3_29,140365448915904
startup,fio,rpi3_28,140365448914368
setup,fio,rpi3_28,140365448914368
finish,fio,rpi3_28,140365448914368
startup,fio-suburb,rpi3_29,140365448915904
setup,fio-suburb,rpi3_29,140365448915904
finish,fio-suburb,rpi3_29,140365448915904
startup,speech-inference,rockpi_19,140365448910864
setup,speech-inference,rockpi_19,140365448910864
startup,speech-inference-suburb,nx_13,140365448912352
setup,speech-inference-suburb,nx_13,140365448912352
finish,speech-inference-downtown,rockpi_12,140365452260496
startup,resnet50-inference-downtown,nano_10,140365448681056
setup,resnet50-inference-downtown,nano_10,140365448681056
startup,resnet50-inference-industrial,nano_11,140365448909904
setup,resnet50-inference-industrial,nano_11,140365448909904
startup,resnet50-training,nano_28,140365448913216
setup,resnet50-training,nano_28,140365448913216
finish,resnet50-training,nano_28,140365448913216
finish,speech-inference-suburb,rockpi_5,140365452261264
finish,speech-inference,rockpi_12,140365452259776
deploy,resnet50-inference-downtown,nano_0,140365449213072
deploy,resnet50-inference-industrial,nano_1,140365446187328
deploy,speech-inference,rockpi_16,140365446188288
deploy,speech-inference-downtown,rockpi_16,140365446189008
startup,speech-inference-downtown,rockpi_16,140365446189008
setup,speech-inference-downtown,rockpi_16,140365446189008
deploy,speech-inference-suburb,rockpi_14,140365446189776
deploy,resnet50-training,nano_2,140365446190640
deploy,fio,rpi3_29,140365446191792
startup,fio,rpi3_29,140365446191792
setup,fio,rpi3_29,140365446191792
finish,fio,rpi3_29,140365446191792
deploy,fio-downtown,rpi3_0,140365446192560
deploy,fio-suburb,rpi3_0,140365446193328
startup,fio-suburb,rpi3_0,140365446193328
setup,fio-suburb,rpi3_0,140365446193328
finish,fio-suburb,rpi3_0,140365446193328
startup,fio-downtown,rpi3_0,140365446192560
setup,fio-downtown,rpi3_0,140365446192560
finish,fio-downtown,rpi3_0,140365446192560
finish,resnet50-inference-downtown,nx_13,140365453594576
startup,speech-inference-suburb,rockpi_14,140365446189776
setup,speech-inference-suburb,rockpi_14,140365446189776
finish,speech-inference-downtown,rockpi_16,140365446189008
finish,speech-inference-suburb,rockpi_21,140365449584000
finish,speech-inference,rockpi_5,140365449582512
startup,resnet50-inference-downtown,nano_0,140365449213072
setup,resnet50-inference-downtown,nano_0,140365449213072
startup,resnet50-inference-industrial,nano_1,140365446187328
setup,resnet50-inference-industrial,nano_1,140365446187328
startup,resnet50-training,nano_2,140365446190640
setup,resnet50-training,nano_2,140365446190640
finish,resnet50-training,nano_2,140365446190640
finish,speech-inference-downtown,rockpi_21,140365449583232
finish,resnet50-inference-industrial,nano_18,140365452769504
finish,speech-inference-downtown,rockpi_19,140365448911584
finish,speech-inference,rockpi_19,140365448910864
finish,speech-inference-suburb,nx_13,140365448912352
deploy,resnet50-inference-downtown,nano_5,140365450866944
deploy,resnet50-inference-industrial,nx_5,140365445383264
deploy,speech-inference,rockpi_14,140365445384224
startup,speech-inference,rockpi_14,140365445384224
setup,speech-inference,rockpi_14,140365445384224
deploy,speech-inference-downtown,nx_4,140365445384944
deploy,speech-inference-suburb,rockpi_10,140365445385712
deploy,resnet50-training,nx_12,140365445386576
deploy,fio,rpi3_1,140365445387728
deploy,fio-downtown,rpi3_1,140365445388496
startup,fio-downtown,rpi3_1,140365445388496
setup,fio-downtown,rpi3_1,140365445388496
finish,fio-downtown,rpi3_1,140365445388496
deploy,fio-suburb,rpi3_2,140365445389264
startup,fio,rpi3_1,140365445387728
setup,fio,rpi3_1,140365445387728
finish,fio,rpi3_1,140365445387728
startup,fio-suburb,rpi3_2,140365445389264
setup,fio-suburb,rpi3_2,140365445389264
finish,fio-suburb,rpi3_2,140365445389264
startup,speech-inference-downtown,nx_4,140365445384944
setup,speech-inference-downtown,nx_4,140365445384944
