timestamp,strategy,deployment,current_replicas,current_load_rps,avg_response_time_ms,evaluation_type
5,HighPerformanceShortTimeBinPacker,resnet50-inference,1,0.0,0.0,scaling_check
5,HighPerformanceShortTimeBinPacker,resnet50-inference-downtown,1,0.0,0.0,scaling_check
5,HighPerformanceShortTimeBinPacker,resnet50-inference-suburb,1,0.0,0.0,scaling_check
5,HighPerformanceShortTimeBinPacker,resnet50-inference-industrial,1,0.0,0.0,scaling_check
5,HighPerformanceShortTimeBinPacker,speech-inference,1,0.0,0.0,scaling_check
5,HighPerformanceShortTimeBinPacker,speech-inference-downtown,1,0.0,0.0,scaling_check
5,HighPerformanceShortTimeBinPacker,speech-inference-suburb,1,0.0,0.0,scaling_check
5,HighPerformanceShortTimeBinPacker,resnet50-preprocessing,1,0.0,0.0,scaling_check
5,HighPerformanceShortTimeBinPacker,resnet50-training,1,0.0,0.0,scaling_check
5,HighPerformanceShortTimeBinPacker,resnet50-training-downtown,1,0.0,0.0,scaling_check
5,HighPerformanceShortTimeBinPacker,python-pi,1,0.0,0.0,scaling_check
5,HighPerformanceShortTimeBinPacker,python-pi-downtown,1,0.0,0.0,scaling_check
5,HighPerformanceShortTimeBinPacker,python-pi-suburb,1,0.0,0.0,scaling_check
5,HighPerformanceShortTimeBinPacker,fio,1,0.0,0.0,scaling_check
5,HighPerformanceShortTimeBinPacker,fio-downtown,1,0.0,0.0,scaling_check
5,HighPerformanceShortTimeBinPacker,fio-suburb,1,0.0,0.0,scaling_check
10,HighPerformanceShortTimeBinPacker,resnet50-inference,1,2.4,0.0,scaling_check
10,HighPerformanceShortTimeBinPacker,resnet50-inference-downtown,2,4.0,0.0,scaling_check
10,HighPerformanceShortTimeBinPacker,resnet50-inference-suburb,1,3.2,0.0,scaling_check
10,HighPerformanceShortTimeBinPacker,resnet50-inference-industrial,2,3.6,0.0,scaling_check
10,HighPerformanceShortTimeBinPacker,speech-inference,2,1.0,0.0,scaling_check
10,HighPerformanceShortTimeBinPacker,speech-inference-downtown,2,0.6,0.0,scaling_check
