value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140365454927872,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140365454928736,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140365454927872,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140365454927872,nx_10,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140365455226912,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140365455227872,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140365455228832,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140365455311776,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140365455312736,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140365455313696,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140365455314656,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140365455315616,,
queue,python-pi,faas-workloads/python-pi,140365455316576,,
queue,python-pi-downtown,faas-workloads/python-pi,140365455317536,,
queue,python-pi-suburb,faas-workloads/python-pi,140365455318496,,
queue,fio,faas-workloads/fio,140365455319456,,
queue,fio-downtown,faas-workloads/fio,140365455320416,,
queue,fio-suburb,faas-workloads/fio,140365455321376,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140365454928736,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140365454928736,nano_3,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140365455226912,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140365455226912,nx_3,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140365455227872,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140365455227872,nano_17,True
start,speech-inference,faas-workloads/speech-inference-tflite,140365455228832,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140365455228832,rockpi_30,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,140365455311776,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,140365455311776,rockpi_30,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,140365455312736,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,140365455312736,rockpi_8,True
