bytes,duration,source,sink,action_type
20000000,0.16826639291191034,registry,rpi3_19,docker_pull
20000000,0.16792761104060347,registry,rpi3_20,docker_pull
55000000,0.456517171572399,registry,rpi3_18,docker_pull
62000000,0.5142003790061109,registry,rockpi_25,docker_pull
20000000,0.16822710872805047,registry,rpi3_3,docker_pull
55000000,0.45648926359462116,registry,rpi3_24,docker_pull
55000000,0.45668274460264247,registry,rpi3_25,docker_pull
55000000,0.4565951943725679,registry,rpi3_26,docker_pull
20000000,0.16826967578820273,registry,rpi3_4,docker_pull
20000000,0.1678813465939033,registry,rpi3_5,docker_pull
62000000,0.5144938256515683,registry,rockpi_2,docker_pull
62000000,0.5129158304721049,registry,nx_9,docker_pull
20000000,0.16819410646840183,registry,rpi3_21,docker_pull
62000000,0.5127582781275102,registry,coral_1,docker_pull
62000000,0.5143843310913887,registry,rockpi_23,docker_pull
20000000,0.16836354251649865,registry,rpi3_22,docker_pull
20000000,0.16788180000625275,registry,rpi3_23,docker_pull
62000000,0.5142329053400445,registry,rockpi_13,docker_pull
20000000,0.16781830964087874,registry,rpi3_27,docker_pull
62000000,0.5144461727253926,registry,rockpi_6,docker_pull
62000000,0.5129565568478398,registry,nx_2,docker_pull
20000000,0.16799768107708601,registry,rpi3_28,docker_pull
20000000,0.16783785154130015,registry,rpi3_29,docker_pull
62000000,0.5129159750086174,registry,nx_5,docker_pull
20000000,0.16800213023776678,registry,rpi3_0,docker_pull
62000000,0.5128967667063691,registry,coral_2,docker_pull
62000000,0.5127514046256252,registry,coral_3,docker_pull
62000000,0.5146079782720463,registry,rockpi_12,docker_pull
20000000,0.16787655033905224,registry,rpi3_1,docker_pull
20000000,0.1676936572006298,registry,rpi3_2,docker_pull
62000000,0.5131079593709842,registry,nx_10,docker_pull
20000000,0.1677482988774841,registry,rpi3_9,docker_pull
62000000,0.5148537511158864,registry,rockpi_26,docker_pull
62000000,0.5128815920631951,registry,nx_13,docker_pull
20000000,0.1678709236975493,registry,rpi3_10,docker_pull
20000000,0.16793182914405946,registry,rpi3_11,docker_pull
62000000,0.5145006037467965,registry,rockpi_0,docker_pull
20000000,0.16778024264655755,registry,rpi3_15,docker_pull
62000000,0.514356164856494,registry,rockpi_7,docker_pull
62000000,0.5146313981631252,registry,rockpi_10,docker_pull
20000000,0.16822003338492664,registry,rpi3_16,docker_pull
20000000,0.1682684993692689,registry,rpi3_17,docker_pull
62000000,0.5142761452203288,registry,rockpi_15,docker_pull
20000000,0.1678015345386683,registry,rpi3_6,docker_pull
62000000,0.5145175263190964,registry,rockpi_3,docker_pull
62000000,0.5145941458358294,registry,rockpi_4,docker_pull
20000000,0.16798613216015212,registry,rpi3_7,docker_pull
20000000,0.1679554189176713,registry,rpi3_8,docker_pull
62000000,0.5130394802259985,registry,nx_4,docker_pull
20000000,0.16807162884992977,registry,rpi3_12,docker_pull
62000000,0.514364391549492,registry,rockpi_5,docker_pull
62000000,0.5144659613996225,registry,rockpi_14,docker_pull
