t_wait,t_exec,t_start,memory,function_name,function_image,node,replica_id
0.0,0.7026696630214344,2.5081795839711525,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,0.7149229682124356,2.508231521651708,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,0.7374305965782413,2.5095536380195016,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,0.7127920255021025,2.543091764462038,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,1.3219063382867646,2.5728301070065878,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,1.3166802310981573,2.601371371667738,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,1.3497485694047908,2.575836237647056,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,1.328295402198414,2.6278545229037054,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,1.9134957908139492,2.5676376178404285,104857600,python-pi,faas-workloads/python-pi,rpi3_18,140196768240528
0.0,2.0007482944625816,2.51495588028336,104857600,python-pi,faas-workloads/python-pi,rpi3_18,140196768240528
0.0,1.9228923818281558,2.6643005198792507,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,2.0267834028860814,2.5653670907637314,104857600,python-pi,faas-workloads/python-pi,rpi3_18,140196768240528
0.0,1.8831484582840647,2.7300255283317694,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,1.8425059271184736,2.7717713956495107,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,1.7987155606158214,2.8407611667395476,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,2.0930697386447386,2.577085156277478,104857600,python-pi,faas-workloads/python-pi,rpi3_18,140196768240528
0.0,2.383677003846311,2.8906617275102273,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,2.4193241489430033,2.9497373676076055,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,2.5849234636486607,2.948328313737141,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,2.649662139288155,2.9023904713506314,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,3.016312980461924,3.00141260374928,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,3.0469659217787135,3.0037507532177794,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,3.1292313069447917,3.101523908637182,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,3.7128300622315393,2.5313395750556937,104857600,speech-inference,faas-workloads/speech-inference-tflite,rockpi_25,140196767989328
0.0,3.8253391041065896,2.5679115920742905,104857600,speech-inference,faas-workloads/speech-inference-tflite,rockpi_25,140196767989328
0.0,3.82413632404466,2.5792542424784135,104857600,python-pi,faas-workloads/python-pi,rpi3_18,140196768240528
0.0,3.817830183947093,2.6385333898242225,104857600,python-pi,faas-workloads/python-pi,rpi3_18,140196768240528
0.0,3.8496169157461932,2.6617134017004873,104857600,python-pi,faas-workloads/python-pi,rpi3_18,140196768240528
0.0,3.9307799717449003,2.665933972384448,104857600,python-pi,faas-workloads/python-pi,rpi3_18,140196768240528
0.0,3.8940398479342933,2.7030242602961354,104857600,speech-inference,faas-workloads/speech-inference-tflite,rockpi_25,140196767989328
0.0,3.8683037638813396,2.75956936978149,104857600,speech-inference,faas-workloads/speech-inference-tflite,rockpi_25,140196767989328
0.0,3.6501601879265784,3.04502390238244,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,3.5794904824697507,3.1199697290495245,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,3.5777292617636403,3.1521586051693133,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
0.0,3.7527614731420007,3.1657269604539406,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nano_2,140196767988464
